CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;1,250;0,029
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;1,250;0,025
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;1,250;0,022
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;1,250;0,032
SP00911;SP;2895,000;2154,000;741,000;1865,000;1,000;0,054;1,250;0,046
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;1,250;0,016
SP00927;SP;4583,000;3288,000;1295,000;2862,000;1,000;0,035;1,250;0,030
SP00928;SP;5132,000;3949,000;1183,000;3288,000;2,000;0,061;2,500;0,051
SP00932;SP;3504,000;2674,000;830,000;2191,000;2,000;0,091;2,500;0,075
SP01330;SP;7538,000;5905,000;1633,000;5127,000;1,000;0,020;1,250;0,017
SP01414;SP;11881,000;8889,000;2992,000;7501,000;1,000;0,013;1,250;0,011
SP01473;SP;5784,000;3936,000;1848,000;3286,000;5,000;0,152;6,250;0,127
SP01474;SP;7185,000;5083,000;2102,000;4320,000;1,000;0,023;1,250;0,020
SP01475;SP;3961,000;2752,000;1209,000;2310,000;5,000;0,216;6,250;0,182
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;1,250;0,033
SP01478;SP;7765,000;5221,000;2544,000;4345,000;4,000;0,092;5,000;0,077
SP01479;SP;7013,000;5355,000;1658,000;4424,000;14,000;0,316;17,500;0,261
SP01481;SP;2868,000;2080,000;788,000;1681,000;1,000;0,059;1,250;0,048
SP01482;SP;6480,000;4781,000;1699,000;3882,000;2,000;0,052;2,500;0,042
SP01485;SP;4366,000;3308,000;1058,000;2767,000;4,000;0,145;5,000;0,121
SP01488;SP;4853,000;3805,000;1048,000;3190,000;2,000;0,063;2,500;0,053
SP01491;SP;4927,000;3538,000;1389,000;2917,000;3,000;0,103;3,750;0,085
SP01494;SP;6825,000;4925,000;1900,000;4104,000;1,000;0,024;1,250;0,020
SP01498;SP;5725,000;4260,000;1465,000;3481,000;1,000;0,029;1,250;0,023
SP01502;SP;4069,000;3074,000;995,000;2489,000;6,000;0,241;7,500;0,195
SP01503;SP;5963,000;4430,000;1533,000;3628,000;1,000;0,028;1,250;0,023
SP01506;SP;3179,000;2206,000;973,000;1905,000;1,000;0,052;1,250;0,045
SP01507;SP;2166,000;1623,000;543,000;1390,000;1,000;0,072;1,250;0,062
SP01509;SP;2116,000;1553,000;563,000;1253,000;3,000;0,239;3,750;0,193
SP01511;SP;1342,000;1040,000;302,000;869,000;4,000;0,460;5,000;0,385
SP01512;SP;1736,000;1367,000;369,000;1142,000;2,000;0,175;2,500;0,146
SP01513;SP;3487,000;2433,000;1054,000;2006,000;1,000;0,050;1,250;0,041
SP01577;SP;4405,000;3382,000;1023,000;2871,000;2,000;0,070;2,500;0,059
SP01722;SP;4433,000;3424,000;1009,000;2973,000;1,000;0,034;1,250;0,029
SP02049;SP;2278,000;1738,000;540,000;1487,000;1,000;0,067;1,250;0,058
