CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,182;0,024
SP00008;SP;4250,000;2710,000;1540,000;2422,000;3,000;0,124;0,545;0,111
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,182;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,182;0,021
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,182;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,182;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,182;0,013
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,182;0,023
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,182;0,046
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,182;0,015
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,182;0,036
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,182;0,019
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,182;0,045
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,182;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,182;0,014
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,182;0,025
SP00515;SP;4792,000;3544,000;1248,000;3046,000;2,000;0,066;0,364;0,056
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,182;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;2,000;0,057;0,364;0,049
SP00523;SP;4290,000;3229,000;1061,000;2690,000;3,000;0,112;0,545;0,093
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,182;0,024
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,182;0,021
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,182;0,041
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,182;0,014
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,182;0,025
SP00642;SP;5042,000;3746,000;1296,000;3356,000;2,000;0,060;0,364;0,053
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,182;0,041
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,182;0,028
SP00652;SP;4711,000;3356,000;1355,000;2915,000;9,000;0,309;1,636;0,268
SP00692;SP;8151,000;5848,000;2303,000;5192,000;2,000;0,039;0,364;0,034
SP00771;SP;7436,000;5164,000;2272,000;4500,000;2,000;0,044;0,364;0,039
SP00772;SP;5664,000;4117,000;1547,000;3538,000;1,000;0,028;0,182;0,024
SP00774;SP;7854,000;5792,000;2062,000;5026,000;2,000;0,040;0,364;0,035
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,182;0,019
SP00780;SP;3820,000;2943,000;877,000;2559,000;1,000;0,039;0,182;0,034
SP00791;SP;1168,000;863,000;305,000;759,000;2,000;0,264;0,364;0,232
SP00792;SP;2736,000;2040,000;696,000;1747,000;1,000;0,057;0,182;0,049
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,182;0,038
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,182;0,020
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,182;0,028
SP00810;SP;4312,000;3025,000;1287,000;2622,000;2,000;0,076;0,364;0,066
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,182;0,022
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,182;0,027
SP00816;SP;4010,000;2677,000;1333,000;2281,000;1,000;0,044;0,182;0,037
SP00820;SP;2998,000;2256,000;742,000;1983,000;1,000;0,050;0,182;0,044
SP00826;SP;2231,000;1737,000;494,000;1498,000;1,000;0,067;0,182;0,058
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;0,182;0,018
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;0,182;0,056
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,182;0,023
SP00879;SP;5137,000;3540,000;1597,000;2959,000;1,000;0,034;0,182;0,028
SP00885;SP;3760,000;2696,000;1064,000;2288,000;1,000;0,044;0,182;0,037
SP00891;SP;6195,000;4624,000;1571,000;4037,000;2,000;0,050;0,364;0,043
SP00893;SP;4866,000;3614,000;1252,000;3170,000;1,000;0,032;0,182;0,028
SP00894;SP;4335,000;3134,000;1201,000;2776,000;2,000;0,072;0,364;0,064
SP00895;SP;4545,000;3059,000;1486,000;2625,000;1,000;0,038;0,182;0,033
SP00897;SP;4232,000;3120,000;1112,000;2666,000;1,000;0,038;0,182;0,032
SP00900;SP;4799,000;3561,000;1238,000;2989,000;1,000;0,033;0,182;0,028
SP00901;SP;4411,000;3185,000;1226,000;2668,000;6,000;0,225;1,091;0,188
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;0,182;0,023
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;0,182;0,036
SP00915;SP;1861,000;1401,000;460,000;1187,000;3,000;0,253;0,545;0,214
SP00916;SP;1311,000;995,000;316,000;820,000;1,000;0,122;0,182;0,101
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,182;0,021
SP00922;SP;8638,000;6089,000;2549,000;5158,000;2,000;0,039;0,364;0,033
SP00924;SP;5898,000;4232,000;1666,000;3558,000;1,000;0,028;0,182;0,024
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,182;0,026
