CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,988;0,060
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,494;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,494;0,035
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,494;0,033
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,247;0,052
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,494;0,068
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,247;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,247;0,032
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,247;0,018
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,247;0,033
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,247;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;2,000;0,073;0,494;0,069
SP00114;SP;11524,000;7280,000;4244,000;6663,000;5,000;0,075;1,235;0,069
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,494;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;1,235;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;5,000;0,072;1,235;0,067
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,247;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,494;0,075
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,494;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,247;0,028
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,247;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,247;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,247;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,247;0,018
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,247;0,033
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,247;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,247;0,025
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,494;0,036
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,247;0,021
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,494;0,057
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,247;0,022
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,247;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,247;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,494;0,059
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,247;0,033
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,247;0,030
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,247;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,247;0,018
