CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;1,124;0,030
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,562;0,024
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,562;0,024
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,562;0,026
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,562;0,012
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,562;0,021
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,562;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,562;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,562;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,562;0,019
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;1,124;0,054
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,562;0,108
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,562;0,019
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,562;0,026
SP00169;SP;6507,000;4898,000;1609,000;3997,000;3,000;0,075;1,685;0,061
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,562;0,175
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,562;0,028
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;1,124;0,066
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,562;0,026
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,562;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,562;0,012
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,562;0,023
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,562;0,024
