CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;1,351;0,015
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;1,351;0,034
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;1,351;0,021
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;1,351;0,034
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;1,351;0,019
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;1,351;0,027
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;1,351;0,017
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;1,351;0,043
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;1,351;0,020
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;1,351;0,017
SP00448;SP;2058,000;1544,000;514,000;1354,000;2,000;0,148;2,703;0,130
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;1,351;0,021
SP00510;SP;6209,000;4329,000;1880,000;3594,000;2,000;0,056;2,703;0,046
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;1,351;0,019
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;1,351;0,027
SP00598;SP;4844,000;3433,000;1411,000;2954,000;1,000;0,034;1,351;0,029
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;1,351;0,033
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;1,351;0,021
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;1,351;0,028
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;1,351;0,030
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;1,351;0,026
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;1,351;0,024
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;1,351;0,029
SP00792;SP;2736,000;2040,000;696,000;1747,000;1,000;0,057;1,351;0,049
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;1,351;0,018
SP00854;SP;6049,000;4219,000;1830,000;3570,000;1,000;0,028;1,351;0,024
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;1,351;0,021
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;1,351;0,031
SP01046;SP;1567,000;1208,000;359,000;1036,000;1,000;0,097;1,351;0,083
SP01167;SP;6259,000;4450,000;1809,000;3620,000;1,000;0,028;1,351;0,022
SP01174;SP;6350,000;4434,000;1916,000;3606,000;1,000;0,028;1,351;0,023
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;1,351;0,021
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;1,351;0,021
SP01340;SP;6735,000;5134,000;1601,000;4118,000;1,000;0,024;1,351;0,019
SP01361;SP;7818,000;5512,000;2306,000;4598,000;1,000;0,022;1,351;0,018
SP01362;SP;7767,000;5488,000;2279,000;4591,000;11,000;0,240;14,865;0,200
SP01372;SP;2774,000;2111,000;663,000;1744,000;2,000;0,115;2,703;0,095
SP01374;SP;3027,000;2274,000;753,000;1892,000;1,000;0,053;1,351;0,044
SP01378;SP;5134,000;3809,000;1325,000;3086,000;1,000;0,032;1,351;0,026
SP01380;SP;6398,000;4752,000;1646,000;3983,000;3,000;0,075;4,054;0,063
SP01388;SP;4349,000;3282,000;1067,000;2705,000;1,000;0,037;1,351;0,030
SP01439;SP;4463,000;3192,000;1271,000;2737,000;2,000;0,073;2,703;0,063
SP01448;SP;2723,000;2084,000;639,000;1723,000;1,000;0,058;1,351;0,048
SP01526;SP;5784,000;4463,000;1321,000;3807,000;1,000;0,026;1,351;0,022
SP01547;SP;2943,000;2176,000;767,000;1791,000;1,000;0,056;1,351;0,046
SP01549;SP;4270,000;3162,000;1108,000;2619,000;1,000;0,038;1,351;0,032
SP01613;SP;5274,000;3845,000;1429,000;3229,000;1,000;0,031;1,351;0,026
SP01618;SP;8129,000;6088,000;2041,000;4942,000;1,000;0,020;1,351;0,016
SP01619;SP;6560,000;4738,000;1822,000;3972,000;2,000;0,050;2,703;0,042
SP01643;SP;6423,000;4412,000;2011,000;3733,000;1,000;0,027;1,351;0,023
SP01656;SP;5925,000;4175,000;1750,000;3558,000;1,000;0,028;1,351;0,024
SP01696;SP;3501,000;2635,000;866,000;2139,000;1,000;0,047;1,351;0,038
SP01803;SP;6098,000;4524,000;1574,000;3804,000;1,000;0,026;1,351;0,022
SP01825;SP;5132,000;3457,000;1675,000;3002,000;1,000;0,033;1,351;0,029
SP01842;SP;5313,000;4084,000;1229,000;3333,000;1,000;0,030;1,351;0,024
SP01851;SP;982,000;759,000;223,000;639,000;1,000;0,156;1,351;0,132
SP01902;SP;4700,000;3678,000;1022,000;3083,000;1,000;0,032;1,351;0,027
