CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,153;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,153;0,018
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,153;0,033
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,153;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,153;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,153;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,153;0,018
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,305;0,056
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,153;0,027
SP00222;SP;5627,000;4034,000;1593,000;3525,000;2,000;0,057;0,305;0,050
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,153;0,021
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,153;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;2,000;0,054;0,305;0,044
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,153;0,042
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,153;0,020
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,153;0,029
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,153;0,023
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,153;0,024
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,153;0,018
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,153;0,073
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,153;0,032
SP00391;SP;3539,000;2437,000;1102,000;2119,000;4,000;0,189;0,611;0,164
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,153;0,028
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;0,305;0,040
SP00397;SP;4072,000;2894,000;1178,000;2418,000;4,000;0,165;0,611;0,138
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,153;0,023
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,153;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;3,000;0,070;0,458;0,060
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,153;0,027
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,153;0,028
SP00407;SP;4191,000;3035,000;1156,000;2536,000;3,000;0,118;0,458;0,099
SP00410;SP;1624,000;1232,000;392,000;1026,000;1,000;0,097;0,153;0,081
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,153;0,025
SP00416;SP;1565,000;1172,000;393,000;969,000;1,000;0,103;0,153;0,085
SP00423;SP;4513,000;3158,000;1355,000;2820,000;2,000;0,071;0,305;0,063
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,153;0,032
SP00433;SP;4353,000;3211,000;1142,000;2911,000;2,000;0,069;0,305;0,062
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,153;0,033
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,153;0,021
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,153;0,020
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,153;0,031
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,153;0,019
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,153;0,024
SP00557;SP;5966,000;4380,000;1586,000;3694,000;1,000;0,027;0,153;0,023
SP00582;SP;4259,000;3081,000;1178,000;2707,000;1,000;0,037;0,153;0,032
SP00585;SP;4746,000;3318,000;1428,000;2911,000;2,000;0,069;0,305;0,060
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,153;0,026
SP00659;SP;4066,000;2843,000;1223,000;2587,000;4,000;0,155;0,611;0,141
SP00671;SP;7344,000;4961,000;2383,000;4380,000;3,000;0,068;0,458;0,060
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,153;0,031
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,153;0,020
SP00810;SP;4312,000;3025,000;1287,000;2622,000;3,000;0,114;0,458;0,099
SP00825;SP;3960,000;3079,000;881,000;2727,000;4,000;0,147;0,611;0,130
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,153;0,065
SP00832;SP;4365,000;3114,000;1251,000;2744,000;7,000;0,255;1,069;0,225
SP00833;SP;5058,000;3636,000;1422,000;3107,000;3,000;0,097;0,458;0,083
SP00835;SP;4136,000;2891,000;1245,000;2501,000;7,000;0,280;1,069;0,242
SP00836;SP;4922,000;3424,000;1498,000;2884,000;3,000;0,104;0,458;0,088
SP00838;SP;4893,000;3681,000;1212,000;3136,000;1,000;0,032;0,153;0,027
SP00839;SP;942,000;694,000;248,000;608,000;1,000;0,164;0,153;0,144
SP00840;SP;990,000;792,000;198,000;676,000;2,000;0,296;0,305;0,253
