CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,302;0,026
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,302;0,018
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,302;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,302;0,034
SP00076;SP;7781,000;5170,000;2611,000;4521,000;12,000;0,265;3,625;0,232
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,302;0,020
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,302;0,037
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,302;0,058
SP00301;SP;3036,000;2157,000;879,000;1924,000;4,000;0,208;1,208;0,185
SP00302;SP;5488,000;4163,000;1325,000;3804,000;2,000;0,053;0,604;0,048
SP00304;SP;3481,000;2524,000;957,000;2284,000;7,000;0,306;2,115;0,277
SP00306;SP;5275,000;3647,000;1628,000;3252,000;9,000;0,277;2,719;0,247
SP00307;SP;3529,000;2356,000;1173,000;2055,000;3,000;0,146;0,906;0,127
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;0,604;0,062
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;0,302;0,071
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,302;0,032
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,604;0,055
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,302;0,031
SP00465;SP;7597,000;5474,000;2123,000;4737,000;2,000;0,042;0,604;0,037
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,302;0,026
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,302;0,031
SP00475;SP;5821,000;4091,000;1730,000;3609,000;2,000;0,055;0,604;0,049
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,302;0,074
SP00482;SP;6633,000;4865,000;1768,000;4345,000;3,000;0,069;0,906;0,062
SP00489;SP;1525,000;1226,000;299,000;1101,000;2,000;0,182;0,604;0,163
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,302;0,021
SP00501;SP;4776,000;3340,000;1436,000;2871,000;5,000;0,174;1,511;0,150
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,302;0,023
SP00511;SP;6942,000;4878,000;2064,000;4132,000;3,000;0,073;0,906;0,062
SP00512;SP;7389,000;5163,000;2226,000;4319,000;2,000;0,046;0,604;0,039
SP00513;SP;4106,000;2993,000;1113,000;2609,000;2,000;0,077;0,604;0,067
SP00514;SP;5514,000;3990,000;1524,000;3430,000;2,000;0,058;0,604;0,050
SP00515;SP;4792,000;3544,000;1248,000;3046,000;4,000;0,131;1,208;0,113
SP00516;SP;6938,000;4877,000;2061,000;4090,000;5,000;0,122;1,511;0,103
SP00517;SP;3694,000;2650,000;1044,000;2223,000;3,000;0,135;0,906;0,113
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,302;0,024
SP00520;SP;3065,000;2185,000;880,000;1832,000;1,000;0,055;0,302;0,046
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,302;0,028
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,302;0,022
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,302;0,086
SP00531;SP;6972,000;5267,000;1705,000;4395,000;10,000;0,228;3,021;0,190
SP00539;SP;5948,000;4112,000;1836,000;3697,000;2,000;0,054;0,604;0,049
SP00540;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,302;0,048
SP00541;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,302;0,048
SP00546;SP;4580,000;3085,000;1495,000;2705,000;4,000;0,148;1,208;0,130
SP00550;SP;4742,000;3413,000;1329,000;2933,000;2,000;0,068;0,604;0,059
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,302;0,031
SP00552;SP;5887,000;3978,000;1909,000;3352,000;2,000;0,060;0,604;0,050
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,302;0,042
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,302;0,033
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,302;0,017
SP00751;SP;1977,000;1546,000;431,000;1291,000;1,000;0,077;0,302;0,065
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,302;0,033
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,302;0,021
SP00948;SP;6371,000;4901,000;1470,000;3965,000;1,000;0,025;0,302;0,020
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,302;0,020
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;0,302;0,016
SP01054;SP;4275,000;2952,000;1323,000;2509,000;1,000;0,040;0,302;0,034
SP01093;SP;5944,000;4192,000;1752,000;3670,000;1,000;0,027;0,302;0,024
SP01100;SP;4090,000;2819,000;1271,000;2441,000;1,000;0,041;0,302;0,035
SP01104;SP;3373,000;2250,000;1123,000;1905,000;1,000;0,052;0,302;0,044
SP01113;SP;5153,000;3920,000;1233,000;3365,000;1,000;0,030;0,302;0,026
SP01176;SP;8236,000;5751,000;2485,000;4720,000;1,000;0,021;0,302;0,017
SP01203;SP;5224,000;4036,000;1188,000;3388,000;1,000;0,030;0,302;0,025
SP01281;SP;6196,000;4845,000;1351,000;4089,000;1,000;0,024;0,302;0,021
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;0,302;0,019
SP01425;SP;3763,000;2914,000;849,000;2538,000;1,000;0,039;0,302;0,034
SP01429;SP;6808,000;4939,000;1869,000;4206,000;1,000;0,024;0,302;0,020
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;0,302;0,033
SP01480;SP;6794,000;4702,000;2092,000;3955,000;1,000;0,025;0,302;0,021
SP01482;SP;6480,000;4781,000;1699,000;3882,000;1,000;0,026;0,302;0,021
SP01483;SP;5423,000;3997,000;1426,000;3341,000;1,000;0,030;0,302;0,025
SP01488;SP;4853,000;3805,000;1048,000;3190,000;1,000;0,031;0,302;0,026
SP01489;SP;7577,000;5491,000;2086,000;4714,000;1,000;0,021;0,302;0,018
SP01491;SP;4927,000;3538,000;1389,000;2917,000;1,000;0,034;0,302;0,028
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;0,302;0,037
SP01495;SP;5651,000;4282,000;1369,000;3551,000;1,000;0,028;0,302;0,023
SP01497;SP;5264,000;3875,000;1389,000;3261,000;1,000;0,031;0,302;0,026
SP01498;SP;5725,000;4260,000;1465,000;3481,000;1,000;0,029;0,302;0,023
SP01503;SP;5963,000;4430,000;1533,000;3628,000;3,000;0,083;0,906;0,068
SP01507;SP;2166,000;1623,000;543,000;1390,000;1,000;0,072;0,302;0,062
SP01513;SP;3487,000;2433,000;1054,000;2006,000;1,000;0,050;0,302;0,041
SP01518;SP;6543,000;4968,000;1575,000;4096,000;1,000;0,024;0,302;0,020
SP01608;SP;2455,000;1874,000;581,000;1552,000;1,000;0,064;0,302;0,053
SP01622;SP;4052,000;2947,000;1105,000;2495,000;1,000;0,040;0,302;0,034
SP01656;SP;5925,000;4175,000;1750,000;3558,000;1,000;0,028;0,302;0,024
