CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,101;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,101;0,017
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,101;0,220
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,101;0,025
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,101;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,202;0,027
SP00120;SP;7492,000;5053,000;2439,000;4694,000;2,000;0,043;0,202;0,040
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,101;0,020
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,101;0,021
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,101;0,021
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,101;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;2,000;0,045;0,202;0,037
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,101;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;2,000;0,078;0,202;0,066
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,101;0,020
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,101;0,016
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,101;0,179
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,202;0,066
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,101;0,043
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,101;0,015
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,101;0,021
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,101;0,021
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,101;0,131
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,101;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,101;0,026
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,101;0,069
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,101;0,021
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,101;0,031
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,101;0,028
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,101;0,029
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,101;0,022
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,101;0,022
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,101;0,015
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,101;0,033
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;0,101;0,023
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,101;0,018
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,101;0,022
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;0,101;0,023
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,101;0,027
SP00936;SP;6913,000;5008,000;1905,000;4173,000;2,000;0,048;0,202;0,040
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;0,101;0,024
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,202;0,033
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,101;0,020
SP00946;SP;4553,000;3449,000;1104,000;2787,000;1,000;0,036;0,101;0,029
SP00950;SP;6838,000;5137,000;1701,000;4204,000;4,000;0,095;0,404;0,078
SP00951;SP;6758,000;5122,000;1636,000;4246,000;1,000;0,024;0,101;0,020
SP00952;SP;13315,000;8912,000;4403,000;7365,000;4,000;0,054;0,404;0,045
SP00953;SP;6513,000;4880,000;1633,000;4005,000;2,000;0,050;0,202;0,041
SP00954;SP;4954,000;3697,000;1257,000;3067,000;2,000;0,065;0,202;0,054
SP00978;SP;4720,000;3350,000;1370,000;2972,000;1,000;0,034;0,101;0,030
SP00991;SP;3538,000;2527,000;1011,000;2242,000;2,000;0,089;0,202;0,079
SP01125;SP;3476,000;2517,000;959,000;2129,000;1,000;0,047;0,101;0,040
SP01160;SP;1821,000;1402,000;419,000;1139,000;1,000;0,088;0,101;0,071
SP01164;SP;5708,000;3888,000;1820,000;3284,000;3,000;0,091;0,303;0,077
SP01167;SP;6259,000;4450,000;1809,000;3620,000;7,000;0,193;0,708;0,157
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,101;0,024
SP01173;SP;4537,000;3315,000;1222,000;2833,000;1,000;0,035;0,101;0,030
SP01174;SP;6350,000;4434,000;1916,000;3606,000;3,000;0,083;0,303;0,068
SP01181;SP;4741,000;3452,000;1289,000;2824,000;1,000;0,035;0,101;0,029
SP01184;SP;4359,000;3297,000;1062,000;2764,000;1,000;0,036;0,101;0,030
SP01304;SP;3849,000;2885,000;964,000;2389,000;1,000;0,042;0,101;0,035
SP01312;SP;4582,000;3352,000;1230,000;2711,000;2,000;0,074;0,202;0,060
SP01313;SP;5646,000;4362,000;1284,000;3544,000;3,000;0,085;0,303;0,069
SP01314;SP;4826,000;3450,000;1376,000;2922,000;3,000;0,103;0,303;0,087
SP01315;SP;5836,000;4110,000;1726,000;3568,000;1,000;0,028;0,101;0,024
SP01316;SP;6703,000;4570,000;2133,000;3887,000;1,000;0,026;0,101;0,022
SP01317;SP;7496,000;5230,000;2266,000;4360,000;3,000;0,069;0,303;0,057
SP01318;SP;5897,000;4085,000;1812,000;3426,000;3,000;0,088;0,303;0,073
SP01319;SP;6497,000;4542,000;1955,000;3670,000;2,000;0,054;0,202;0,044
SP01320;SP;8209,000;6019,000;2190,000;5015,000;17,000;0,339;1,719;0,282
SP01321;SP;5117,000;3907,000;1210,000;3326,000;7,000;0,210;0,708;0,179
SP01322;SP;6445,000;4994,000;1451,000;4166,000;16,000;0,384;1,618;0,320
SP01323;SP;6741,000;5078,000;1663,000;4301,000;13,000;0,302;1,314;0,256
SP01326;SP;4913,000;3679,000;1234,000;2940,000;3,000;0,102;0,303;0,082
SP01328;SP;6187,000;4762,000;1425,000;4004,000;5,000;0,125;0,506;0,105
SP01330;SP;7538,000;5905,000;1633,000;5127,000;115,000;2,243;11,628;1,948
SP01332;SP;5043,000;3673,000;1370,000;3047,000;1,000;0,033;0,101;0,027
SP01333;SP;8821,000;6398,000;2423,000;5220,000;3,000;0,057;0,303;0,047
SP01334;SP;5470,000;3996,000;1474,000;3334,000;4,000;0,120;0,404;0,100
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,101;0,018
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;0,101;0,021
SP01337;SP;5929,000;4445,000;1484,000;3629,000;6,000;0,165;0,607;0,135
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;0,101;0,013
SP01340;SP;6735,000;5134,000;1601,000;4118,000;1,000;0,024;0,101;0,019
SP01341;SP;3295,000;2546,000;749,000;2084,000;1,000;0,048;0,101;0,039
SP01343;SP;2274,000;1747,000;527,000;1438,000;2,000;0,139;0,202;0,114
SP01345;SP;3443,000;2632,000;811,000;2198,000;6,000;0,273;0,607;0,228
SP01347;SP;7950,000;5978,000;1972,000;5066,000;23,000;0,454;2,326;0,385
SP01348;SP;3369,000;2354,000;1015,000;1888,000;3,000;0,159;0,303;0,127
SP01349;SP;7723,000;5766,000;1957,000;4646,000;2,000;0,043;0,202;0,035
SP01350;SP;8729,000;6265,000;2464,000;5053,000;5,000;0,099;0,506;0,080
SP01351;SP;1693,000;1310,000;383,000;1037,000;4,000;0,386;0,404;0,305
SP01353;SP;3717,000;2767,000;950,000;2349,000;1,000;0,043;0,101;0,036
SP01354;SP;7702,000;5819,000;1883,000;4593,000;4,000;0,087;0,404;0,069
SP01355;SP;1496,000;1068,000;428,000;855,000;1,000;0,117;0,101;0,094
SP01356;SP;1180,000;887,000;293,000;731,000;2,000;0,274;0,202;0,225
SP01360;SP;4177,000;2805,000;1372,000;2337,000;3,000;0,128;0,303;0,107
SP01361;SP;7818,000;5512,000;2306,000;4598,000;3,000;0,065;0,303;0,054
SP01362;SP;7767,000;5488,000;2279,000;4591,000;1,000;0,022;0,101;0,018
SP01363;SP;5696,000;3998,000;1698,000;3277,000;2,000;0,061;0,202;0,050
SP01364;SP;3423,000;2550,000;873,000;2100,000;2,000;0,095;0,202;0,078
SP01365;SP;4472,000;3176,000;1296,000;2649,000;12,000;0,453;1,213;0,378
SP01368;SP;6668,000;5077,000;1591,000;4150,000;3,000;0,072;0,303;0,059
SP01370;SP;6243,000;4702,000;1541,000;3926,000;10,000;0,255;1,011;0,213
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;0,101;0,017
SP01375;SP;4586,000;3582,000;1004,000;2958,000;1,000;0,034;0,101;0,028
SP01376;SP;2812,000;2168,000;644,000;1801,000;1,000;0,056;0,101;0,046
SP01378;SP;5134,000;3809,000;1325,000;3086,000;2,000;0,065;0,202;0,053
SP01379;SP;1511,000;1006,000;505,000;829,000;3,000;0,362;0,303;0,298
SP01380;SP;6398,000;4752,000;1646,000;3983,000;1,000;0,025;0,101;0,021
SP01382;SP;4773,000;3511,000;1262,000;2832,000;4,000;0,141;0,404;0,114
SP01384;SP;1615,000;1256,000;359,000;1024,000;2,000;0,195;0,202;0,159
SP01386;SP;5463,000;4021,000;1442,000;3254,000;1,000;0,031;0,101;0,025
SP01388;SP;4349,000;3282,000;1067,000;2705,000;20,000;0,739;2,022;0,609
SP01389;SP;5537,000;3939,000;1598,000;3325,000;16,000;0,481;1,618;0,406
SP01390;SP;5471,000;4004,000;1467,000;3342,000;78,000;2,334;7,887;1,948
SP01391;SP;5920,000;4493,000;1427,000;3657,000;8,000;0,219;0,809;0,178
SP01392;SP;5417,000;4157,000;1260,000;3419,000;5,000;0,146;0,506;0,120
SP01393;SP;4576,000;3329,000;1247,000;2824,000;12,000;0,425;1,213;0,360
SP01394;SP;3196,000;2477,000;719,000;2018,000;13,000;0,644;1,314;0,525
SP01455;SP;5140,000;3917,000;1223,000;3284,000;1,000;0,030;0,101;0,026
SP01521;SP;6526,000;4864,000;1662,000;4159,000;1,000;0,024;0,101;0,021
SP01530;SP;4997,000;3947,000;1050,000;3258,000;3,000;0,092;0,303;0,076
SP01533;SP;7786,000;5910,000;1876,000;5039,000;1,000;0,020;0,101;0,017
SP01558;SP;4788,000;3601,000;1187,000;2955,000;1,000;0,034;0,101;0,028
SP01819;SP;6180,000;4697,000;1483,000;3886,000;24,000;0,618;2,427;0,511
SP01821;SP;7786,000;5613,000;2173,000;4703,000;30,000;0,638;3,033;0,534
SP01822;SP;6815,000;4948,000;1867,000;4153,000;132,000;3,178;13,347;2,668
SP01823;SP;7272,000;5078,000;2194,000;4264,000;9,000;0,211;0,910;0,177
SP01824;SP;3725,000;2622,000;1103,000;2239,000;12,000;0,536;1,213;0,458
SP01825;SP;5132,000;3457,000;1675,000;3002,000;2,000;0,067;0,202;0,058
SP01826;SP;6250,000;4422,000;1828,000;3846,000;1,000;0,026;0,101;0,023
SP01827;SP;6711,000;4773,000;1938,000;3991,000;6,000;0,150;0,607;0,126
SP01828;SP;8402,000;6116,000;2286,000;5090,000;19,000;0,373;1,921;0,311
SP01830;SP;3740,000;2650,000;1090,000;2266,000;1,000;0,044;0,101;0,038
SP01831;SP;3229,000;2462,000;767,000;2131,000;1,000;0,047;0,101;0,041
SP01832;SP;6225,000;4582,000;1643,000;3756,000;14,000;0,373;1,416;0,306
