CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,028;0,015
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,057;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,057;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,057;0,035
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,028;0,026
SP00011;SP;7822,000;5249,000;2573,000;4769,000;3,000;0,063;0,085;0,057
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,057;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;5,000;0,127;0,141;0,113
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,085;0,094
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,028;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,028;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;3,000;0,092;0,085;0,085
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,057;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,028;0,026
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,028;0,069
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,028;0,220
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,028;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;5,000;0,106;0,141;0,097
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,085;0,024
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,028;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;6,000;0,135;0,170;0,126
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,028;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;3,000;0,060;0,085;0,055
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,028;0,016
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,057;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,028;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,057;0,064
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,057;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,028;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;0,113;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,028;0,034
SP00061;SP;5110,000;3413,000;1697,000;2995,000;3,000;0,100;0,085;0,088
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,028;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,057;0,049
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;0,113;0,041
SP00076;SP;7781,000;5170,000;2611,000;4521,000;6,000;0,133;0,170;0,116
SP00077;SP;5316,000;3714,000;1602,000;3239,000;3,000;0,093;0,085;0,081
SP00078;SP;6145,000;4471,000;1674,000;4014,000;8,000;0,199;0,226;0,179
SP00079;SP;6753,000;5126,000;1627,000;4484,000;3,000;0,067;0,085;0,059
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,028;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,028;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,057;0,036
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,028;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;6,000;0,119;0,170;0,106
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,028;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,057;0,043
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,028;0,018
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,028;0,035
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,028;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,028;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,057;0,071
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,028;0,043
