CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,199;0,017
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,199;0,019
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,199;0,020
SP00161;SP;7454,000;5453,000;2001,000;4461,000;2,000;0,045;0,398;0,037
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,199;0,020
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,199;0,020
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,199;0,031
SP00175;SP;4700,000;3395,000;1305,000;2728,000;2,000;0,073;0,398;0,059
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,199;0,016
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;0,398;0,052
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,199;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;3,000;0,047;0,596;0,043
SP00199;SP;9351,000;6697,000;2654,000;6031,000;4,000;0,066;0,795;0,060
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,199;0,027
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,199;0,028
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,199;0,046
SP00211;SP;6388,000;4682,000;1706,000;4168,000;2,000;0,048;0,398;0,043
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,199;0,029
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,199;0,021
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,199;0,056
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,199;0,036
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,199;0,049
