CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,259;0,018
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,259;0,034
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,259;0,031
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,259;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,259;0,012
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,518;0,062
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,259;0,018
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,259;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,259;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,259;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,259;0,028
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,259;0,055
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,518;0,020
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,259;0,017
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,518;0,035
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,259;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,259;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,259;0,035
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,259;0,015
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,259;0,021
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,259;0,020
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,259;0,018
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,259;0,027
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,259;0,019
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,518;0,031
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,518;0,030
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,259;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,259;0,015
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,259;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,259;0,012
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,259;0,026
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,259;0,024
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,259;0,020
SP00302;SP;5488,000;4163,000;1325,000;3804,000;3,000;0,079;0,777;0,072
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,259;0,027
SP00309;SP;3845,000;2727,000;1118,000;2377,000;2,000;0,084;0,518;0,073
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,259;0,025
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,259;0,033
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,259;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,259;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,259;0,030
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,259;0,044
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,259;0,078
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,259;0,044
SP00337;SP;1495,000;1118,000;377,000;942,000;1,000;0,106;0,259;0,089
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,259;0,026
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,259;0,037
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,259;0,020
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,259;0,050
