CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,322;0,023
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,322;0,031
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,322;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,322;0,095
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,322;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,322;0,012
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,322;0,025
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,322;0,046
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,322;0,019
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,322;0,010
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,322;0,018
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,322;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,322;0,012
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,322;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,322;0,018
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,322;0,019
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,322;0,020
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,322;0,021
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,322;0,016
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,322;0,122
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,322;0,031
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,322;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,643;0,059
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,322;0,044
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,322;0,040
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,322;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,322;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,322;0,018
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,322;0,028
SP00210;SP;2712,000;2153,000;559,000;1857,000;2,000;0,108;0,643;0,093
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,322;0,026
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,322;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;2,000;0,054;0,643;0,044
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,322;0,029
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,322;0,030
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,322;0,025
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,322;0,035
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,322;0,031
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,322;0,037
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,322;0,043
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,322;0,056
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,322;0,075
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,322;0,033
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,322;0,029
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;0,322;0,071
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,322;0,018
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,322;0,046
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,322;0,020
SP00536;SP;6329,000;4580,000;1749,000;3965,000;3,000;0,076;0,965;0,066
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,322;0,029
SP00553;SP;4676,000;3124,000;1552,000;2659,000;1,000;0,038;0,322;0,032
SP00571;SP;1966,000;1470,000;496,000;1235,000;1,000;0,081;0,322;0,068
SP00588;SP;5167,000;3521,000;1646,000;3105,000;1,000;0,032;0,322;0,028
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,322;0,023
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,322;0,033
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,322;0,020
SP00624;SP;6339,000;4326,000;2013,000;3981,000;3,000;0,075;0,965;0,069
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,322;0,025
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,322;0,038
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,322;0,015
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,322;0,034
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,322;0,020
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,322;0,039
SP00679;SP;4304,000;3017,000;1287,000;2683,000;1,000;0,037;0,322;0,033
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,322;0,015
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,322;0,027
SP00696;SP;1384,000;1069,000;315,000;972,000;3,000;0,309;0,965;0,281
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,322;0,025
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,322;0,040
SP00721;SP;3054,000;2197,000;857,000;1978,000;1,000;0,051;0,322;0,046
SP00725;SP;5899,000;4174,000;1725,000;3691,000;2,000;0,054;0,643;0,048
SP00726;SP;4468,000;3025,000;1443,000;2675,000;2,000;0,075;0,643;0,066
SP00727;SP;5267,000;3869,000;1398,000;3416,000;1,000;0,029;0,322;0,026
SP00728;SP;4919,000;3629,000;1290,000;3093,000;4,000;0,129;1,286;0,110
