CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,111;0,036
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,111;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,055;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,055;0,019
SP00017;SP;6847,000;4140,000;2707,000;3704,000;3,000;0,081;0,166;0,072
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,055;0,028
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,111;0,016
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,055;0,052
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,055;0,031
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,166;0,049
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,055;0,023
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,055;0,024
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,055;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,055;0,024
SP00081;SP;4985,000;3194,000;1791,000;2755,000;4,000;0,145;0,222;0,125
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,055;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,055;0,011
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,055;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,111;0,071
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,055;0,035
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,055;0,027
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,055;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,055;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,111;0,023
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,055;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;2,000;0,043;0,111;0,040
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,055;0,017
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,055;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;3,000;0,058;0,166;0,053
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,111;0,038
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,055;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,111;0,035
SP00151;SP;4988,000;3688,000;1300,000;3066,000;3,000;0,098;0,166;0,081
SP00155;SP;6109,000;4286,000;1823,000;3668,000;3,000;0,082;0,166;0,070
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,055;0,021
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,055;0,108
SP00158;SP;5902,000;3987,000;1915,000;3372,000;6,000;0,178;0,333;0,150
SP00161;SP;7454,000;5453,000;2001,000;4461,000;12,000;0,269;0,666;0,220
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,111;0,036
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,111;0,040
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,055;0,026
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,055;0,036
SP00168;SP;4204,000;3050,000;1154,000;2550,000;8,000;0,314;0,444;0,262
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,055;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,055;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,055;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,111;0,057
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,055;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;3,000;0,116;0,166;0,093
SP00175;SP;4700,000;3395,000;1305,000;2728,000;2,000;0,073;0,111;0,059
SP00176;SP;4725,000;3530,000;1195,000;2946,000;5,000;0,170;0,277;0,142
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,111;0,031
SP00180;SP;2715,000;1992,000;723,000;1618,000;2,000;0,124;0,111;0,100
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,055;0,175
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,055;0,180
SP00189;SP;5717,000;3833,000;1884,000;3381,000;11,000;0,325;0,610;0,287
SP00190;SP;9191,000;6215,000;2976,000;5565,000;13,000;0,234;0,721;0,209
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,055;0,044
SP00193;SP;4453,000;3011,000;1442,000;2715,000;4,000;0,147;0,222;0,133
SP00194;SP;8615,000;6268,000;2347,000;5780,000;5,000;0,087;0,277;0,080
SP00195;SP;3523,000;2306,000;1217,000;2013,000;3,000;0,149;0,166;0,130
SP00196;SP;3423,000;2500,000;923,000;2236,000;3,000;0,134;0,166;0,120
SP00197;SP;4829,000;3340,000;1489,000;3099,000;4,000;0,129;0,222;0,120
SP00198;SP;9846,000;7057,000;2789,000;6333,000;13,000;0,205;0,721;0,184
SP00199;SP;9351,000;6697,000;2654,000;6031,000;16,000;0,265;0,888;0,239
SP00200;SP;4987,000;3648,000;1339,000;3251,000;12,000;0,369;0,666;0,329
SP00201;SP;9459,000;6572,000;2887,000;5989,000;4,000;0,067;0,222;0,061
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,055;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;2,000;0,046;0,111;0,041
SP00204;SP;4526,000;3486,000;1040,000;3183,000;11,000;0,346;0,610;0,316
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,055;0,045
SP00207;SP;4643,000;3544,000;1099,000;3043,000;5,000;0,164;0,277;0,141
SP00209;SP;4117,000;3042,000;1075,000;2774,000;7,000;0,252;0,388;0,230
SP00210;SP;2712,000;2153,000;559,000;1857,000;5,000;0,269;0,277;0,232
SP00211;SP;6388,000;4682,000;1706,000;4168,000;18,000;0,432;0,999;0,384
SP00212;SP;5586,000;4124,000;1462,000;3719,000;32,000;0,860;1,776;0,776
SP00213;SP;4732,000;3454,000;1278,000;3107,000;46,000;1,481;2,553;1,332
SP00214;SP;5779,000;4297,000;1482,000;3759,000;162,000;4,310;8,990;3,770
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,055;0,131
SP00216;SP;2036,000;1558,000;478,000;1384,000;13,000;0,939;0,721;0,834
SP00217;SP;1566,000;1244,000;322,000;1121,000;21,000;1,873;1,165;1,688
SP00218;SP;3583,000;2575,000;1008,000;2277,000;16,000;0,703;0,888;0,621
SP00219;SP;5453,000;3846,000;1607,000;3316,000;32,000;0,965;1,776;0,832
SP00220;SP;2119,000;1454,000;665,000;1292,000;6,000;0,464;0,333;0,413
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,055;0,035
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,055;0,030
SP00270;SP;6129,000;4512,000;1617,000;3803,000;2,000;0,053;0,111;0,044
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,055;0,023
SP00295;SP;4636,000;3029,000;1607,000;2673,000;3,000;0,112;0,166;0,099
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,055;0,026
SP00310;SP;5928,000;4260,000;1668,000;3647,000;4,000;0,110;0,222;0,094
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,055;0,015
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,055;0,067
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,055;0,074
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,055;0,034
SP00341;SP;3178,000;2297,000;881,000;2077,000;4,000;0,193;0,222;0,174
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,055;0,036
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,055;0,033
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,055;0,028
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,055;0,037
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,055;0,051
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,055;0,041
SP00403;SP;6930,000;5024,000;1906,000;4268,000;2,000;0,047;0,111;0,040
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,055;0,033
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,055;0,046
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,055;0,029
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,055;0,027
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,055;0,017
SP00473;SP;5477,000;3996,000;1481,000;3538,000;4,000;0,113;0,222;0,100
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,055;0,028
SP00479;SP;2742,000;2051,000;691,000;1807,000;2,000;0,111;0,111;0,098
SP00491;SP;985,000;764,000;221,000;701,000;1,000;0,143;0,055;0,131
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,055;0,014
SP00529;SP;3155,000;2369,000;786,000;2087,000;3,000;0,144;0,166;0,127
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,055;0,019
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,055;0,052
SP00533;SP;2644,000;2087,000;557,000;1800,000;1,000;0,056;0,055;0,048
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,055;0,032
SP00547;SP;3238,000;2322,000;916,000;2051,000;2,000;0,098;0,111;0,086
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,055;0,025
SP00563;SP;3945,000;2921,000;1024,000;2409,000;4,000;0,166;0,222;0,137
SP00584;SP;2542,000;1782,000;760,000;1552,000;1,000;0,064;0,055;0,056
SP00592;SP;5506,000;4004,000;1502,000;3466,000;1,000;0,029;0,055;0,025
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,055;0,039
SP00622;SP;8525,000;5893,000;2632,000;5358,000;2,000;0,037;0,111;0,034
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,055;0,025
SP00624;SP;6339,000;4326,000;2013,000;3981,000;2,000;0,050;0,111;0,046
SP00625;SP;10784,000;7630,000;3154,000;7038,000;2,000;0,028;0,111;0,026
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,055;0,021
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,055;0,018
SP00629;SP;3705,000;2452,000;1253,000;2194,000;2,000;0,091;0,111;0,082
SP00634;SP;6679,000;4545,000;2134,000;4143,000;2,000;0,048;0,111;0,044
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,055;0,020
SP00637;SP;5885,000;3783,000;2102,000;3470,000;3,000;0,086;0,166;0,079
SP00638;SP;6804,000;4640,000;2164,000;4208,000;3,000;0,071;0,166;0,065
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,055;0,016
SP00640;SP;6187,000;4214,000;1973,000;3845,000;11,000;0,286;0,610;0,261
SP00645;SP;3823,000;2661,000;1162,000;2407,000;2,000;0,083;0,111;0,075
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,055;0,039
SP00647;SP;7403,000;5083,000;2320,000;4634,000;3,000;0,065;0,166;0,059
SP00649;SP;2648,000;1982,000;666,000;1760,000;2,000;0,114;0,111;0,101
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,055;0,028
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,055;0,015
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,055;0,025
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,055;0,018
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,055;0,021
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,055;0,031
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,055;0,031
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,055;0,032
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;0,055;0,039
SP00674;SP;3396,000;2582,000;814,000;2220,000;2,000;0,090;0,111;0,077
SP00676;SP;3751,000;2837,000;914,000;2529,000;1,000;0,040;0,055;0,035
SP00680;SP;11486,000;8694,000;2792,000;7821,000;2,000;0,026;0,111;0,023
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,055;0,026
SP00689;SP;6259,000;4395,000;1864,000;3885,000;2,000;0,051;0,111;0,046
SP00691;SP;2030,000;1356,000;674,000;1186,000;1,000;0,084;0,055;0,074
SP00697;SP;4338,000;3181,000;1157,000;2881,000;1,000;0,035;0,055;0,031
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,055;0,038
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,055;0,025
SP00724;SP;3664,000;2699,000;965,000;2432,000;16,000;0,658;0,888;0,593
SP00725;SP;5899,000;4174,000;1725,000;3691,000;3,000;0,081;0,166;0,072
SP00726;SP;4468,000;3025,000;1443,000;2675,000;4,000;0,150;0,222;0,132
SP00727;SP;5267,000;3869,000;1398,000;3416,000;8,000;0,234;0,444;0,207
SP00728;SP;4919,000;3629,000;1290,000;3093,000;2,000;0,065;0,111;0,055
SP00729;SP;8105,000;5929,000;2176,000;5111,000;4,000;0,078;0,222;0,067
SP00730;SP;5502,000;4153,000;1349,000;3563,000;6,000;0,168;0,333;0,144
SP00731;SP;4685,000;3466,000;1219,000;3004,000;8,000;0,266;0,444;0,231
SP00732;SP;3768,000;2783,000;985,000;2391,000;2,000;0,084;0,111;0,072
SP00734;SP;3871,000;2912,000;959,000;2509,000;38,000;1,515;2,109;1,305
SP00735;SP;5909,000;4419,000;1490,000;3878,000;8,000;0,206;0,444;0,181
SP00736;SP;6501,000;5079,000;1422,000;4352,000;2,000;0,046;0,111;0,039
SP00737;SP;6265,000;4846,000;1419,000;4149,000;11,000;0,265;0,610;0,227
SP00738;SP;8744,000;6776,000;1968,000;5693,000;2,000;0,035;0,111;0,030
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,055;0,033
SP00741;SP;4300,000;3373,000;927,000;2832,000;6,000;0,212;0,333;0,178
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,055;0,025
SP00743;SP;4240,000;3246,000;994,000;2798,000;6,000;0,214;0,333;0,185
SP00744;SP;5446,000;4215,000;1231,000;3568,000;2,000;0,056;0,111;0,047
SP00745;SP;4714,000;3481,000;1233,000;3072,000;15,000;0,488;0,832;0,431
