CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,072;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,072;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,072;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,072;0,024
SP00009;SP;5809,000;3876,000;1933,000;3552,000;11,000;0,310;0,790;0,284
SP00010;SP;9269,000;6039,000;3230,000;5553,000;12,000;0,216;0,861;0,199
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,144;0,038
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,072;0,034
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,072;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,072;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,072;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,144;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,072;0,026
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,072;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;13,000;0,275;0,933;0,251
SP00029;SP;17797,000;12599,000;5198,000;11769,000;26,000;0,221;1,866;0,206
SP00030;SP;2911,000;1924,000;987,000;1764,000;4,000;0,227;0,287;0,208
SP00031;SP;6412,000;4268,000;2144,000;3816,000;6,000;0,157;0,431;0,141
SP00032;SP;11991,000;8507,000;3484,000;8030,000;83,000;1,034;5,958;0,976
SP00033;SP;7735,000;5271,000;2464,000;4792,000;20,000;0,417;1,436;0,379
SP00034;SP;5401,000;3246,000;2155,000;2941,000;22,000;0,748;1,579;0,678
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,144;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;6,000;0,135;0,431;0,126
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,144;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;8,000;0,155;0,574;0,142
SP00039;SP;6391,000;4336,000;2055,000;3981,000;7,000;0,176;0,503;0,161
SP00040;SP;7288,000;5434,000;1854,000;4999,000;8,000;0,160;0,574;0,147
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,144;0,063
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,144;0,068
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,144;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;31,000;0,582;2,225;0,540
SP00045;SP;3377,000;2532,000;845,000;2298,000;5,000;0,218;0,359;0,197
SP00046;SP;8211,000;6097,000;2114,000;5678,000;12,000;0,211;0,861;0,197
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,072;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;7,000;0,174;0,503;0,161
SP00049;SP;2731,000;2018,000;713,000;1902,000;12,000;0,631;0,861;0,595
SP00051;SP;9919,000;6324,000;3595,000;5895,000;28,000;0,475;2,010;0,443
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,072;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;14,000;0,446;1,005;0,390
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,215;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,144;0,037
SP00057;SP;4525,000;2909,000;1616,000;2485,000;10,000;0,402;0,718;0,344
SP00058;SP;5387,000;3548,000;1839,000;3095,000;10,000;0,323;0,718;0,282
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,072;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,072;0,025
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,144;0,098
SP00070;SP;4221,000;2997,000;1224,000;2670,000;3,000;0,112;0,215;0,100
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,072;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;10,000;0,365;0,718;0,322
SP00073;SP;14871,000;9817,000;5054,000;8895,000;38,000;0,427;2,728;0,387
SP00074;SP;4599,000;3060,000;1539,000;2770,000;3,000;0,108;0,215;0,098
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,072;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,072;0,011
