CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,794;0,019
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,794;0,016
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,794;0,034
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;2,381;0,032
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,794;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,794;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,794;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,794;0,019
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,794;0,030
SP00103;SP;2478,000;1733,000;745,000;1529,000;2,000;0,131;1,587;0,115
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,794;0,029
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,794;0,011
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,794;0,038
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,794;0,019
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,794;0,015
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,794;0,025
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;1,587;0,032
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,794;0,015
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,794;0,021
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,794;0,024
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,794;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,794;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,794;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,794;0,022
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,794;0,069
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,794;0,035
SP00254;SP;4716,000;3494,000;1222,000;2936,000;3,000;0,102;2,381;0,086
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,794;0,026
SP00275;SP;4248,000;3284,000;964,000;2804,000;2,000;0,071;1,587;0,061
