CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,532;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,532;0,019
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,532;0,018
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,532;0,027
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,532;0,025
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,532;0,019
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,532;0,034
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,532;0,031
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,532;0,014
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,532;0,023
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,532;0,039
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,532;0,030
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,532;0,023
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,532;0,055
SP00320;SP;4504,000;3135,000;1369,000;2784,000;3,000;0,108;1,596;0,096
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,532;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,532;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,532;0,030
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,532;0,073
SP00328;SP;3718,000;2674,000;1044,000;2278,000;4,000;0,176;2,128;0,150
SP00329;SP;3347,000;2208,000;1139,000;1860,000;6,000;0,323;3,191;0,272
SP00336;SP;3224,000;2282,000;942,000;1932,000;11,000;0,569;5,851;0,482
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,532;0,027
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,532;0,043
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,532;0,036
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,532;0,019
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,532;0,025
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;0,532;0,071
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,532;0,022
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,532;0,030
SP00696;SP;1384,000;1069,000;315,000;972,000;1,000;0,103;0,532;0,094
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,532;0,021
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,532;0,015
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,532;0,026
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,532;0,029
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,532;0,020
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,532;0,018
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,532;0,020
SP00812;SP;6537,000;4507,000;2030,000;3857,000;3,000;0,078;1,596;0,067
SP00815;SP;4827,000;3371,000;1456,000;2943,000;2,000;0,068;1,064;0,059
SP00816;SP;4010,000;2677,000;1333,000;2281,000;1,000;0,044;0,532;0,037
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,532;0,065
SP00831;SP;3038,000;2306,000;732,000;1971,000;7,000;0,355;3,723;0,304
SP00832;SP;4365,000;3114,000;1251,000;2744,000;9,000;0,328;4,787;0,289
SP00833;SP;5058,000;3636,000;1422,000;3107,000;15,000;0,483;7,979;0,413
SP00834;SP;3451,000;2534,000;917,000;2279,000;1,000;0,044;0,532;0,039
SP00835;SP;4136,000;2891,000;1245,000;2501,000;21,000;0,840;11,170;0,726
SP00836;SP;4922,000;3424,000;1498,000;2884,000;4,000;0,139;2,128;0,117
SP00837;SP;2272,000;1787,000;485,000;1553,000;5,000;0,322;2,660;0,280
SP00838;SP;4893,000;3681,000;1212,000;3136,000;5,000;0,159;2,660;0,136
SP00840;SP;990,000;792,000;198,000;676,000;11,000;1,627;5,851;1,389
SP00841;SP;6587,000;5004,000;1583,000;4195,000;3,000;0,072;1,596;0,060
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,532;0,023
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,532;0,024
SP00885;SP;3760,000;2696,000;1064,000;2288,000;1,000;0,044;0,532;0,037
SP00888;SP;3225,000;2422,000;803,000;2160,000;1,000;0,046;0,532;0,041
SP00900;SP;4799,000;3561,000;1238,000;2989,000;1,000;0,033;0,532;0,028
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,532;0,030
SP01100;SP;4090,000;2819,000;1271,000;2441,000;1,000;0,041;0,532;0,035
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,532;0,033
SP01178;SP;7018,000;4887,000;2131,000;4032,000;1,000;0,025;0,532;0,020
SP01232;SP;4544,000;3180,000;1364,000;2674,000;1,000;0,037;0,532;0,031
SP01418;SP;3824,000;2872,000;952,000;2479,000;1,000;0,040;0,532;0,035
SP01423;SP;3120,000;2433,000;687,000;2133,000;1,000;0,047;0,532;0,041
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;0,532;0,025
