CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,230;0,015
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,230;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,230;0,031
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,230;0,031
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,230;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,460;0,037
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,460;0,050
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,230;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,460;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,230;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,230;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,230;0,011
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,230;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,230;0,030
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,230;0,011
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,230;0,020
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,460;0,055
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,230;0,026
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,230;0,057
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,230;0,026
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,230;0,179
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,230;0,026
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,230;0,030
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,230;0,030
SP00205;SP;3126,000;2267,000;859,000;2107,000;2,000;0,095;0,460;0,088
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,230;0,030
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,230;0,022
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,230;0,029
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,460;0,040
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,230;0,021
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,230;0,023
SP00275;SP;4248,000;3284,000;964,000;2804,000;2,000;0,071;0,460;0,061
SP00283;SP;4282,000;3227,000;1055,000;2653,000;3,000;0,113;0,690;0,093
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,230;0,046
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,230;0,054
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,230;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,230;0,037
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,230;0,044
SP00371;SP;7513,000;5272,000;2241,000;4897,000;2,000;0,041;0,460;0,038
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,230;0,033
SP00390;SP;4307,000;3128,000;1179,000;2733,000;2,000;0,073;0,460;0,064
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,230;0,041
SP00438;SP;3263,000;2333,000;930,000;2012,000;3,000;0,149;0,690;0,129
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,230;0,018
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,230;0,033
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,230;0,023
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,230;0,023
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,230;0,049
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,230;0,020
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,230;0,046
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,230;0,020
SP00500;SP;6586,000;4736,000;1850,000;4014,000;2,000;0,050;0,460;0,042
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,230;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;0,460;0,027
SP00509;SP;4399,000;3005,000;1394,000;2554,000;3,000;0,117;0,690;0,100
SP00510;SP;6209,000;4329,000;1880,000;3594,000;8,000;0,223;1,839;0,185
SP00511;SP;6942,000;4878,000;2064,000;4132,000;5,000;0,121;1,149;0,103
SP00512;SP;7389,000;5163,000;2226,000;4319,000;4,000;0,093;0,920;0,077
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,230;0,033
SP00514;SP;5514,000;3990,000;1524,000;3430,000;2,000;0,058;0,460;0,050
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,230;0,028
SP00516;SP;6938,000;4877,000;2061,000;4090,000;3,000;0,073;0,690;0,062
SP00517;SP;3694,000;2650,000;1044,000;2223,000;2,000;0,090;0,460;0,075
SP00518;SP;4780,000;3303,000;1477,000;2826,000;2,000;0,071;0,460;0,061
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,230;0,024
SP00521;SP;5002,000;3490,000;1512,000;2901,000;4,000;0,138;0,920;0,115
SP00522;SP;4695,000;3519,000;1176,000;2921,000;2,000;0,068;0,460;0,057
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,230;0,022
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;0,230;0,042
SP00527;SP;3105,000;2475,000;630,000;2136,000;2,000;0,094;0,460;0,081
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,460;0,038
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,230;0,030
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,230;0,018
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,230;0,032
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,230;0,029
