CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,840;0,045
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,280;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,280;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,280;0,024
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,280;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,280;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,280;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,280;0,028
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,280;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,840;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,560;0,016
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,280;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,560;0,024
SP00037;SP;5446,000;3922,000;1524,000;3606,000;3,000;0,083;0,840;0,076
SP00038;SP;8044,000;5650,000;2394,000;5177,000;4,000;0,077;1,120;0,071
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;0,840;0,069
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,280;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,280;0,034
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,840;0,049
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,280;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,560;0,032
SP00058;SP;5387,000;3548,000;1839,000;3095,000;3,000;0,097;0,840;0,085
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,280;0,024
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,280;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,280;0,032
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,280;0,022
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,280;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,280;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,280;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,280;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,280;0,043
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,280;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;3,000;0,110;0,840;0,103
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,560;0,027
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,280;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,280;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,280;0,012
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,280;0,061
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,280;0,057
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,840;0,050
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,280;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,280;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,280;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,280;0,019
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;0,840;0,044
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,560;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,280;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,280;0,028
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,280;0,027
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,280;0,018
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,280;0,036
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,280;0,031
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,280;0,018
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,280;0,021
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,280;0,041
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;0,560;0,065
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,280;0,020
SP00273;SP;5615,000;4390,000;1225,000;3670,000;2,000;0,054;0,560;0,046
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,280;0,035
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,280;0,064
SP00321;SP;4314,000;3059,000;1255,000;2771,000;2,000;0,072;0,560;0,065
SP00322;SP;8258,000;5548,000;2710,000;4975,000;4,000;0,080;1,120;0,072
SP00323;SP;4008,000;2671,000;1337,000;2414,000;3,000;0,124;0,840;0,112
SP00324;SP;4770,000;3319,000;1451,000;2949,000;3,000;0,102;0,840;0,090
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,280;0,032
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,560;0,073
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,280;0,035
SP00331;SP;3036,000;2191,000;845,000;2021,000;5,000;0,247;1,401;0,228
SP00332;SP;3054,000;2284,000;770,000;2099,000;6,000;0,286;1,681;0,263
SP00338;SP;4592,000;3124,000;1468,000;2780,000;2,000;0,072;0,560;0,064
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,280;0,044
SP00340;SP;3747,000;2675,000;1072,000;2391,000;3,000;0,125;0,840;0,112
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,280;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;2,000;0,061;0,560;0,055
SP00343;SP;5204,000;3721,000;1483,000;3344,000;3,000;0,090;0,840;0,081
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,280;0,024
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,280;0,018
SP00346;SP;1595,000;1205,000;390,000;1113,000;3,000;0,270;0,840;0,249
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,280;0,044
SP00356;SP;6871,000;5190,000;1681,000;4713,000;4,000;0,085;1,120;0,077
SP00366;SP;5574,000;3886,000;1688,000;3655,000;2,000;0,055;0,560;0,051
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,280;0,033
SP00369;SP;4203,000;2956,000;1247,000;2789,000;2,000;0,072;0,560;0,068
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,280;0,018
SP00371;SP;7513,000;5272,000;2241,000;4897,000;4,000;0,082;1,120;0,076
SP00372;SP;5891,000;3989,000;1902,000;3708,000;3,000;0,081;0,840;0,075
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,280;0,028
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,280;0,037
SP00376;SP;4805,000;3354,000;1451,000;3098,000;2,000;0,065;0,560;0,060
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,280;0,035
SP00380;SP;4357,000;2944,000;1413,000;2747,000;1,000;0,036;0,280;0,034
SP00381;SP;4728,000;3340,000;1388,000;3119,000;4,000;0,128;1,120;0,120
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,280;0,044
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,280;0,051
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,280;0,035
SP00388;SP;1990,000;1488,000;502,000;1379,000;1,000;0,073;0,280;0,067
SP00389;SP;2663,000;1942,000;721,000;1788,000;1,000;0,056;0,280;0,051
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,280;0,032
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,280;0,028
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,280;0,020
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,280;0,024
SP00427;SP;4605,000;3414,000;1191,000;3042,000;2,000;0,066;0,560;0,059
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,280;0,018
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,280;0,028
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,280;0,020
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,280;0,021
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,280;0,033
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,280;0,033
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;0,280;0,026
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,280;0,029
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;0,280;0,042
SP00527;SP;3105,000;2475,000;630,000;2136,000;1,000;0,047;0,280;0,040
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,280;0,030
SP00538;SP;5278,000;3612,000;1666,000;3064,000;1,000;0,033;0,280;0,028
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,280;0,024
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,280;0,033
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,280;0,019
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,280;0,020
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,280;0,025
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,280;0,013
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,280;0,023
SP00627;SP;7090,000;4763,000;2327,000;4286,000;2,000;0,047;0,560;0,042
SP00628;SP;7913,000;5698,000;2215,000;5302,000;2,000;0,038;0,560;0,035
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,280;0,022
SP00640;SP;6187,000;4214,000;1973,000;3845,000;2,000;0,052;0,560;0,047
SP00641;SP;6983,000;4703,000;2280,000;4242,000;2,000;0,047;0,560;0,043
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,280;0,038
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,280;0,039
SP00647;SP;7403,000;5083,000;2320,000;4634,000;2,000;0,043;0,560;0,039
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,280;0,035
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,280;0,015
SP00655;SP;4274,000;3048,000;1226,000;2819,000;2,000;0,071;0,560;0,066
SP00665;SP;4690,000;3236,000;1454,000;2925,000;1,000;0,034;0,280;0,031
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,280;0,019
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,280;0,020
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,280;0,026
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,280;0,012
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,280;0,025
SP00689;SP;6259,000;4395,000;1864,000;3885,000;2,000;0,051;0,560;0,046
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,280;0,026
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,280;0,025
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,280;0,023
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,280;0,023
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,280;0,018
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,280;0,019
SP00777;SP;5853,000;4038,000;1815,000;3381,000;1,000;0,030;0,280;0,025
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,280;0,019
SP00780;SP;3820,000;2943,000;877,000;2559,000;1,000;0,039;0,280;0,034
SP00790;SP;1404,000;1020,000;384,000;912,000;1,000;0,110;0,280;0,098
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,280;0,038
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,280;0,018
SP00815;SP;4827,000;3371,000;1456,000;2943,000;1,000;0,034;0,280;0,030
SP00819;SP;1557,000;1232,000;325,000;1066,000;1,000;0,094;0,280;0,081
SP00833;SP;5058,000;3636,000;1422,000;3107,000;1,000;0,032;0,280;0,028
SP00834;SP;3451,000;2534,000;917,000;2279,000;2,000;0,088;0,560;0,079
SP00841;SP;6587,000;5004,000;1583,000;4195,000;1,000;0,024;0,280;0,020
SP00861;SP;3884,000;2990,000;894,000;2383,000;1,000;0,042;0,280;0,033
SP00875;SP;4489,000;3490,000;999,000;2842,000;1,000;0,035;0,280;0,029
SP00891;SP;6195,000;4624,000;1571,000;4037,000;1,000;0,025;0,280;0,022
SP00892;SP;4485,000;3072,000;1413,000;2701,000;1,000;0,037;0,280;0,033
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,280;0,021
SP00935;SP;6922,000;4974,000;1948,000;4152,000;2,000;0,048;0,560;0,040
SP00950;SP;6838,000;5137,000;1701,000;4204,000;1,000;0,024;0,280;0,019
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,280;0,020
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,280;0,021
SP00964;SP;11909,000;8036,000;3873,000;7407,000;2,000;0,027;0,560;0,025
SP00965;SP;6230,000;4373,000;1857,000;3908,000;2,000;0,051;0,560;0,046
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;0,280;0,033
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,280;0,033
SP00974;SP;3974,000;2884,000;1090,000;2635,000;1,000;0,038;0,280;0,035
SP00976;SP;3374,000;2549,000;825,000;2299,000;1,000;0,043;0,280;0,039
SP00983;SP;4483,000;3313,000;1170,000;2925,000;4,000;0,137;1,120;0,121
SP00988;SP;5130,000;3838,000;1292,000;3440,000;2,000;0,058;0,560;0,052
SP00991;SP;3538,000;2527,000;1011,000;2242,000;1,000;0,045;0,280;0,040
SP01001;SP;5804,000;4098,000;1706,000;3731,000;1,000;0,027;0,280;0,024
SP01003;SP;6014,000;4523,000;1491,000;4108,000;1,000;0,024;0,280;0,022
SP01032;SP;4988,000;3787,000;1201,000;3216,000;1,000;0,031;0,280;0,026
SP01048;SP;1647,000;1281,000;366,000;1090,000;1,000;0,092;0,280;0,078
SP01053;SP;5114,000;3307,000;1807,000;2816,000;1,000;0,036;0,280;0,030
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,280;0,023
SP01060;SP;5345,000;3929,000;1416,000;3417,000;1,000;0,029;0,280;0,025
SP01066;SP;2883,000;2142,000;741,000;1859,000;1,000;0,054;0,280;0,047
SP01069;SP;3158,000;2498,000;660,000;2184,000;1,000;0,046;0,280;0,040
SP01107;SP;8910,000;6337,000;2573,000;5296,000;1,000;0,019;0,280;0,016
SP01126;SP;6161,000;4278,000;1883,000;3664,000;1,000;0,027;0,280;0,023
SP01127;SP;7942,000;5676,000;2266,000;4893,000;1,000;0,020;0,280;0,018
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;0,280;0,029
SP01129;SP;6181,000;4505,000;1676,000;3834,000;1,000;0,026;0,280;0,022
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,280;0,025
SP01140;SP;4702,000;3629,000;1073,000;3096,000;1,000;0,032;0,280;0,028
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;0,280;0,018
SP01165;SP;3908,000;2796,000;1112,000;2440,000;1,000;0,041;0,280;0,036
SP01182;SP;5929,000;4415,000;1514,000;3910,000;1,000;0,026;0,280;0,023
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,280;0,021
SP01184;SP;4359,000;3297,000;1062,000;2764,000;1,000;0,036;0,280;0,030
SP01185;SP;3511,000;2582,000;929,000;2032,000;1,000;0,049;0,280;0,039
SP01191;SP;7205,000;5151,000;2054,000;4314,000;1,000;0,023;0,280;0,019
SP01205;SP;6483,000;4885,000;1598,000;4000,000;2,000;0,050;0,560;0,041
