CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,280;0,045
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,280;0,017
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,280;0,019
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,280;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,280;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,560;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,280;0,033
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,280;0,020
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,280;0,015
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,280;0,011
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,280;0,019
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,280;0,044
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,280;0,015
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,280;0,021
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,280;0,032
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,280;0,029
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,280;0,030
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,280;0,033
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,280;0,026
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,280;0,023
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,280;0,040
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,280;0,021
