CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,342;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;0,685;0,061
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,342;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,342;0,019
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,342;0,033
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,342;0,028
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,342;0,020
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,342;0,027
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,342;0,020
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,342;0,026
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,342;0,021
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,342;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,342;0,021
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,342;0,120
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,342;0,023
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,342;0,020
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,342;0,030
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,342;0,037
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,342;0,033
SP00382;SP;1970,000;1370,000;600,000;1292,000;1,000;0,077;0,342;0,073
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,342;0,041
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,342;0,028
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;0,685;0,040
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,342;0,028
SP00420;SP;1442,000;1026,000;416,000;925,000;1,000;0,108;0,342;0,097
SP00423;SP;4513,000;3158,000;1355,000;2820,000;2,000;0,071;0,685;0,063
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,342;0,036
