CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,778;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;3,000;0,055;1,167;0,049
SP00013;SP;4269,000;2958,000;1311,000;2742,000;5,000;0,182;1,946;0,169
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;0,778;0,062
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,389;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,389;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,389;0,094
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,389;0,026
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,389;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,389;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,389;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,389;0,031
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,389;0,025
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,389;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,389;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,389;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,778;0,064
SP00053;SP;6007,000;3594,000;2413,000;3140,000;4,000;0,127;1,556;0,111
SP00054;SP;5696,000;3753,000;1943,000;3197,000;4,000;0,125;1,556;0,107
SP00055;SP;8226,000;5391,000;2835,000;4660,000;3,000;0,064;1,167;0,056
SP00057;SP;4525,000;2909,000;1616,000;2485,000;2,000;0,080;0,778;0,069
SP00058;SP;5387,000;3548,000;1839,000;3095,000;3,000;0,097;1,167;0,085
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;1,167;0,074
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,389;0,029
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,389;0,034
SP00069;SP;2939,000;2032,000;907,000;1793,000;5,000;0,279;1,946;0,246
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,778;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,778;0,049
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;1,167;0,031
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,389;0,033
SP00075;SP;2374,000;1530,000;844,000;1347,000;4,000;0,297;1,556;0,261
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,389;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,389;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,389;0,011
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,389;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,389;0,024
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,389;0,020
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,778;0,023
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,389;0,013
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,778;0,033
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,778;0,031
