CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,392;0,025
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,392;0,058
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,392;0,023
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,392;0,023
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,392;0,029
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,392;0,026
SP00498;SP;3111,000;2164,000;947,000;1894,000;2,000;0,106;0,784;0,092
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,392;0,023
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,392;0,021
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,392;0,028
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,392;0,022
SP00527;SP;3105,000;2475,000;630,000;2136,000;1,000;0,047;0,392;0,040
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,392;0,019
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,392;0,022
SP00548;SP;4404,000;2954,000;1450,000;2590,000;1,000;0,039;0,392;0,034
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,392;0,025
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,392;0,025
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,392;0,030
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,392;0,026
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,392;0,025
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;0,392;0,056
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,392;0,024
SP00886;SP;3614,000;2519,000;1095,000;2153,000;1,000;0,046;0,392;0,040
SP00888;SP;3225,000;2422,000;803,000;2160,000;2,000;0,093;0,784;0,083
SP00895;SP;4545,000;3059,000;1486,000;2625,000;1,000;0,038;0,392;0,033
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;0,392;0,041
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,392;0,026
SP00926;SP;5575,000;3935,000;1640,000;3387,000;4,000;0,118;1,569;0,102
SP00927;SP;4583,000;3288,000;1295,000;2862,000;1,000;0,035;0,392;0,030
SP00946;SP;4553,000;3449,000;1104,000;2787,000;2,000;0,072;0,784;0,058
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,392;0,020
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,392;0,030
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;0,392;0,033
SP01055;SP;5802,000;4170,000;1632,000;3541,000;1,000;0,028;0,392;0,024
SP01062;SP;2994,000;2078,000;916,000;1770,000;1,000;0,056;0,392;0,048
SP01151;SP;692,000;530,000;162,000;435,000;1,000;0,230;0,392;0,189
SP01204;SP;5365,000;4097,000;1268,000;3436,000;2,000;0,058;0,784;0,049
SP01229;SP;5709,000;4410,000;1299,000;3576,000;1,000;0,028;0,392;0,023
SP01240;SP;2099,000;1609,000;490,000;1314,000;1,000;0,076;0,392;0,062
SP01326;SP;4913,000;3679,000;1234,000;2940,000;1,000;0,034;0,392;0,027
SP01405;SP;6097,000;4577,000;1520,000;4036,000;1,000;0,025;0,392;0,022
SP01411;SP;5127,000;3922,000;1205,000;3438,000;1,000;0,029;0,392;0,025
SP01473;SP;5784,000;3936,000;1848,000;3286,000;1,000;0,030;0,392;0,025
SP01474;SP;7185,000;5083,000;2102,000;4320,000;2,000;0,046;0,784;0,039
SP01475;SP;3961,000;2752,000;1209,000;2310,000;3,000;0,130;1,176;0,109
SP01476;SP;4315,000;3049,000;1266,000;2546,000;3,000;0,118;1,176;0,098
SP01477;SP;6382,000;4456,000;1926,000;3738,000;3,000;0,080;1,176;0,067
SP01478;SP;7765,000;5221,000;2544,000;4345,000;12,000;0,276;4,706;0,230
SP01479;SP;7013,000;5355,000;1658,000;4424,000;2,000;0,045;0,784;0,037
SP01480;SP;6794,000;4702,000;2092,000;3955,000;4,000;0,101;1,569;0,085
SP01481;SP;2868,000;2080,000;788,000;1681,000;16,000;0,952;6,275;0,769
SP01482;SP;6480,000;4781,000;1699,000;3882,000;37,000;0,953;14,510;0,774
SP01484;SP;4803,000;3637,000;1166,000;3023,000;31,000;1,025;12,157;0,852
SP01486;SP;6492,000;4955,000;1537,000;4168,000;4,000;0,096;1,569;0,081
SP01488;SP;4853,000;3805,000;1048,000;3190,000;4,000;0,125;1,569;0,105
SP01490;SP;5134,000;3970,000;1164,000;3327,000;4,000;0,120;1,569;0,101
SP01491;SP;4927,000;3538,000;1389,000;2917,000;13,000;0,446;5,098;0,367
SP01492;SP;6727,000;4828,000;1899,000;4030,000;1,000;0,025;0,392;0,021
SP01496;SP;5781,000;4430,000;1351,000;3721,000;1,000;0,027;0,392;0,023
SP01497;SP;5264,000;3875,000;1389,000;3261,000;2,000;0,061;0,784;0,052
SP01501;SP;923,000;701,000;222,000;595,000;2,000;0,336;0,784;0,285
SP01502;SP;4069,000;3074,000;995,000;2489,000;1,000;0,040;0,392;0,033
SP01503;SP;5963,000;4430,000;1533,000;3628,000;1,000;0,028;0,392;0,023
SP01505;SP;1275,000;993,000;282,000;808,000;11,000;1,361;4,314;1,108
SP01507;SP;2166,000;1623,000;543,000;1390,000;1,000;0,072;0,392;0,062
SP01509;SP;2116,000;1553,000;563,000;1253,000;5,000;0,399;1,961;0,322
SP01510;SP;2124,000;1616,000;508,000;1309,000;4,000;0,306;1,569;0,248
SP01546;SP;4679,000;3573,000;1106,000;3012,000;1,000;0,033;0,392;0,028
SP01574;SP;7876,000;5506,000;2370,000;4641,000;2,000;0,043;0,784;0,036
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,392;0,035
SP01602;SP;5026,000;3719,000;1307,000;3000,000;1,000;0,033;0,392;0,027
SP01725;SP;6477,000;4901,000;1576,000;4149,000;2,000;0,048;0,784;0,041
SP01736;SP;2336,000;1745,000;591,000;1472,000;1,000;0,068;0,392;0,057
SP01740;SP;5160,000;3900,000;1260,000;3207,000;2,000;0,062;0,784;0,051
SP01741;SP;2084,000;1633,000;451,000;1382,000;1,000;0,072;0,392;0,061
SP01742;SP;2540,000;1993,000;547,000;1660,000;2,000;0,120;0,784;0,100
SP01748;SP;3372,000;2550,000;822,000;2096,000;3,000;0,143;1,176;0,118
SP01749;SP;3518,000;2677,000;841,000;2231,000;3,000;0,134;1,176;0,112
SP01784;SP;5548,000;4158,000;1390,000;3356,000;1,000;0,030;0,392;0,024
SP01875;SP;5494,000;4292,000;1202,000;3611,000;1,000;0,028;0,392;0,023
SP01917;SP;4628,000;3281,000;1347,000;2811,000;1,000;0,036;0,392;0,030
SP01982;SP;971,000;761,000;210,000;641,000;1,000;0,156;0,392;0,131
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;0,392;0,020
SP02025;SP;4781,000;3417,000;1364,000;3034,000;1,000;0,033;0,392;0,029
SP02026;SP;6348,000;4500,000;1848,000;3840,000;1,000;0,026;0,392;0,022
SP02029;SP;6908,000;4822,000;2086,000;4034,000;1,000;0,025;0,392;0,021
SP02033;SP;7687,000;5697,000;1990,000;4752,000;2,000;0,042;0,784;0,035
SP02039;SP;6572,000;4884,000;1688,000;4051,000;3,000;0,074;1,176;0,061
SP02042;SP;2852,000;2039,000;813,000;1796,000;1,000;0,056;0,392;0,049
SP02044;SP;1543,000;1193,000;350,000;1063,000;1,000;0,094;0,392;0,084
SP02051;SP;4627,000;3564,000;1063,000;3165,000;2,000;0,063;0,784;0,056
SP02052;SP;4927,000;3580,000;1347,000;3044,000;1,000;0,033;0,392;0,028
SP02055;SP;1516,000;1161,000;355,000;979,000;1,000;0,102;0,392;0,086
