CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,358;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,358;0,028
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,358;0,052
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,358;0,027
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,358;0,010
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,358;0,074
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,358;0,012
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,358;0,020
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,358;0,031
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,358;0,030
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,358;0,016
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,358;0,015
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,358;0,045
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,358;0,028
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,358;0,023
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,358;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,358;0,026
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,358;0,023
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,358;0,019
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,358;0,025
SP00631;SP;2522,000;1571,000;951,000;1400,000;1,000;0,071;0,358;0,064
SP00641;SP;6983,000;4703,000;2280,000;4242,000;2,000;0,047;0,717;0,043
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,358;0,041
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,358;0,028
SP00663;SP;4883,000;3374,000;1509,000;3029,000;1,000;0,033;0,358;0,030
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,358;0,038
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,358;0,025
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,358;0,031
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,358;0,022
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,358;0,024
SP00771;SP;7436,000;5164,000;2272,000;4500,000;3,000;0,067;1,075;0,058
SP00772;SP;5664,000;4117,000;1547,000;3538,000;4,000;0,113;1,434;0,097
SP00773;SP;6264,000;4426,000;1838,000;3805,000;2,000;0,053;0,717;0,045
SP00774;SP;7854,000;5792,000;2062,000;5026,000;6,000;0,119;2,151;0,104
SP00775;SP;7449,000;5305,000;2144,000;4528,000;4,000;0,088;1,434;0,075
SP00778;SP;7392,000;5180,000;2212,000;4241,000;5,000;0,118;1,792;0,097
SP00779;SP;7813,000;5789,000;2024,000;4877,000;4,000;0,082;1,434;0,069
SP00786;SP;4539,000;3402,000;1137,000;2835,000;16,000;0,564;5,735;0,470
SP00787;SP;2366,000;1797,000;569,000;1532,000;1,000;0,065;0,358;0,056
SP00792;SP;2736,000;2040,000;696,000;1747,000;1,000;0,057;0,358;0,049
SP00794;SP;5472,000;4057,000;1415,000;3352,000;3,000;0,089;1,075;0,074
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,358;0,038
SP00800;SP;5404,000;4006,000;1398,000;3410,000;2,000;0,059;0,717;0,050
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,358;0,022
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,358;0,021
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,717;0,033
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,358;0,021
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,358;0,033
SP01087;SP;3331,000;2631,000;700,000;2223,000;1,000;0,045;0,358;0,038
SP01113;SP;5153,000;3920,000;1233,000;3365,000;1,000;0,030;0,358;0,026
SP01163;SP;4114,000;2788,000;1326,000;2400,000;8,000;0,333;2,867;0,287
SP01164;SP;5708,000;3888,000;1820,000;3284,000;12,000;0,365;4,301;0,309
SP01165;SP;3908,000;2796,000;1112,000;2440,000;14,000;0,574;5,018;0,501
SP01166;SP;5277,000;3758,000;1519,000;3179,000;3,000;0,094;1,075;0,080
SP01167;SP;6259,000;4450,000;1809,000;3620,000;1,000;0,028;0,358;0,022
SP01168;SP;5911,000;4089,000;1822,000;3473,000;17,000;0,489;6,093;0,416
SP01169;SP;6535,000;4709,000;1826,000;3984,000;9,000;0,226;3,226;0,191
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,358;0,018
SP01171;SP;6620,000;4759,000;1861,000;3966,000;1,000;0,025;0,358;0,021
SP01172;SP;6690,000;4889,000;1801,000;4302,000;8,000;0,186;2,867;0,164
SP01173;SP;4537,000;3315,000;1222,000;2833,000;5,000;0,176;1,792;0,151
SP01174;SP;6350,000;4434,000;1916,000;3606,000;2,000;0,055;0,717;0,045
SP01175;SP;4660,000;3409,000;1251,000;2858,000;4,000;0,140;1,434;0,117
SP01177;SP;4264,000;3029,000;1235,000;2602,000;7,000;0,269;2,509;0,231
SP01178;SP;7018,000;4887,000;2131,000;4032,000;6,000;0,149;2,151;0,123
SP01179;SP;3692,000;2867,000;825,000;2431,000;6,000;0,247;2,151;0,209
SP01181;SP;4741,000;3452,000;1289,000;2824,000;5,000;0,177;1,792;0,145
SP01182;SP;5929,000;4415,000;1514,000;3910,000;1,000;0,026;0,358;0,023
SP01183;SP;6376,000;4658,000;1718,000;4013,000;2,000;0,050;0,717;0,043
SP01184;SP;4359,000;3297,000;1062,000;2764,000;5,000;0,181;1,792;0,152
SP01186;SP;3559,000;2774,000;785,000;2416,000;14,000;0,579;5,018;0,505
SP01282;SP;8652,000;6512,000;2140,000;5430,000;1,000;0,018;0,358;0,015
SP01304;SP;3849,000;2885,000;964,000;2389,000;3,000;0,126;1,075;0,104
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,358;0,018
SP01336;SP;6381,000;4725,000;1656,000;3753,000;2,000;0,053;0,717;0,042
SP01366;SP;6944,000;5099,000;1845,000;4243,000;1,000;0,024;0,358;0,020
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;0,358;0,033
SP01376;SP;2812,000;2168,000;644,000;1801,000;1,000;0,056;0,358;0,046
SP01386;SP;5463,000;4021,000;1442,000;3254,000;3,000;0,092;1,075;0,075
SP01392;SP;5417,000;4157,000;1260,000;3419,000;1,000;0,029;0,358;0,024
SP01395;SP;5978,000;4264,000;1714,000;3711,000;1,000;0,027;0,358;0,023
SP01412;SP;6509,000;4892,000;1617,000;4139,000;1,000;0,024;0,358;0,020
SP01479;SP;7013,000;5355,000;1658,000;4424,000;1,000;0,023;0,358;0,019
SP01518;SP;6543,000;4968,000;1575,000;4096,000;1,000;0,024;0,358;0,020
SP01524;SP;6877,000;5256,000;1621,000;4395,000;1,000;0,023;0,358;0,019
SP01530;SP;4997,000;3947,000;1050,000;3258,000;3,000;0,092;1,075;0,076
SP01551;SP;3659,000;2697,000;962,000;2171,000;1,000;0,046;0,358;0,037
SP01680;SP;5598,000;4355,000;1243,000;3657,000;1,000;0,027;0,358;0,023
SP01687;SP;5072,000;3960,000;1112,000;3344,000;1,000;0,030;0,358;0,025
SP01732;SP;5337,000;4122,000;1215,000;3348,000;1,000;0,030;0,358;0,024
SP01784;SP;5548,000;4158,000;1390,000;3356,000;1,000;0,030;0,358;0,024
SP01820;SP;8046,000;5660,000;2386,000;4881,000;2,000;0,041;0,717;0,035
SP01839;SP;3350,000;2459,000;891,000;2084,000;1,000;0,048;0,358;0,041
SP01845;SP;6584,000;4733,000;1851,000;3854,000;1,000;0,026;0,358;0,021
SP01859;SP;6287,000;4438,000;1849,000;3780,000;1,000;0,026;0,358;0,023
SP01860;SP;6782,000;4893,000;1889,000;4316,000;1,000;0,023;0,358;0,020
SP01864;SP;4267,000;3041,000;1226,000;2596,000;1,000;0,039;0,358;0,033
SP01866;SP;4946,000;3465,000;1481,000;3008,000;1,000;0,033;0,358;0,029
SP01869;SP;5661,000;4238,000;1423,000;3691,000;1,000;0,027;0,358;0,024
SP01871;SP;7738,000;5921,000;1817,000;5048,000;1,000;0,020;0,358;0,017
SP01894;SP;7264,000;5494,000;1770,000;4613,000;1,000;0,022;0,358;0,018
SP01913;SP;4665,000;3457,000;1208,000;2853,000;2,000;0,070;0,717;0,058
SP01914;SP;5492,000;3919,000;1573,000;3429,000;1,000;0,029;0,358;0,026
SP01915;SP;3924,000;2794,000;1130,000;2392,000;5,000;0,209;1,792;0,179
SP01919;SP;5480,000;3862,000;1618,000;3239,000;1,000;0,031;0,358;0,026
SP01926;SP;6354,000;4642,000;1712,000;4010,000;1,000;0,025;0,358;0,022
SP01931;SP;5097,000;3731,000;1366,000;3193,000;1,000;0,031;0,358;0,027
SP01935;SP;6268,000;4538,000;1730,000;3717,000;1,000;0,027;0,358;0,022
SP01939;SP;6689,000;4917,000;1772,000;4007,000;1,000;0,025;0,358;0,020
SP01941;SP;3638,000;2601,000;1037,000;2147,000;1,000;0,047;0,358;0,038
SP01949;SP;4412,000;3284,000;1128,000;2711,000;1,000;0,037;0,358;0,030
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;0,358;0,020
SP01994;SP;8040,000;6246,000;1794,000;5147,000;2,000;0,039;0,717;0,032
SP01998;SP;6178,000;4568,000;1610,000;3831,000;1,000;0,026;0,358;0,022
