CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,292;0,018
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,292;0,024
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,292;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,292;0,023
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,292;0,031
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,292;0,023
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,292;0,019
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,292;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,292;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,292;0,028
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,292;0,034
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,292;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,583;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,583;0,039
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,583;0,054
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,875;0,067
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,292;0,020
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,292;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,292;0,018
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,292;0,018
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,292;0,018
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,292;0,028
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,292;0,025
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,292;0,029
SP00228;SP;3772,000;2679,000;1093,000;2265,000;2,000;0,088;0,583;0,075
SP00240;SP;3251,000;2449,000;802,000;2056,000;3,000;0,146;0,875;0,122
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,292;0,037
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,292;0,035
SP00252;SP;4288,000;3078,000;1210,000;2638,000;4,000;0,152;1,166;0,130
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,292;0,020
SP00254;SP;4716,000;3494,000;1222,000;2936,000;2,000;0,068;0,583;0,057
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,292;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,292;0,030
SP00258;SP;2237,000;1521,000;716,000;1192,000;3,000;0,252;0,875;0,197
SP00262;SP;6791,000;4838,000;1953,000;4128,000;3,000;0,073;0,875;0,062
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,292;0,030
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,292;0,025
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,292;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,583;0,059
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,292;0,035
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,292;0,023
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,292;0,041
SP00396;SP;2981,000;2015,000;966,000;1734,000;2,000;0,115;0,583;0,099
SP00419;SP;4961,000;3484,000;1477,000;3096,000;15,000;0,484;4,373;0,431
SP00420;SP;1442,000;1026,000;416,000;925,000;6,000;0,649;1,749;0,585
SP00421;SP;3048,000;2181,000;867,000;1947,000;31,000;1,592;9,038;1,421
SP00422;SP;10320,000;7595,000;2725,000;6744,000;15,000;0,222;4,373;0,197
SP00423;SP;4513,000;3158,000;1355,000;2820,000;19,000;0,674;5,539;0,602
SP00424;SP;4823,000;3449,000;1374,000;3041,000;6,000;0,197;1,749;0,174
SP00425;SP;6519,000;4845,000;1674,000;4356,000;2,000;0,046;0,583;0,041
SP00428;SP;5397,000;3698,000;1699,000;3296,000;3,000;0,091;0,875;0,081
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,292;0,028
SP00430;SP;8129,000;5971,000;2158,000;5396,000;6,000;0,111;1,749;0,100
SP00432;SP;3964,000;2754,000;1210,000;2401,000;2,000;0,083;0,583;0,073
SP00440;SP;4147,000;2940,000;1207,000;2548,000;3,000;0,118;0,875;0,102
SP00442;SP;3055,000;2335,000;720,000;2045,000;6,000;0,293;1,749;0,257
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,292;0,026
SP00444;SP;4038,000;3031,000;1007,000;2708,000;3,000;0,111;0,875;0,099
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,292;0,018
SP00448;SP;2058,000;1544,000;514,000;1354,000;13,000;0,960;3,790;0,842
SP00449;SP;6333,000;4838,000;1495,000;4289,000;42,000;0,979;12,245;0,868
