CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,169;0,015
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,169;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,169;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,169;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,337;0,035
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,169;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,169;0,017
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,337;0,068
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,169;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,337;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,169;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,337;0,056
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,169;0,095
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,506;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;4,000;0,050;0,675;0,047
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,169;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,169;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,169;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,169;0,018
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,169;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,169;0,030
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,169;0,050
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,169;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,169;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,169;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,169;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,169;0,028
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,337;0,059
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,169;0,034
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,169;0,052
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,169;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,337;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,337;0,039
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,337;0,054
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,337;0,039
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,169;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,337;0,022
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,169;0,017
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,337;0,048
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,169;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,169;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,169;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,169;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,169;0,021
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,169;0,037
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,337;0,068
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,337;0,029
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,169;0,035
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,169;0,033
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,337;0,043
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,169;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,169;0,018
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,169;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,337;0,033
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,169;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,169;0,020
SP00129;SP;8021,000;5609,000;2412,000;5146,000;5,000;0,097;0,843;0,089
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,169;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,337;0,055
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,169;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,169;0,015
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,169;0,047
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,169;0,018
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,506;0,053
SP00144;SP;5788,000;3963,000;1825,000;3611,000;2,000;0,055;0,337;0,050
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,169;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,169;0,018
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,169;0,057
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,169;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,169;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,169;0,020
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,169;0,026
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,169;0,050
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,169;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,169;0,016
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,169;0,044
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,169;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;3,000;0,047;0,506;0,043
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,337;0,030
