CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,078;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,078;0,023
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,078;0,027
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,078;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,078;0,025
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,078;0,015
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,078;0,020
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,078;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,078;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,078;0,026
SP00152;SP;857,000;541,000;316,000;441,000;1,000;0,227;0,078;0,185
SP00224;SP;4682,000;3295,000;1387,000;2841,000;4,000;0,141;0,312;0,121
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,078;0,029
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,078;0,021
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,078;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,078;0,022
SP00241;SP;3798,000;2913,000;885,000;2413,000;2,000;0,083;0,156;0,069
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,078;0,033
SP00243;SP;3895,000;2713,000;1182,000;2275,000;2,000;0,088;0,156;0,074
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,078;0,046
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,078;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,078;0,032
SP00251;SP;3854,000;2856,000;998,000;2435,000;2,000;0,082;0,156;0,070
SP00255;SP;6778,000;5044,000;1734,000;4293,000;3,000;0,070;0,234;0,059
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,078;0,025
SP00260;SP;6967,000;4886,000;2081,000;4112,000;3,000;0,073;0,234;0,061
SP00263;SP;10873,000;8161,000;2712,000;7067,000;3,000;0,042;0,234;0,037
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,078;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,078;0,026
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,078;0,023
SP00269;SP;4567,000;3317,000;1250,000;2813,000;2,000;0,071;0,156;0,060
SP00271;SP;6516,000;4689,000;1827,000;3929,000;6,000;0,153;0,468;0,128
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,078;0,036
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,078;0,030
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,078;0,031
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,078;0,021
