CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,304;0,018
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,304;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,304;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,608;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,304;0,019
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,304;0,034
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,608;0,048
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,304;0,095
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,304;0,008
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,304;0,021
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,304;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,304;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,304;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,304;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,304;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,304;0,030
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,304;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,304;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,304;0,027
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,304;0,032
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,304;0,022
SP00084;SP;8514,000;5960,000;2554,000;5282,000;3,000;0,057;0,912;0,050
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,304;0,018
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,304;0,027
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,304;0,034
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,304;0,035
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,304;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,304;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,304;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,304;0,017
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,304;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,304;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,608;0,029
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,304;0,039
SP00153;SP;6503,000;4705,000;1798,000;3830,000;2,000;0,052;0,608;0,043
SP00165;SP;5151,000;3881,000;1270,000;3088,000;2,000;0,065;0,608;0,052
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,304;0,036
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,304;0,031
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,304;0,016
SP00186;SP;1134,000;804,000;330,000;667,000;2,000;0,300;0,608;0,249
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,304;0,016
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,304;0,015
SP00205;SP;3126,000;2267,000;859,000;2107,000;2,000;0,095;0,608;0,088
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,304;0,033
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,304;0,021
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,304;0,069
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,304;0,034
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,304;0,030
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,304;0,042
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,304;0,020
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,304;0,026
SP00271;SP;6516,000;4689,000;1827,000;3929,000;2,000;0,051;0,608;0,043
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,304;0,031
SP00288;SP;2503,000;1898,000;605,000;1542,000;1,000;0,065;0,304;0,053
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,304;0,040
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,304;0,027
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,304;0,031
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,304;0,040
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,304;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,608;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;3,000;0,051;0,912;0,046
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,304;0,030
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,304;0,073
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,304;0,037
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,304;0,045
SP00340;SP;3747,000;2675,000;1072,000;2391,000;2,000;0,084;0,608;0,075
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,304;0,036
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,304;0,104
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,304;0,033
SP00371;SP;7513,000;5272,000;2241,000;4897,000;2,000;0,041;0,608;0,038
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,304;0,030
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,304;0,037
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,304;0,028
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,304;0,020
