CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,395;0,015
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,395;0,017
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,395;0,031
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,395;0,023
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,395;0,043
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,395;0,014
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,395;0,018
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,791;0,031
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,791;0,038
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,791;0,040
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,395;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;1,186;0,048
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,395;0,044
SP00193;SP;4453,000;3011,000;1442,000;2715,000;3,000;0,110;1,186;0,100
SP00194;SP;8615,000;6268,000;2347,000;5780,000;4,000;0,069;1,581;0,064
SP00195;SP;3523,000;2306,000;1217,000;2013,000;2,000;0,099;0,791;0,087
SP00196;SP;3423,000;2500,000;923,000;2236,000;2,000;0,089;0,791;0,080
SP00199;SP;9351,000;6697,000;2654,000;6031,000;3,000;0,050;1,186;0,045
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,395;0,015
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,395;0,045
SP00211;SP;6388,000;4682,000;1706,000;4168,000;25,000;0,600;9,881;0,534
SP00212;SP;5586,000;4124,000;1462,000;3719,000;20,000;0,538;7,905;0,485
SP00213;SP;4732,000;3454,000;1278,000;3107,000;9,000;0,290;3,557;0,261
SP00214;SP;5779,000;4297,000;1482,000;3759,000;8,000;0,213;3,162;0,186
SP00216;SP;2036,000;1558,000;478,000;1384,000;15,000;1,084;5,929;0,963
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,395;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;7,000;0,307;2,767;0,272
SP00219;SP;5453,000;3846,000;1607,000;3316,000;11,000;0,332;4,348;0,286
SP00220;SP;2119,000;1454,000;665,000;1292,000;5,000;0,387;1,976;0,344
SP00466;SP;6038,000;4389,000;1649,000;3812,000;2,000;0,052;0,791;0,046
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,395;0,027
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,395;0,028
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,395;0,019
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,395;0,039
SP00724;SP;3664,000;2699,000;965,000;2432,000;4,000;0,164;1,581;0,148
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,395;0,024
SP00726;SP;4468,000;3025,000;1443,000;2675,000;1,000;0,037;0,395;0,033
SP00729;SP;8105,000;5929,000;2176,000;5111,000;2,000;0,039;0,791;0,034
SP00730;SP;5502,000;4153,000;1349,000;3563,000;2,000;0,056;0,791;0,048
SP00731;SP;4685,000;3466,000;1219,000;3004,000;3,000;0,100;1,186;0,087
SP00734;SP;3871,000;2912,000;959,000;2509,000;1,000;0,040;0,395;0,034
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,395;0,023
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,395;0,030
SP00745;SP;4714,000;3481,000;1233,000;3072,000;3,000;0,098;1,186;0,086
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,395;0,026
SP00748;SP;3624,000;2591,000;1033,000;2215,000;4,000;0,181;1,581;0,154
SP00754;SP;1139,000;973,000;166,000;857,000;1,000;0,117;0,395;0,103
SP00764;SP;1319,000;1062,000;257,000;886,000;1,000;0,113;0,395;0,094
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,395;0,023
SP00886;SP;3614,000;2519,000;1095,000;2153,000;2,000;0,093;0,791;0,079
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,395;0,020
SP00950;SP;6838,000;5137,000;1701,000;4204,000;2,000;0,048;0,791;0,039
SP00956;SP;6086,000;4211,000;1875,000;3458,000;1,000;0,029;0,395;0,024
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,395;0,031
SP01110;SP;3484,000;2522,000;962,000;2110,000;1,000;0,047;0,395;0,040
SP01182;SP;5929,000;4415,000;1514,000;3910,000;2,000;0,051;0,791;0,045
SP01197;SP;6065,000;4526,000;1539,000;3795,000;2,000;0,053;0,791;0,044
SP01273;SP;6832,000;4837,000;1995,000;4051,000;1,000;0,025;0,395;0,021
SP01274;SP;6482,000;4544,000;1938,000;3933,000;1,000;0,025;0,395;0,022
SP01275;SP;8215,000;5845,000;2370,000;4919,000;2,000;0,041;0,791;0,034
SP01276;SP;5814,000;4245,000;1569,000;3567,000;2,000;0,056;0,791;0,047
SP01277;SP;5451,000;4180,000;1271,000;3551,000;4,000;0,113;1,581;0,096
SP01279;SP;7160,000;5349,000;1811,000;4413,000;1,000;0,023;0,395;0,019
SP01282;SP;8652,000;6512,000;2140,000;5430,000;2,000;0,037;0,791;0,031
SP01284;SP;2886,000;2225,000;661,000;1912,000;1,000;0,052;0,395;0,045
SP01285;SP;4343,000;3311,000;1032,000;2805,000;1,000;0,036;0,395;0,030
SP01288;SP;3628,000;2787,000;841,000;2393,000;1,000;0,042;0,395;0,036
SP01289;SP;8261,000;6336,000;1925,000;5214,000;1,000;0,019;0,395;0,016
SP01290;SP;5911,000;4545,000;1366,000;3870,000;1,000;0,026;0,395;0,022
SP01292;SP;5775,000;4372,000;1403,000;3718,000;2,000;0,054;0,791;0,046
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;0,395;0,025
SP01305;SP;3647,000;2691,000;956,000;2223,000;1,000;0,045;0,395;0,037
SP01306;SP;10069,000;7542,000;2527,000;6154,000;1,000;0,016;0,395;0,013
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,395;0,030
SP01314;SP;4826,000;3450,000;1376,000;2922,000;1,000;0,034;0,395;0,029
SP01316;SP;6703,000;4570,000;2133,000;3887,000;1,000;0,026;0,395;0,022
SP01321;SP;5117,000;3907,000;1210,000;3326,000;3,000;0,090;1,186;0,077
SP01323;SP;6741,000;5078,000;1663,000;4301,000;1,000;0,023;0,395;0,020
SP01330;SP;7538,000;5905,000;1633,000;5127,000;1,000;0,020;0,395;0,017
SP01347;SP;7950,000;5978,000;1972,000;5066,000;2,000;0,039;0,791;0,033
SP01348;SP;3369,000;2354,000;1015,000;1888,000;1,000;0,053;0,395;0,042
SP01349;SP;7723,000;5766,000;1957,000;4646,000;1,000;0,022;0,395;0,017
SP01362;SP;7767,000;5488,000;2279,000;4591,000;1,000;0,022;0,395;0,018
SP01366;SP;6944,000;5099,000;1845,000;4243,000;2,000;0,047;0,791;0,039
SP01376;SP;2812,000;2168,000;644,000;1801,000;1,000;0,056;0,395;0,046
SP01386;SP;5463,000;4021,000;1442,000;3254,000;1,000;0,031;0,395;0,025
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;0,395;0,025
SP01421;SP;9984,000;7349,000;2635,000;6353,000;1,000;0,016;0,395;0,014
SP01456;SP;5392,000;4124,000;1268,000;3409,000;1,000;0,029;0,395;0,024
SP01518;SP;6543,000;4968,000;1575,000;4096,000;1,000;0,024;0,395;0,020
SP01520;SP;4453,000;3273,000;1180,000;2709,000;1,000;0,037;0,395;0,031
SP01524;SP;6877,000;5256,000;1621,000;4395,000;3,000;0,068;1,186;0,057
