CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,140;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,140;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,140;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,140;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,140;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,279;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,279;0,033
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,279;0,048
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,279;0,073
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,140;0,045
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,140;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,140;0,026
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,140;0,031
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,140;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,140;0,023
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,140;0,019
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,140;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,140;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,140;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,140;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,140;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,140;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,140;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,279;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,279;0,039
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,140;0,022
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,140;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,140;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,140;0,017
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,140;0,021
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,140;0,028
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,140;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,279;0,060
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,140;0,015
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,140;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,140;0,020
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,140;0,044
