CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,084;0,021
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,084;0,016
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,084;0,031
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,084;0,031
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,168;0,052
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,084;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,084;0,008
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,084;0,019
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,084;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,084;0,018
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,084;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,084;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,084;0,019
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,168;0,050
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,084;0,032
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,084;0,027
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,084;0,011
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,084;0,030
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,084;0,033
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,084;0,011
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,084;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,084;0,017
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,084;0,027
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,084;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,084;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;3,000;0,074;0,252;0,062
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,084;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,168;0,040
SP00164;SP;5864,000;4364,000;1500,000;3543,000;2,000;0,056;0,168;0,046
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,084;0,033
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,084;0,020
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,084;0,028
SP00185;SP;785,000;570,000;215,000;463,000;1,000;0,216;0,084;0,175
SP00188;SP;4302,000;3191,000;1111,000;2652,000;2,000;0,075;0,168;0,063
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,084;0,045
SP00225;SP;4793,000;3416,000;1377,000;2882,000;2,000;0,069;0,168;0,059
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,084;0,032
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,084;0,029
