CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,226;0,026
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,226;0,026
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,226;0,043
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,226;0,033
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,226;0,027
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,226;0,025
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,226;0,028
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,226;0,014
SP00276;SP;4234,000;3269,000;965,000;2704,000;7,000;0,259;1,584;0,214
SP00279;SP;3855,000;2853,000;1002,000;2307,000;2,000;0,087;0,452;0,070
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,226;0,035
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,226;0,050
SP00418;SP;1339,000;967,000;372,000;784,000;1,000;0,128;0,226;0,103
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,226;0,017
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,226;0,026
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,226;0,033
SP00458;SP;8529,000;5970,000;2559,000;5339,000;2,000;0,037;0,452;0,034
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,226;0,052
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,226;0,020
SP00560;SP;4755,000;3443,000;1312,000;2876,000;1,000;0,035;0,226;0,029
SP00590;SP;7580,000;5281,000;2299,000;4546,000;3,000;0,066;0,679;0,057
SP00591;SP;6263,000;4400,000;1863,000;3772,000;2,000;0,053;0,452;0,045
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,226;0,033
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,226;0,046
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,226;0,031
SP00686;SP;9715,000;6586,000;3129,000;5733,000;2,000;0,035;0,452;0,030
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,226;0,017
SP00698;SP;4269,000;3022,000;1247,000;2595,000;1,000;0,039;0,226;0,033
SP00712;SP;7054,000;5112,000;1942,000;4323,000;2,000;0,046;0,452;0,039
SP00713;SP;5464,000;4097,000;1367,000;3538,000;3,000;0,085;0,679;0,073
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;0,226;0,044
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,226;0,040
SP00721;SP;3054,000;2197,000;857,000;1978,000;1,000;0,051;0,226;0,046
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,226;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,226;0,017
SP00736;SP;6501,000;5079,000;1422,000;4352,000;1,000;0,023;0,226;0,020
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,226;0,030
SP00860;SP;3076,000;2411,000;665,000;1994,000;1,000;0,050;0,226;0,041
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;0,226;0,018
SP00979;SP;3936,000;2939,000;997,000;2570,000;1,000;0,039;0,226;0,034
SP01018;SP;4200,000;2913,000;1287,000;2462,000;1,000;0,041;0,226;0,034
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,226;0,019
SP01032;SP;4988,000;3787,000;1201,000;3216,000;3,000;0,093;0,679;0,079
SP01033;SP;4681,000;3640,000;1041,000;3143,000;1,000;0,032;0,226;0,027
SP01058;SP;5074,000;3597,000;1477,000;3098,000;1,000;0,032;0,226;0,028
SP01067;SP;3428,000;2676,000;752,000;2228,000;3,000;0,135;0,679;0,112
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,226;0,036
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;0,226;0,013
SP01084;SP;4187,000;3316,000;871,000;2810,000;1,000;0,036;0,226;0,030
SP01097;SP;7641,000;5404,000;2237,000;4710,000;1,000;0,021;0,226;0,019
SP01123;SP;8211,000;5806,000;2405,000;4970,000;2,000;0,040;0,452;0,034
SP01127;SP;7942,000;5676,000;2266,000;4893,000;9,000;0,184;2,036;0,159
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;0,226;0,029
SP01129;SP;6181,000;4505,000;1676,000;3834,000;7,000;0,183;1,584;0,155
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,226;0,025
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,226;0,025
SP01138;SP;3414,000;2601,000;813,000;2219,000;2,000;0,090;0,452;0,077
SP01148;SP;2683,000;2057,000;626,000;1715,000;1,000;0,058;0,226;0,049
SP01150;SP;1851,000;1423,000;428,000;1168,000;1,000;0,086;0,226;0,070
SP01159;SP;2758,000;2109,000;649,000;1753,000;1,000;0,057;0,226;0,047
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;0,226;0,029
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,226;0,020
SP01228;SP;4077,000;2878,000;1199,000;2288,000;1,000;0,044;0,226;0,035
