CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;1,117;0,030
SP00003;SP;6223,000;3562,000;2661,000;3191,000;6,000;0,188;3,352;0,168
SP00004;SP;6071,000;4117,000;1954,000;3653,000;6,000;0,164;3,352;0,146
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;1,117;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;6,000;0,118;3,352;0,105
SP00008;SP;4250,000;2710,000;1540,000;2422,000;5,000;0,206;2,793;0,185
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,559;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;1,117;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;1,117;0,045
SP00016;SP;4976,000;3125,000;1851,000;2763,000;3,000;0,109;1,676;0,096
SP00018;SP;5238,000;3256,000;1982,000;2906,000;9,000;0,310;5,028;0,276
SP00022;SP;5474,000;3858,000;1616,000;3218,000;5,000;0,155;2,793;0,130
SP00026;SP;1515,000;1057,000;458,000;941,000;5,000;0,531;2,793;0,473
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,559;0,052
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,559;0,031
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,559;0,027
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,559;0,029
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,559;0,043
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,559;0,031
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,559;0,037
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,559;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,559;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,559;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,559;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;3,000;0,061;1,676;0,054
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,559;0,026
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,559;0,030
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,559;0,034
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,559;0,022
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,559;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,559;0,021
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,559;0,021
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,559;0,035
SP00287;SP;1938,000;1490,000;448,000;1274,000;2,000;0,157;1,117;0,134
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,559;0,044
SP00300;SP;5119,000;3795,000;1324,000;3340,000;2,000;0,060;1,117;0,053
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,559;0,023
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;0,559;0,067
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,559;0,019
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,559;0,032
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,559;0,018
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,559;0,014
SP00516;SP;6938,000;4877,000;2061,000;4090,000;2,000;0,049;1,117;0,041
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,559;0,028
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,559;0,021
SP00593;SP;5605,000;4143,000;1462,000;3635,000;2,000;0,055;1,117;0,048
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,559;0,016
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,559;0,024
SP00776;SP;6598,000;4696,000;1902,000;4003,000;2,000;0,050;1,117;0,043
SP00798;SP;3561,000;2771,000;790,000;2464,000;2,000;0,081;1,117;0,072
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;0,559;0,018
SP00860;SP;3076,000;2411,000;665,000;1994,000;1,000;0,050;0,559;0,041
SP00874;SP;3637,000;2753,000;884,000;2278,000;1,000;0,044;0,559;0,036
SP00878;SP;4052,000;3009,000;1043,000;2553,000;1,000;0,039;0,559;0,033
SP00881;SP;1173,000;898,000;275,000;759,000;2,000;0,264;1,117;0,223
SP00980;SP;4362,000;2972,000;1390,000;2771,000;1,000;0,036;0,559;0,034
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,559;0,019
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,559;0,031
SP01040;SP;3542,000;2624,000;918,000;2319,000;1,000;0,043;0,559;0,038
SP01070;SP;3112,000;2381,000;731,000;2017,000;1,000;0,050;0,559;0,042
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;0,559;0,013
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,559;0,016
SP01082;SP;2526,000;1599,000;927,000;1355,000;1,000;0,074;0,559;0,063
SP01089;SP;5551,000;4240,000;1311,000;3578,000;1,000;0,028;0,559;0,024
SP01094;SP;4951,000;3460,000;1491,000;3031,000;1,000;0,033;0,559;0,029
