CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,100;0,017
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,200;0,048
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,100;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,100;0,034
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,100;0,108
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,100;0,010
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,100;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,200;0,029
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,100;0,038
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,100;0,034
SP00228;SP;3772,000;2679,000;1093,000;2265,000;2,000;0,088;0,200;0,075
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,100;0,021
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,100;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,100;0,022
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,100;0,037
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,100;0,083
SP00245;SP;1860,000;1458,000;402,000;1167,000;2,000;0,171;0,200;0,137
SP00254;SP;4716,000;3494,000;1222,000;2936,000;2,000;0,068;0,200;0,057
SP00256;SP;4254,000;3283,000;971,000;2674,000;6,000;0,224;0,601;0,183
SP00257;SP;5556,000;4081,000;1475,000;3166,000;4,000;0,126;0,401;0,098
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,200;0,041
SP00263;SP;10873,000;8161,000;2712,000;7067,000;5,000;0,071;0,501;0,061
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,100;0,021
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,100;0,023
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,100;0,023
SP00269;SP;4567,000;3317,000;1250,000;2813,000;2,000;0,071;0,200;0,060
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,100;0,022
SP00275;SP;4248,000;3284,000;964,000;2804,000;3,000;0,107;0,301;0,091
SP00277;SP;4274,000;3219,000;1055,000;2691,000;2,000;0,074;0,200;0,062
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;0,200;0,041
SP00281;SP;5656,000;4194,000;1462,000;3612,000;4,000;0,111;0,401;0,095
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,100;0,020
SP00283;SP;4282,000;3227,000;1055,000;2653,000;5,000;0,188;0,501;0,155
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,100;0,056
SP00286;SP;6009,000;4463,000;1546,000;3798,000;2,000;0,053;0,200;0,045
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,100;0,035
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,100;0,018
SP00335;SP;4066,000;2940,000;1126,000;2443,000;5,000;0,205;0,501;0,170
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,100;0,037
SP00354;SP;1134,000;865,000;269,000;715,000;1,000;0,140;0,100;0,116
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,100;0,019
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,100;0,035
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;0,100;0,067
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,100;0,023
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;0,200;0,026
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,100;0,021
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,100;0,019
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,100;0,029
SP00440;SP;4147,000;2940,000;1207,000;2548,000;2,000;0,078;0,200;0,068
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;0,100;0,043
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,100;0,055
SP00447;SP;4015,000;3076,000;939,000;2611,000;3,000;0,115;0,301;0,098
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,100;0,017
SP00469;SP;5448,000;3854,000;1594,000;3445,000;2,000;0,058;0,200;0,052
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,100;0,021
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,100;0,021
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,100;0,024
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,100;0,032
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;0,100;0,029
SP00568;SP;4355,000;3188,000;1167,000;2856,000;1,000;0,035;0,100;0,031
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,100;0,032
SP00581;SP;5307,000;3773,000;1534,000;3338,000;3,000;0,090;0,301;0,080
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,100;0,023
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,100;0,033
SP00604;SP;3537,000;2594,000;943,000;2222,000;3,000;0,135;0,301;0,116
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,100;0,029
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,100;0,026
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,100;0,013
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,100;0,014
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,100;0,039
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,100;0,020
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,100;0,026
SP00699;SP;2845,000;1980,000;865,000;1691,000;2,000;0,118;0,200;0,101
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,100;0,026
SP00774;SP;7854,000;5792,000;2062,000;5026,000;2,000;0,040;0,200;0,035
SP00775;SP;7449,000;5305,000;2144,000;4528,000;2,000;0,044;0,200;0,038
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,100;0,019
SP00791;SP;1168,000;863,000;305,000;759,000;2,000;0,264;0,200;0,232
SP00792;SP;2736,000;2040,000;696,000;1747,000;1,000;0,057;0,100;0,049
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,100;0,030
SP00843;SP;5641,000;3932,000;1709,000;3203,000;2,000;0,062;0,200;0,051
SP00845;SP;1830,000;1419,000;411,000;1181,000;1,000;0,085;0,100;0,070
SP00846;SP;7352,000;5299,000;2053,000;4323,000;1,000;0,023;0,100;0,019
SP00854;SP;6049,000;4219,000;1830,000;3570,000;4,000;0,112;0,401;0,095
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,100;0,022
SP00857;SP;3507,000;2824,000;683,000;2367,000;2,000;0,084;0,200;0,071
SP00858;SP;6096,000;4589,000;1507,000;3794,000;5,000;0,132;0,501;0,109
SP00859;SP;4366,000;3337,000;1029,000;2773,000;1,000;0,036;0,100;0,030
SP00861;SP;3884,000;2990,000;894,000;2383,000;1,000;0,042;0,100;0,033
SP00862;SP;4149,000;3028,000;1121,000;2481,000;2,000;0,081;0,200;0,066
SP00866;SP;2305,000;1801,000;504,000;1511,000;1,000;0,066;0,100;0,056
SP00867;SP;2195,000;1726,000;469,000;1441,000;2,000;0,139;0,200;0,116
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,100;0,030
SP00871;SP;4180,000;3171,000;1009,000;2619,000;3,000;0,115;0,301;0,095
SP00872;SP;4150,000;2963,000;1187,000;2373,000;1,000;0,042;0,100;0,034
SP00875;SP;4489,000;3490,000;999,000;2842,000;1,000;0,035;0,100;0,029
SP00879;SP;5137,000;3540,000;1597,000;2959,000;2,000;0,068;0,200;0,056
SP00882;SP;1968,000;1497,000;471,000;1197,000;2,000;0,167;0,200;0,134
SP00894;SP;4335,000;3134,000;1201,000;2776,000;1,000;0,036;0,100;0,032
SP00932;SP;3504,000;2674,000;830,000;2191,000;1,000;0,046;0,100;0,037
SP00933;SP;6037,000;4261,000;1776,000;3621,000;1,000;0,028;0,100;0,023
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,200;0,033
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,100;0,021
SP01009;SP;3257,000;2457,000;800,000;2139,000;2,000;0,094;0,200;0,081
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;0,100;0,024
