CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;12,000;0,197;0,030;0,181
SP00002;SP;8476,000;5539,000;2937,000;5059,000;12,000;0,237;0,030;0,217
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,007;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;5,000;0,137;0,012;0,121
SP00005;SP;7574,000;4851,000;2723,000;4286,000;5,000;0,117;0,012;0,103
SP00006;SP;6187,000;4196,000;1991,000;3800,000;10,000;0,263;0,025;0,238
SP00007;SP;9748,000;5727,000;4021,000;5077,000;9,000;0,177;0,022;0,157
SP00008;SP;4250,000;2710,000;1540,000;2422,000;4,000;0,165;0,010;0,148
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,007;0,077
SP00010;SP;9269,000;6039,000;3230,000;5553,000;14,000;0,252;0,035;0,232
SP00011;SP;7822,000;5249,000;2573,000;4769,000;4,000;0,084;0,010;0,076
SP00012;SP;9441,000;6116,000;3325,000;5498,000;11,000;0,200;0,027;0,180
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,005;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;11,000;0,280;0,027;0,248
SP00015;SP;4890,000;3200,000;1690,000;2777,000;5,000;0,180;0,012;0,156
SP00016;SP;4976,000;3125,000;1851,000;2763,000;8,000;0,290;0,020;0,256
SP00017;SP;6847,000;4140,000;2707,000;3704,000;9,000;0,243;0,022;0,217
SP00018;SP;5238,000;3256,000;1982,000;2906,000;10,000;0,344;0,025;0,307
SP00019;SP;4798,000;3546,000;1252,000;3272,000;7,000;0,214;0,017;0,197
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,002;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,002;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;4,000;0,124;0,010;0,104
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,002;0,220
SP00026;SP;1515,000;1057,000;458,000;941,000;3,000;0,319;0,007;0,284
SP00027;SP;3011,000;1933,000;1078,000;1784,000;3,000;0,168;0,007;0,155
SP00028;SP;8070,000;5175,000;2895,000;4726,000;10,000;0,212;0,025;0,193
SP00029;SP;17797,000;12599,000;5198,000;11769,000;14,000;0,119;0,035;0,111
SP00030;SP;2911,000;1924,000;987,000;1764,000;6,000;0,340;0,015;0,312
SP00031;SP;6412,000;4268,000;2144,000;3816,000;8,000;0,210;0,020;0,187
SP00032;SP;11991,000;8507,000;3484,000;8030,000;10,000;0,125;0,025;0,118
SP00033;SP;7735,000;5271,000;2464,000;4792,000;5,000;0,104;0,012;0,095
SP00034;SP;5401,000;3246,000;2155,000;2941,000;4,000;0,136;0,010;0,123
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,007;0,078
SP00036;SP;6716,000;4776,000;1940,000;4457,000;10,000;0,224;0,025;0,209
SP00037;SP;5446,000;3922,000;1524,000;3606,000;7,000;0,194;0,017;0,178
SP00038;SP;8044,000;5650,000;2394,000;5177,000;7,000;0,135;0,017;0,124
SP00039;SP;6391,000;4336,000;2055,000;3981,000;5,000;0,126;0,012;0,115
SP00040;SP;7288,000;5434,000;1854,000;4999,000;10,000;0,200;0,025;0,184
SP00041;SP;4585,000;3191,000;1394,000;2950,000;5,000;0,169;0,012;0,157
SP00042;SP;3797,000;2921,000;876,000;2677,000;4,000;0,149;0,010;0,137
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,005;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;6,000;0,113;0,015;0,104
SP00045;SP;3377,000;2532,000;845,000;2298,000;4,000;0,174;0,010;0,158
SP00046;SP;8211,000;6097,000;2114,000;5678,000;10,000;0,176;0,025;0,164
SP00047;SP;4672,000;3348,000;1324,000;3050,000;4,000;0,131;0,010;0,119
SP00048;SP;5609,000;4361,000;1248,000;4021,000;10,000;0,249;0,025;0,229
SP00049;SP;2731,000;2018,000;713,000;1902,000;5,000;0,263;0,012;0,248
SP00051;SP;9919,000;6324,000;3595,000;5895,000;13,000;0,221;0,032;0,206
SP00052;SP;5165,000;3133,000;2032,000;2746,000;5,000;0,182;0,012;0,160
SP00053;SP;6007,000;3594,000;2413,000;3140,000;11,000;0,350;0,027;0,306
SP00054;SP;5696,000;3753,000;1943,000;3197,000;8,000;0,250;0,020;0,213
SP00055;SP;8226,000;5391,000;2835,000;4660,000;5,000;0,107;0,012;0,093
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;0,010;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;8,000;0,322;0,020;0,275
SP00058;SP;5387,000;3548,000;1839,000;3095,000;10,000;0,323;0,025;0,282
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;0,007;0,074
SP00060;SP;6204,000;4150,000;2054,000;3582,000;5,000;0,140;0,012;0,120
SP00061;SP;5110,000;3413,000;1697,000;2995,000;4,000;0,134;0,010;0,117
SP00062;SP;4386,000;2971,000;1415,000;2589,000;4,000;0,154;0,010;0,135
SP00063;SP;2961,000;1817,000;1144,000;1572,000;4,000;0,254;0,010;0,220
SP00064;SP;6208,000;4037,000;2171,000;3511,000;5,000;0,142;0,012;0,124
SP00065;SP;3705,000;2327,000;1378,000;1980,000;3,000;0,152;0,007;0,129
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,005;0,104
SP00067;SP;1499,000;922,000;577,000;799,000;3,000;0,375;0,007;0,325
SP00069;SP;2939,000;2032,000;907,000;1793,000;3,000;0,167;0,007;0,148
SP00070;SP;4221,000;2997,000;1224,000;2670,000;13,000;0,487;0,032;0,434
SP00071;SP;6547,000;4082,000;2465,000;3615,000;4,000;0,111;0,010;0,098
SP00072;SP;4862,000;3103,000;1759,000;2736,000;4,000;0,146;0,010;0,129
SP00073;SP;14871,000;9817,000;5054,000;8895,000;14,000;0,157;0,035;0,143
SP00074;SP;4599,000;3060,000;1539,000;2770,000;7,000;0,253;0,017;0,229
SP00075;SP;2374,000;1530,000;844,000;1347,000;3,000;0,223;0,007;0,196
SP00076;SP;7781,000;5170,000;2611,000;4521,000;8,000;0,177;0,020;0,155
SP00077;SP;5316,000;3714,000;1602,000;3239,000;3,000;0,093;0,007;0,081
SP00078;SP;6145,000;4471,000;1674,000;4014,000;5,000;0,125;0,012;0,112
SP00079;SP;6753,000;5126,000;1627,000;4484,000;7,000;0,156;0,017;0,137
SP00081;SP;4985,000;3194,000;1791,000;2755,000;8,000;0,290;0,020;0,250
SP00082;SP;2042,000;1343,000;699,000;1191,000;4,000;0,336;0,010;0,298
SP00083;SP;12710,000;9298,000;3412,000;8373,000;20,000;0,239;0,050;0,215
SP00084;SP;8514,000;5960,000;2554,000;5282,000;7,000;0,133;0,017;0,117
SP00085;SP;7942,000;5522,000;2420,000;4861,000;12,000;0,247;0,030;0,217
SP00086;SP;5934,000;4153,000;1781,000;3692,000;3,000;0,081;0,007;0,072
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,005;0,041
SP00088;SP;8110,000;5666,000;2444,000;5056,000;16,000;0,316;0,040;0,282
