CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,197;0,016
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,197;0,008
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,197;0,019
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,197;0,055
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,197;0,030
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,197;0,021
SP00228;SP;3772,000;2679,000;1093,000;2265,000;2,000;0,088;0,394;0,075
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,197;0,066
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,394;0,042
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,197;0,083
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,197;0,020
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,394;0,041
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,197;0,025
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,197;0,021
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,197;0,019
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,197;0,056
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,197;0,023
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,197;0,025
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,197;0,026
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;0,197;0,033
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,197;0,030
SP00875;SP;4489,000;3490,000;999,000;2842,000;1,000;0,035;0,197;0,029
SP00972;SP;5527,000;3750,000;1777,000;3325,000;1,000;0,030;0,197;0,027
SP01017;SP;3849,000;2621,000;1228,000;2231,000;2,000;0,090;0,394;0,076
SP01022;SP;7237,000;5347,000;1890,000;4505,000;3,000;0,067;0,591;0,056
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,197;0,025
SP01119;SP;893,000;706,000;187,000;615,000;2,000;0,325;0,394;0,283
SP01190;SP;5137,000;3599,000;1538,000;3067,000;4,000;0,130;0,787;0,111
SP01193;SP;6918,000;4893,000;2025,000;4015,000;1,000;0,025;0,197;0,020
SP01194;SP;3150,000;2305,000;845,000;1880,000;1,000;0,053;0,197;0,043
SP01195;SP;5991,000;4371,000;1620,000;3710,000;23,000;0,620;4,528;0,526
SP01196;SP;6441,000;4626,000;1815,000;3945,000;102,000;2,586;20,079;2,205
SP01197;SP;6065,000;4526,000;1539,000;3795,000;64,000;1,686;12,598;1,414
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;0,197;0,029
SP01199;SP;4561,000;3429,000;1132,000;2819,000;12,000;0,426;2,362;0,350
SP01200;SP;4925,000;3653,000;1272,000;2996,000;57,000;1,903;11,220;1,560
SP01201;SP;5937,000;4477,000;1460,000;3616,000;4,000;0,111;0,787;0,089
SP01202;SP;6413,000;4790,000;1623,000;3995,000;1,000;0,025;0,197;0,021
SP01204;SP;5365,000;4097,000;1268,000;3436,000;25,000;0,728;4,921;0,610
SP01205;SP;6483,000;4885,000;1598,000;4000,000;21,000;0,525;4,134;0,430
SP01206;SP;4510,000;3346,000;1164,000;2819,000;3,000;0,106;0,591;0,090
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,197;0,019
SP01209;SP;7838,000;5777,000;2061,000;4668,000;12,000;0,257;2,362;0,208
SP01210;SP;3150,000;2428,000;722,000;1963,000;22,000;1,121;4,331;0,906
SP01211;SP;4601,000;3490,000;1111,000;2769,000;1,000;0,036;0,197;0,029
SP01213;SP;4450,000;3366,000;1084,000;2741,000;25,000;0,912;4,921;0,743
SP01214;SP;5318,000;3918,000;1400,000;3148,000;12,000;0,381;2,362;0,306
SP01216;SP;4894,000;3798,000;1096,000;2945,000;19,000;0,645;3,740;0,500
SP01217;SP;2233,000;1667,000;566,000;1283,000;1,000;0,078;0,197;0,060
SP01218;SP;1256,000;984,000;272,000;793,000;11,000;1,387;2,165;1,118
SP01219;SP;3597,000;2723,000;874,000;2163,000;4,000;0,185;0,787;0,147
SP01220;SP;2623,000;2080,000;543,000;1725,000;3,000;0,174;0,591;0,144
SP01222;SP;2122,000;1664,000;458,000;1336,000;5,000;0,374;0,984;0,300
SP01223;SP;3886,000;2757,000;1129,000;2228,000;3,000;0,135;0,591;0,109
SP01237;SP;5922,000;4157,000;1765,000;3352,000;1,000;0,030;0,197;0,024
SP01238;SP;4275,000;3201,000;1074,000;2644,000;1,000;0,038;0,197;0,031
SP01248;SP;6322,000;4741,000;1581,000;3875,000;1,000;0,026;0,197;0,021
SP01249;SP;7808,000;5587,000;2221,000;4469,000;1,000;0,022;0,197;0,018
SP01255;SP;5145,000;3807,000;1338,000;3011,000;1,000;0,033;0,197;0,026
SP01260;SP;5635,000;4150,000;1485,000;3295,000;1,000;0,030;0,197;0,024
SP01267;SP;3668,000;2674,000;994,000;2188,000;1,000;0,046;0,197;0,037
SP01414;SP;11881,000;8889,000;2992,000;7501,000;1,000;0,013;0,197;0,011
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;0,197;0,019
SP01647;SP;3641,000;2859,000;782,000;2359,000;1,000;0,042;0,197;0,035
SP01675;SP;7296,000;5435,000;1861,000;4628,000;1,000;0,022;0,197;0,018
SP01676;SP;7202,000;5553,000;1649,000;4501,000;1,000;0,022;0,197;0,018
SP01682;SP;3870,000;2932,000;938,000;2329,000;1,000;0,043;0,197;0,034
SP01686;SP;7314,000;5422,000;1892,000;4542,000;3,000;0,066;0,591;0,055
SP01691;SP;6176,000;4697,000;1479,000;3802,000;1,000;0,026;0,197;0,021
SP01693;SP;5042,000;3888,000;1154,000;3140,000;2,000;0,064;0,394;0,051
SP01695;SP;2859,000;2244,000;615,000;1904,000;2,000;0,105;0,394;0,089
SP01697;SP;6299,000;4729,000;1570,000;4049,000;1,000;0,025;0,197;0,021
SP01701;SP;5870,000;4471,000;1399,000;3616,000;1,000;0,028;0,197;0,022
SP01706;SP;6272,000;4442,000;1830,000;3788,000;2,000;0,053;0,394;0,045
SP01708;SP;4897,000;3752,000;1145,000;3009,000;2,000;0,066;0,394;0,053
SP01779;SP;3173,000;2448,000;725,000;2056,000;1,000;0,049;0,197;0,041
SP01796;SP;5940,000;4145,000;1795,000;3466,000;1,000;0,029;0,197;0,024
SP01808;SP;2234,000;1638,000;596,000;1322,000;1,000;0,076;0,197;0,061
SP01809;SP;4775,000;3643,000;1132,000;3094,000;1,000;0,032;0,197;0,027
SP01813;SP;5173,000;3885,000;1288,000;3261,000;1,000;0,031;0,197;0,026
SP01861;SP;5487,000;3813,000;1674,000;3319,000;1,000;0,030;0,197;0,026
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;0,197;0,017
SP01994;SP;8040,000;6246,000;1794,000;5147,000;1,000;0,019;0,197;0,016
SP02021;SP;4916,000;3842,000;1074,000;3229,000;1,000;0,031;0,197;0,026
