CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,735;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,735;0,024
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;1,471;0,065
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,735;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,735;0,025
SP00258;SP;2237,000;1521,000;716,000;1192,000;3,000;0,252;2,206;0,197
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,735;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,735;0,021
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,735;0,021
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,735;0,020
SP00273;SP;5615,000;4390,000;1225,000;3670,000;7,000;0,191;5,147;0,159
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,735;0,022
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,735;0,032
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,735;0,019
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,735;0,056
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,735;0,023
SP00403;SP;6930,000;5024,000;1906,000;4268,000;4,000;0,094;2,941;0,080
SP00404;SP;5256,000;3768,000;1488,000;3185,000;2,000;0,063;1,471;0,053
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,735;0,036
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;1,471;0,039
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,735;0,075
SP00413;SP;5079,000;3987,000;1092,000;3298,000;4,000;0,121;2,941;0,100
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;0,735;0,080
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,735;0,017
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,735;0,026
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,735;0,052
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,735;0,019
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,735;0,025
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,735;0,041
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,735;0,017
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,735;0,021
SP00845;SP;1830,000;1419,000;411,000;1181,000;2,000;0,169;1,471;0,141
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;0,735;0,033
SP00854;SP;6049,000;4219,000;1830,000;3570,000;1,000;0,028;0,735;0,024
SP00855;SP;3058,000;2169,000;889,000;1851,000;1,000;0,054;0,735;0,046
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,735;0,022
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,735;0,035
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;0,735;0,022
SP00862;SP;4149,000;3028,000;1121,000;2481,000;1,000;0,040;0,735;0,033
SP00863;SP;3714,000;2835,000;879,000;2384,000;2,000;0,084;1,471;0,071
SP00866;SP;2305,000;1801,000;504,000;1511,000;1,000;0,066;0,735;0,056
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,735;0,030
SP00873;SP;5220,000;3631,000;1589,000;3139,000;1,000;0,032;0,735;0,028
SP00912;SP;2322,000;1799,000;523,000;1573,000;1,000;0,064;0,735;0,056
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,735;0,020
SP00942;SP;6510,000;5027,000;1483,000;4307,000;1,000;0,023;0,735;0,020
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,735;0,031
SP01031;SP;4290,000;3312,000;978,000;2843,000;1,000;0,035;0,735;0,030
SP01038;SP;3517,000;2693,000;824,000;2279,000;1,000;0,044;0,735;0,037
SP01048;SP;1647,000;1281,000;366,000;1090,000;1,000;0,092;0,735;0,078
SP01172;SP;6690,000;4889,000;1801,000;4302,000;1,000;0,023;0,735;0,020
SP01230;SP;2563,000;1804,000;759,000;1469,000;1,000;0,068;0,735;0,055
SP01246;SP;6332,000;4869,000;1463,000;4069,000;1,000;0,025;0,735;0,021
SP01248;SP;6322,000;4741,000;1581,000;3875,000;1,000;0,026;0,735;0,021
