CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;1,064;0,052
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,532;0,024
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,532;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,532;0,017
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,532;0,024
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,532;0,028
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,532;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,532;0,019
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,532;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,532;0,025
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,532;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,532;0,033
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,532;0,016
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,532;0,015
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,532;0,021
SP00228;SP;3772,000;2679,000;1093,000;2265,000;4,000;0,177;2,128;0,149
SP00268;SP;6330,000;4415,000;1915,000;3742,000;2,000;0,053;1,064;0,045
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,532;0,031
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,532;0,056
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,532;0,026
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,532;0,031
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,532;0,034
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,532;0,028
