CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,141;0,030
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,211;0,054
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,070;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,070;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,070;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,070;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,141;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,070;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,141;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,141;0,033
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,070;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,070;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,070;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;4,000;0,122;0,282;0,113
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,070;0,094
SP00022;SP;5474,000;3858,000;1616,000;3218,000;3,000;0,093;0,211;0,078
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,070;0,095
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,070;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,070;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,211;0,024
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,141;0,047
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,070;0,012
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,070;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,070;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,070;0,025
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,070;0,031
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,070;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,141;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,141;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,070;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;5,000;0,088;0,352;0,082
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,070;0,030
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,070;0,069
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,070;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,070;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,141;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;4,000;0,086;0,282;0,074
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,070;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,070;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,070;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,141;0,048
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,070;0,055
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,141;0,086
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,070;0,052
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,070;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,211;0,031
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,070;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,070;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,070;0,027
SP00081;SP;4985,000;3194,000;1791,000;2755,000;3,000;0,109;0,211;0,094
SP00082;SP;2042,000;1343,000;699,000;1191,000;2,000;0,168;0,141;0,149
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,070;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,141;0,034
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,070;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,141;0,048
SP00087;SP;7025,000;4901,000;2124,000;4319,000;4,000;0,093;0,282;0,082
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,070;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,070;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,070;0,021
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,141;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,070;0,030
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,070;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,141;0,068
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,070;0,015
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,070;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,070;0,058
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,070;0,033
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,141;0,040
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,070;0,044
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,070;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,070;0,034
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,141;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;7,000;0,085;0,493;0,079
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,141;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,070;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;0,141;0,036
SP00120;SP;7492,000;5053,000;2439,000;4694,000;2,000;0,043;0,141;0,040
