CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;1,887;0,029
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;1,887;0,021
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;1,887;0,016
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;1,887;0,020
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;1,887;0,033
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;1,887;0,029
SP01001;SP;5804,000;4098,000;1706,000;3731,000;1,000;0,027;1,887;0,024
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;1,887;0,016
SP01005;SP;5082,000;3418,000;1664,000;3092,000;1,000;0,032;1,887;0,029
SP01183;SP;6376,000;4658,000;1718,000;4013,000;2,000;0,050;3,774;0,043
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;1,887;0,019
SP01378;SP;5134,000;3809,000;1325,000;3086,000;1,000;0,032;1,887;0,026
SP01380;SP;6398,000;4752,000;1646,000;3983,000;2,000;0,050;3,774;0,042
SP01398;SP;4499,000;3199,000;1300,000;2780,000;3,000;0,108;5,660;0,094
SP01399;SP;8543,000;6119,000;2424,000;5176,000;2,000;0,039;3,774;0,033
SP01400;SP;5413,000;3890,000;1523,000;3387,000;3,000;0,089;5,660;0,077
SP01401;SP;8695,000;6029,000;2666,000;5349,000;1,000;0,019;1,887;0,017
SP01404;SP;6132,000;4322,000;1810,000;3778,000;2,000;0,053;3,774;0,046
SP01406;SP;4561,000;3277,000;1284,000;2840,000;1,000;0,035;1,887;0,031
SP01408;SP;3519,000;2466,000;1053,000;2143,000;1,000;0,047;1,887;0,041
SP01410;SP;6568,000;4871,000;1697,000;4389,000;2,000;0,046;3,774;0,041
SP01412;SP;6509,000;4892,000;1617,000;4139,000;8,000;0,193;15,094;0,164
SP01414;SP;11881,000;8889,000;2992,000;7501,000;1,000;0,013;1,887;0,011
SP01418;SP;3824,000;2872,000;952,000;2479,000;6,000;0,242;11,321;0,209
SP01427;SP;13842,000;9705,000;4137,000;8556,000;3,000;0,035;5,660;0,031
SP01429;SP;6808,000;4939,000;1869,000;4206,000;1,000;0,024;1,887;0,020
SP01433;SP;2066,000;1622,000;444,000;1356,000;1,000;0,074;1,887;0,062
SP01434;SP;1266,000;976,000;290,000;853,000;1,000;0,117;1,887;0,102
SP01827;SP;6711,000;4773,000;1938,000;3991,000;1,000;0,025;1,887;0,021
SP01828;SP;8402,000;6116,000;2286,000;5090,000;1,000;0,020;1,887;0,016
