CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,086;0,018
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,086;0,037
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,172;0,038
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,086;0,032
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,086;0,026
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,086;0,019
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,086;0,029
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,086;0,010
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,086;0,021
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,086;0,035
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,086;0,028
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,086;0,027
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,086;0,026
SP00137;SP;6956,000;4953,000;2003,000;4471,000;3,000;0,067;0,259;0,061
SP00140;SP;5793,000;3889,000;1904,000;3467,000;2,000;0,058;0,172;0,051
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,086;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,172;0,056
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,086;0,018
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,086;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;2,000;0,065;0,172;0,052
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,086;0,029
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,086;0,050
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,086;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,172;0,030
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,172;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,086;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,086;0,045
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,086;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,086;0,021
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,086;0,027
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,086;0,037
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,086;0,021
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,086;0,029
SP00233;SP;2180,000;1518,000;662,000;1306,000;2,000;0,153;0,172;0,132
