CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,625;0,018
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,625;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;4,000;0,072;2,500;0,066
SP00012;SP;9441,000;6116,000;3325,000;5498,000;3,000;0,055;1,875;0,049
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;1,250;0,062
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,625;0,024
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;1,250;0,016
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;1,875;0,035
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,625;0,016
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,625;0,032
SP00094;SP;3713,000;2680,000;1033,000;2357,000;2,000;0,085;1,250;0,075
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,625;0,033
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,625;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,625;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,625;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,625;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,625;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,625;0,020
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,625;0,017
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,625;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;1,250;0,036
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,625;0,021
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,625;0,021
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,625;0,021
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,625;0,033
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,625;0,024
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,625;0,027
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,625;0,043
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,625;0,023
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,625;0,033
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,625;0,021
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,625;0,055
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,625;0,033
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,625;0,052
