CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,351;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,175;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,351;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,175;0,024
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,175;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;6,000;0,169;1,053;0,155
SP00010;SP;9269,000;6039,000;3230,000;5553,000;9,000;0,162;1,579;0,149
SP00011;SP;7822,000;5249,000;2573,000;4769,000;7,000;0,147;1,228;0,133
SP00012;SP;9441,000;6116,000;3325,000;5498,000;6,000;0,109;1,053;0,098
SP00013;SP;4269,000;2958,000;1311,000;2742,000;3,000;0,109;0,526;0,101
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,175;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,175;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;5,000;0,153;0,877;0,141
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,175;0,036
SP00025;SP;3193,000;2227,000;966,000;2052,000;7,000;0,341;1,228;0,314
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,351;0,103
SP00029;SP;17797,000;12599,000;5198,000;11769,000;8,000;0,068;1,404;0,063
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,175;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;8,000;0,100;1,404;0,094
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,351;0,038
SP00034;SP;5401,000;3246,000;2155,000;2941,000;5,000;0,170;0,877;0,154
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,175;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;3,000;0,083;0,526;0,076
SP00038;SP;8044,000;5650,000;2394,000;5177,000;4,000;0,077;0,702;0,071
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,175;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,175;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,351;0,068
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,175;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;3,000;0,056;0,526;0,052
