CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,227;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,227;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,113;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,227;0,041
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,113;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,227;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,113;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,113;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,227;0,033
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,113;0,034
SP00015;SP;4890,000;3200,000;1690,000;2777,000;4,000;0,144;0,454;0,125
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,227;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,227;0,048
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,113;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,227;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,113;0,026
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,227;0,016
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,113;0,019
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,113;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,113;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,227;0,037
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,113;0,034
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,113;0,030
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,113;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,227;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,227;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,113;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,113;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,113;0,028
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,113;0,055
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,227;0,064
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;0,454;0,041
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,227;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,113;0,022
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,113;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,227;0,022
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,113;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,113;0,018
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,113;0,023
SP00102;SP;4710,000;2822,000;1888,000;2446,000;3,000;0,123;0,340;0,106
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,113;0,020
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,113;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,113;0,012
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,113;0,038
SP00124;SP;5471,000;3750,000;1721,000;3417,000;2,000;0,059;0,227;0,053
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,113;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,113;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,113;0,015
SP00135;SP;10099,000;6853,000;3246,000;5983,000;4,000;0,067;0,454;0,058
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,113;0,015
SP00142;SP;4541,000;2990,000;1551,000;2638,000;3,000;0,114;0,340;0,100
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,113;0,028
SP00150;SP;2320,000;1742,000;578,000;1615,000;3,000;0,186;0,340;0,172
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,113;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;2,000;0,052;0,227;0,043
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,113;0,021
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,113;0,018
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,113;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,113;0,026
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,113;0,036
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,113;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,113;0,037
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,227;0,057
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,227;0,057
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,113;0,022
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,113;0,050
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,113;0,180
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,113;0,044
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,113;0,027
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,227;0,037
SP00203;SP;7005,000;4837,000;2168,000;4332,000;2,000;0,046;0,227;0,041
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,113;0,029
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,113;0,027
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,113;0,037
SP00230;SP;4442,000;3139,000;1303,000;2668,000;3,000;0,112;0,340;0,096
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,113;0,020
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,113;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,113;0,029
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,113;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,113;0,046
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,113;0,029
SP00257;SP;5556,000;4081,000;1475,000;3166,000;2,000;0,063;0,227;0,049
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,113;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,227;0,025
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,113;0,020
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,113;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;2,000;0,059;0,227;0,050
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,113;0,031
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,113;0,044
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,227;0,055
SP00297;SP;1311,000;946,000;365,000;845,000;1,000;0,118;0,113;0,106
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,113;0,064
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,113;0,024
SP00306;SP;5275,000;3647,000;1628,000;3252,000;2,000;0,062;0,227;0,055
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,113;0,042
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,113;0,031
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,227;0,047
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,113;0,067
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,113;0,056
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,113;0,032
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,113;0,033
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,113;0,046
SP00338;SP;4592,000;3124,000;1468,000;2780,000;2,000;0,072;0,227;0,064
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,113;0,037
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,113;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,113;0,024
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,113;0,030
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,113;0,055
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,113;0,019
SP00363;SP;6587,000;4335,000;2252,000;4017,000;2,000;0,050;0,227;0,046
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,113;0,034
SP00373;SP;5182,000;3550,000;1632,000;3328,000;2,000;0,060;0,227;0,056
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,113;0,030
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,113;0,030
SP00377;SP;4059,000;2893,000;1166,000;2693,000;2,000;0,074;0,227;0,069
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,113;0,037
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,113;0,051
SP00390;SP;4307,000;3128,000;1179,000;2733,000;2,000;0,073;0,227;0,064
SP00391;SP;3539,000;2437,000;1102,000;2119,000;5,000;0,236;0,567;0,205
SP00392;SP;4859,000;3569,000;1290,000;3137,000;2,000;0,064;0,227;0,056
SP00393;SP;3958,000;2809,000;1149,000;2404,000;10,000;0,416;1,134;0,356
SP00394;SP;2651,000;1853,000;798,000;1621,000;2,000;0,123;0,227;0,108
SP00397;SP;4072,000;2894,000;1178,000;2418,000;6,000;0,248;0,680;0,207
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,113;0,023
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,113;0,028
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,113;0,024
SP00414;SP;2489,000;1977,000;512,000;1655,000;2,000;0,121;0,227;0,101
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,113;0,029
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,113;0,031
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,113;0,019
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,113;0,051
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;0,113;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;3,000;0,086;0,340;0,077
SP00448;SP;2058,000;1544,000;514,000;1354,000;1,000;0,074;0,113;0,065
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,113;0,024
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,113;0,017
SP00459;SP;4392,000;3188,000;1204,000;2896,000;1,000;0,035;0,113;0,031
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,113;0,023
SP00467;SP;5303,000;3827,000;1476,000;3421,000;2,000;0,058;0,227;0,052
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,113;0,031
SP00481;SP;1516,000;1132,000;384,000;999,000;1,000;0,100;0,113;0,088
SP00488;SP;1859,000;1441,000;418,000;1270,000;1,000;0,079;0,113;0,069
SP00496;SP;4579,000;3372,000;1207,000;3009,000;2,000;0,066;0,227;0,059
SP00497;SP;6925,000;4935,000;1990,000;4441,000;3,000;0,068;0,340;0,061
SP00498;SP;3111,000;2164,000;947,000;1894,000;7,000;0,370;0,794;0,323
SP00499;SP;6834,000;4904,000;1930,000;4285,000;4,000;0,093;0,454;0,082
SP00500;SP;6586,000;4736,000;1850,000;4014,000;6,000;0,149;0,680;0,127
SP00501;SP;4776,000;3340,000;1436,000;2871,000;6,000;0,209;0,680;0,180
SP00502;SP;6808,000;4910,000;1898,000;4207,000;3,000;0,071;0,340;0,061
SP00503;SP;6619,000;4634,000;1985,000;4034,000;11,000;0,273;1,247;0,237
SP00504;SP;4008,000;3045,000;963,000;2673,000;6,000;0,224;0,680;0,197
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,113;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;5,000;0,080;0,567;0,068
SP00509;SP;4399,000;3005,000;1394,000;2554,000;11,000;0,431;1,247;0,366
SP00510;SP;6209,000;4329,000;1880,000;3594,000;7,000;0,195;0,794;0,162
SP00511;SP;6942,000;4878,000;2064,000;4132,000;40,000;0,968;4,535;0,820
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,113;0,019
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,113;0,025
SP00516;SP;6938,000;4877,000;2061,000;4090,000;2,000;0,049;0,227;0,041
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,113;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;2,000;0,057;0,227;0,049
SP00520;SP;3065,000;2185,000;880,000;1832,000;3,000;0,164;0,340;0,137
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,113;0,029
SP00522;SP;4695,000;3519,000;1176,000;2921,000;12,000;0,411;1,361;0,341
SP00523;SP;4290,000;3229,000;1061,000;2690,000;7,000;0,260;0,794;0,217
SP00524;SP;2811,000;2096,000;715,000;1775,000;3,000;0,169;0,340;0,143
SP00526;SP;3210,000;2393,000;817,000;2007,000;3,000;0,149;0,340;0,125
SP00528;SP;2366,000;1777,000;589,000;1569,000;3,000;0,191;0,340;0,169
SP00529;SP;3155,000;2369,000;786,000;2087,000;6,000;0,287;0,680;0,253
SP00531;SP;6972,000;5267,000;1705,000;4395,000;5,000;0,114;0,567;0,095
SP00532;SP;2674,000;1939,000;735,000;1655,000;3,000;0,181;0,340;0,155
SP00533;SP;2644,000;2087,000;557,000;1800,000;1,000;0,056;0,113;0,048
SP00534;SP;4351,000;3409,000;942,000;3003,000;1,000;0,033;0,113;0,029
