CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;1,493;0,011
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;2,985;0,056
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;1,493;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;1,493;0,011
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;1,493;0,017
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;1,493;0,019
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;1,493;0,021
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;1,493;0,021
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;2,985;0,056
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;1,493;0,046
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;1,493;0,023
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;1,493;0,039
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;1,493;0,078
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;1,493;0,037
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;1,493;0,020
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;1,493;0,033
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;1,493;0,023
SP00547;SP;3238,000;2322,000;916,000;2051,000;1,000;0,049;1,493;0,043
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;1,493;0,019
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;1,493;0,023
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;1,493;0,021
SP00660;SP;1900,000;1365,000;535,000;1239,000;1,000;0,081;1,493;0,073
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;1,493;0,024
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;1,493;0,012
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;1,493;0,038
SP00745;SP;4714,000;3481,000;1233,000;3072,000;1,000;0,033;1,493;0,029
SP00863;SP;3714,000;2835,000;879,000;2384,000;1,000;0,042;1,493;0,035
SP00889;SP;4118,000;2831,000;1287,000;2529,000;1,000;0,040;1,493;0,035
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;1,493;0,024
SP00955;SP;4285,000;3238,000;1047,000;2757,000;1,000;0,036;1,493;0,031
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;1,493;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;1,493;0,023
SP00972;SP;5527,000;3750,000;1777,000;3325,000;1,000;0,030;1,493;0,027
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;1,493;0,016
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;1,493;0,029
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;1,493;0,018
SP01274;SP;6482,000;4544,000;1938,000;3933,000;3,000;0,076;4,478;0,066
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;1,493;0,017
SP01278;SP;6124,000;4326,000;1798,000;3583,000;3,000;0,084;4,478;0,069
SP01280;SP;5845,000;4462,000;1383,000;3757,000;1,000;0,027;1,493;0,022
SP01283;SP;4641,000;3663,000;978,000;3179,000;2,000;0,063;2,985;0,055
SP01287;SP;4630,000;3599,000;1031,000;3061,000;1,000;0,033;1,493;0,028
SP01288;SP;3628,000;2787,000;841,000;2393,000;3,000;0,125;4,478;0,108
SP01289;SP;8261,000;6336,000;1925,000;5214,000;1,000;0,019;1,493;0,016
SP01308;SP;4137,000;3151,000;986,000;2579,000;1,000;0,039;1,493;0,032
SP01326;SP;4913,000;3679,000;1234,000;2940,000;2,000;0,068;2,985;0,054
SP01368;SP;6668,000;5077,000;1591,000;4150,000;1,000;0,024;1,493;0,020
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;1,493;0,016
SP01537;SP;6049,000;4677,000;1372,000;3878,000;1,000;0,026;1,493;0,021
SP01555;SP;3529,000;2670,000;859,000;2199,000;2,000;0,091;2,985;0,075
SP01578;SP;5035,000;3915,000;1120,000;3263,000;1,000;0,031;1,493;0,026
SP01832;SP;6225,000;4582,000;1643,000;3756,000;1,000;0,027;1,493;0,022
SP01876;SP;4608,000;3496,000;1112,000;3087,000;1,000;0,032;1,493;0,029
SP01931;SP;5097,000;3731,000;1366,000;3193,000;1,000;0,031;1,493;0,027
SP01934;SP;7848,000;5935,000;1913,000;4997,000;1,000;0,020;1,493;0,017
SP02056;SP;3560,000;2821,000;739,000;2491,000;1,000;0,040;1,493;0,035
