CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,833;0,019
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,833;0,018
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,833;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,833;0,019
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,833;0,031
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,833;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,833;0,037
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,833;0,012
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,833;0,030
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,833;0,021
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,833;0,029
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;1,667;0,065
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,833;0,023
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,833;0,040
SP00314;SP;2699,000;1861,000;838,000;1628,000;2,000;0,123;1,667;0,107
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,833;0,025
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,833;0,036
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,833;0,054
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;1,667;0,026
SP00424;SP;4823,000;3449,000;1374,000;3041,000;3,000;0,099;2,500;0,087
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,833;0,029
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,833;0,027
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,833;0,055
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,833;0,023
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,833;0,074
SP00537;SP;4344,000;3031,000;1313,000;2660,000;1,000;0,038;0,833;0,033
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,833;0,021
SP00557;SP;5966,000;4380,000;1586,000;3694,000;1,000;0,027;0,833;0,023
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,833;0,030
SP00676;SP;3751,000;2837,000;914,000;2529,000;1,000;0,040;0,833;0,035
SP00698;SP;4269,000;3022,000;1247,000;2595,000;1,000;0,039;0,833;0,033
SP00704;SP;5896,000;4329,000;1567,000;3685,000;1,000;0,027;0,833;0,023
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,833;0,033
SP00891;SP;6195,000;4624,000;1571,000;4037,000;1,000;0,025;0,833;0,022
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,833;0,020
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,833;0,016
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,833;0,019
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;0,833;0,029
SP01028;SP;4443,000;3184,000;1259,000;2685,000;1,000;0,037;0,833;0,031
SP01041;SP;1390,000;1045,000;345,000;903,000;1,000;0,111;0,833;0,096
SP01050;SP;1959,000;1503,000;456,000;1281,000;1,000;0,078;0,833;0,067
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,833;0,023
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;0,833;0,020
SP01066;SP;2883,000;2142,000;741,000;1859,000;1,000;0,054;0,833;0,047
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,833;0,016
SP01094;SP;4951,000;3460,000;1491,000;3031,000;2,000;0,066;1,667;0,058
SP01095;SP;5974,000;4274,000;1700,000;3630,000;2,000;0,055;1,667;0,047
SP01096;SP;4179,000;2929,000;1250,000;2561,000;3,000;0,117;2,500;0,102
SP01097;SP;7641,000;5404,000;2237,000;4710,000;1,000;0,021;0,833;0,019
SP01101;SP;5144,000;3574,000;1570,000;3122,000;1,000;0,032;0,833;0,028
SP01103;SP;5564,000;4101,000;1463,000;3623,000;2,000;0,055;1,667;0,049
SP01107;SP;8910,000;6337,000;2573,000;5296,000;3,000;0,057;2,500;0,047
SP01108;SP;3363,000;2567,000;796,000;2199,000;1,000;0,045;0,833;0,039
SP01114;SP;1783,000;1414,000;369,000;1235,000;2,000;0,162;1,667;0,141
SP01124;SP;6479,000;4476,000;2003,000;3780,000;2,000;0,053;1,667;0,045
SP01153;SP;12021,000;8675,000;3346,000;7258,000;1,000;0,014;0,833;0,012
SP01155;SP;4827,000;3705,000;1122,000;3096,000;1,000;0,032;0,833;0,027
