CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;6,000;0,099;0,297;0,090
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,149;0,054
SP00004;SP;6071,000;4117,000;1954,000;3653,000;3,000;0,082;0,149;0,073
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,050;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,050;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,050;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,099;0,074
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,050;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;4,000;0,072;0,198;0,066
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,050;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,050;0,034
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,050;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,099;0,064
SP00018;SP;5238,000;3256,000;1982,000;2906,000;3,000;0,103;0,149;0,092
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,050;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,099;0,052
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,050;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;2,000;0,213;0,099;0,189
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,099;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,050;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;8,000;0,068;0,396;0,063
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,050;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;3,000;0,079;0,149;0,070
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,050;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,099;0,038
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,050;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;4,000;0,090;0,198;0,084
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,099;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;4,000;0,077;0,198;0,071
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,099;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,099;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,050;0,031
SP00042;SP;3797,000;2921,000;876,000;2677,000;3,000;0,112;0,149;0,103
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,099;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;3,000;0,131;0,149;0,118
SP00046;SP;8211,000;6097,000;2114,000;5678,000;5,000;0,088;0,248;0,082
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,050;0,030
