CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,503;0,060
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,126;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,126;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,126;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,126;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,126;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,126;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,126;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,126;0,028
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,503;0,032
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,126;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;4,000;0,050;0,503;0,047
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,126;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,251;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,251;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,126;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,126;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,251;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,503;0,074
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,126;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,251;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,251;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,251;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;4,000;0,099;0,503;0,092
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,126;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,126;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,251;0,020
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,126;0,020
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,251;0,036
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,251;0,068
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,126;0,015
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,126;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;3,000;0,108;0,377;0,100
SP00107;SP;5091,000;3438,000;1653,000;3201,000;4,000;0,125;0,503;0,116
SP00108;SP;7706,000;4996,000;2710,000;4672,000;12,000;0,257;1,508;0,240
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,126;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;4,000;0,152;0,503;0,140
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,251;0,054
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,251;0,056
SP00113;SP;4368,000;2914,000;1454,000;2731,000;2,000;0,073;0,251;0,069
SP00114;SP;11524,000;7280,000;4244,000;6663,000;15,000;0,225;1,884;0,206
SP00115;SP;6789,000;4670,000;2119,000;4276,000;3,000;0,070;0,377;0,064
SP00116;SP;13458,000;8809,000;4649,000;8195,000;13,000;0,159;1,633;0,148
SP00117;SP;12258,000;8026,000;4232,000;7396,000;3,000;0,041;0,377;0,037
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,377;0,040
SP00119;SP;8699,000;5629,000;3070,000;5241,000;7,000;0,134;0,879;0,124
SP00120;SP;7492,000;5053,000;2439,000;4694,000;9,000;0,192;1,131;0,178
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,251;0,075
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,126;0,061
SP00123;SP;2390,000;1759,000;631,000;1653,000;2,000;0,121;0,251;0,114
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,126;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,126;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;5,000;0,106;0,628;0,098
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,126;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,251;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;3,000;0,062;0,377;0,056
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,251;0,055
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,126;0,030
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,126;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,126;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;0,503;0,062
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,251;0,040
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,126;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,126;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;4,000;0,078;0,503;0,070
SP00145;SP;4652,000;3551,000;1101,000;3217,000;5,000;0,155;0,628;0,141
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,126;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,126;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,126;0,027
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,126;0,026
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,126;0,016
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,126;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,251;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,251;0,059
SP00194;SP;8615,000;6268,000;2347,000;5780,000;4,000;0,069;0,503;0,064
SP00196;SP;3423,000;2500,000;923,000;2236,000;2,000;0,089;0,251;0,080
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,251;0,028
