CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,249;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,249;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,249;0,023
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,249;0,031
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,249;0,023
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,249;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,249;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,249;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,249;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;4,000;0,113;0,995;0,099
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,249;0,029
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,249;0,049
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,498;0,045
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,249;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,249;0,019
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,249;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,249;0,014
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,249;0,027
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,249;0,020
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,249;0,030
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,249;0,044
SP00295;SP;4636,000;3029,000;1607,000;2673,000;9,000;0,337;2,239;0,297
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,249;0,046
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,249;0,040
SP00305;SP;2904,000;1801,000;1103,000;1620,000;3,000;0,185;0,746;0,167
SP00306;SP;5275,000;3647,000;1628,000;3252,000;3,000;0,092;0,746;0,082
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,249;0,031
SP00311;SP;4745,000;3212,000;1533,000;2868,000;7,000;0,244;1,741;0,218
SP00313;SP;5494,000;4051,000;1443,000;3634,000;8,000;0,220;1,990;0,197
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,249;0,023
SP00317;SP;2042,000;1501,000;541,000;1271,000;2,000;0,157;0,498;0,133
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,249;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,249;0,018
SP00324;SP;4770,000;3319,000;1451,000;2949,000;4,000;0,136;0,995;0,121
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,249;0,018
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,249;0,033
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,249;0,019
