CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,336;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,671;0,035
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,336;0,019
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,336;0,031
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,336;0,052
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,336;0,019
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,336;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,336;0,017
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,336;0,027
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,336;0,049
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,336;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,336;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,671;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,336;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,671;0,022
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,336;0,035
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,336;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,336;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,336;0,043
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,336;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,336;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,336;0,013
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,336;0,015
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,336;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,336;0,018
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,336;0,026
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,336;0,037
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,336;0,031
SP00191;SP;4893,000;3386,000;1507,000;3120,000;3,000;0,096;1,007;0,089
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,336;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;2,000;0,065;0,671;0,060
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,336;0,014
