CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;3,000;0,070;0,750;0,062
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,250;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,250;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,500;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,500;0,033
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,250;0,026
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,250;0,019
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,250;0,052
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,500;0,038
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,250;0,023
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,250;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,250;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,250;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,250;0,024
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,250;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,250;0,032
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,250;0,065
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,250;0,028
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,500;0,054
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,250;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,250;0,015
SP00104;SP;23,000;16,000;7,000;7,000;1,000;14,286;0,250;6,250
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,250;0,033
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,250;0,013
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,500;0,029
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,250;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,250;0,028
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,250;0,027
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,250;0,037
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,500;0,057
SP00178;SP;8552,000;6363,000;2189,000;5204,000;3,000;0,058;0,750;0,047
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,250;0,046
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,250;0,122
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,500;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,500;0,059
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,500;0,032
SP00200;SP;4987,000;3648,000;1339,000;3251,000;2,000;0,062;0,500;0,055
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,250;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,250;0,045
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,250;0,021
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,250;0,026
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,250;0,034
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,500;0,042
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,250;0,032
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,250;0,035
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,250;0,029
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,250;0,020
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,250;0,031
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,250;0,021
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,250;0,027
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,250;0,032
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,250;0,056
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,250;0,044
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,250;0,033
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,250;0,034
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,250;0,018
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,250;0,030
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,250;0,035
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,250;0,046
