CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,521;0,032
SP00096;SP;3961,000;2845,000;1116,000;2437,000;2,000;0,082;1,042;0,070
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,521;0,038
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,521;0,021
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;1,042;0,036
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,521;0,037
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,521;0,036
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,521;0,032
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,521;0,018
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,521;0,082
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,521;0,034
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,521;0,021
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,521;0,014
SP00543;SP;8077,000;5459,000;2618,000;4653,000;2,000;0,043;1,042;0,037
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,521;0,033
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,521;0,017
SP00805;SP;6882,000;4879,000;2003,000;4246,000;3,000;0,071;1,562;0,061
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,521;0,028
SP00808;SP;5967,000;4362,000;1605,000;3844,000;2,000;0,052;1,042;0,046
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,521;0,022
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,521;0,043
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,521;0,027
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;0,521;0,042
SP00838;SP;4893,000;3681,000;1212,000;3136,000;1,000;0,032;0,521;0,027
SP00839;SP;942,000;694,000;248,000;608,000;1,000;0,164;0,521;0,144
SP00841;SP;6587,000;5004,000;1583,000;4195,000;2,000;0,048;1,042;0,040
SP00900;SP;4799,000;3561,000;1238,000;2989,000;1,000;0,033;0,521;0,028
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,521;0,031
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;0,521;0,035
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,521;0,021
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,521;0,026
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,521;0,025
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,521;0,020
SP00966;SP;4337,000;2920,000;1417,000;2568,000;2,000;0,078;1,042;0,068
SP01113;SP;5153,000;3920,000;1233,000;3365,000;1,000;0,030;0,521;0,026
SP01239;SP;6020,000;4603,000;1417,000;3712,000;1,000;0,027;0,521;0,022
SP01299;SP;3911,000;3018,000;893,000;2565,000;1,000;0,039;0,521;0,033
SP01314;SP;4826,000;3450,000;1376,000;2922,000;1,000;0,034;0,521;0,029
SP01337;SP;5929,000;4445,000;1484,000;3629,000;1,000;0,028;0,521;0,022
SP01340;SP;6735,000;5134,000;1601,000;4118,000;1,000;0,024;0,521;0,019
SP01355;SP;1496,000;1068,000;428,000;855,000;1,000;0,117;0,521;0,094
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;0,521;0,025
SP01403;SP;4451,000;2899,000;1552,000;2519,000;1,000;0,040;0,521;0,034
SP01404;SP;6132,000;4322,000;1810,000;3778,000;1,000;0,026;0,521;0,023
SP01414;SP;11881,000;8889,000;2992,000;7501,000;2,000;0,027;1,042;0,022
SP01420;SP;3530,000;2622,000;908,000;2168,000;1,000;0,046;0,521;0,038
SP01479;SP;7013,000;5355,000;1658,000;4424,000;1,000;0,023;0,521;0,019
SP01484;SP;4803,000;3637,000;1166,000;3023,000;1,000;0,033;0,521;0,027
SP01487;SP;5209,000;4004,000;1205,000;3388,000;1,000;0,030;0,521;0,025
SP01575;SP;4037,000;2763,000;1274,000;2347,000;2,000;0,085;1,042;0,072
SP01576;SP;4532,000;3498,000;1034,000;2944,000;1,000;0,034;0,521;0,029
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,521;0,035
SP01580;SP;12295,000;8363,000;3932,000;6990,000;18,000;0,258;9,375;0,215
SP01581;SP;5066,000;3570,000;1496,000;3039,000;15,000;0,494;7,812;0,420
SP01582;SP;5360,000;3974,000;1386,000;3379,000;4,000;0,118;2,083;0,101
SP01583;SP;5432,000;4096,000;1336,000;3442,000;5,000;0,145;2,604;0,122
SP01584;SP;4414,000;3438,000;976,000;2829,000;9,000;0,318;4,688;0,262
SP01585;SP;5347,000;3952,000;1395,000;3209,000;5,000;0,156;2,604;0,127
SP01586;SP;4583,000;3528,000;1055,000;3021,000;4,000;0,132;2,083;0,113
SP01587;SP;2480,000;1899,000;581,000;1615,000;4,000;0,248;2,083;0,211
SP01588;SP;4161,000;3146,000;1015,000;2747,000;2,000;0,073;1,042;0,064
SP01589;SP;5101,000;3963,000;1138,000;3337,000;2,000;0,060;1,042;0,050
SP01590;SP;2697,000;2047,000;650,000;1741,000;1,000;0,057;0,521;0,049
SP01591;SP;5257,000;4209,000;1048,000;3614,000;1,000;0,028;0,521;0,024
SP01592;SP;5927,000;4366,000;1561,000;3664,000;10,000;0,273;5,208;0,229
SP01593;SP;3907,000;3008,000;899,000;2558,000;1,000;0,039;0,521;0,033
SP01594;SP;3504,000;2794,000;710,000;2366,000;1,000;0,042;0,521;0,036
SP01595;SP;3343,000;2577,000;766,000;2170,000;3,000;0,138;1,562;0,116
SP01596;SP;3064,000;2318,000;746,000;1886,000;1,000;0,053;0,521;0,043
SP01597;SP;2735,000;2080,000;655,000;1731,000;6,000;0,347;3,125;0,288
SP01599;SP;4566,000;3418,000;1148,000;2825,000;5,000;0,177;2,604;0,146
SP01602;SP;5026,000;3719,000;1307,000;3000,000;2,000;0,067;1,042;0,054
SP01603;SP;3140,000;2352,000;788,000;1886,000;1,000;0,053;0,521;0,043
SP01604;SP;2213,000;1640,000;573,000;1350,000;1,000;0,074;0,521;0,061
SP01605;SP;2247,000;1702,000;545,000;1425,000;2,000;0,140;1,042;0,118
SP01609;SP;4359,000;3104,000;1255,000;2531,000;1,000;0,040;0,521;0,032
SP01611;SP;1491,000;1126,000;365,000;959,000;2,000;0,209;1,042;0,178
SP01646;SP;4342,000;3429,000;913,000;2817,000;1,000;0,035;0,521;0,029
SP01712;SP;3629,000;2848,000;781,000;2457,000;3,000;0,122;1,562;0,105
SP01714;SP;3989,000;2965,000;1024,000;2432,000;2,000;0,082;1,042;0,067
SP01718;SP;6133,000;4462,000;1671,000;3746,000;1,000;0,027;0,521;0,022
SP01720;SP;4886,000;3771,000;1115,000;3270,000;3,000;0,092;1,562;0,080
SP01721;SP;3300,000;2518,000;782,000;2118,000;1,000;0,047;0,521;0,040
SP01722;SP;4433,000;3424,000;1009,000;2973,000;3,000;0,101;1,562;0,088
SP01727;SP;4196,000;3134,000;1062,000;2630,000;1,000;0,038;0,521;0,032
SP01728;SP;3507,000;2774,000;733,000;2436,000;1,000;0,041;0,521;0,036
SP01729;SP;3858,000;2903,000;955,000;2392,000;1,000;0,042;0,521;0,034
SP01732;SP;5337,000;4122,000;1215,000;3348,000;1,000;0,030;0,521;0,024
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;0,521;0,028
SP01734;SP;4835,000;3770,000;1065,000;3245,000;1,000;0,031;0,521;0,027
SP01737;SP;4533,000;3032,000;1501,000;2598,000;1,000;0,038;0,521;0,033
SP01749;SP;3518,000;2677,000;841,000;2231,000;1,000;0,045;0,521;0,037
SP01974;SP;6477,000;4953,000;1524,000;4205,000;2,000;0,048;1,042;0,040
