CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,341;0,019
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,341;0,027
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,341;0,025
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,341;0,033
SP00177;SP;6291,000;4620,000;1671,000;3718,000;2,000;0,054;0,683;0,043
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,341;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,341;0,014
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,341;0,015
SP00204;SP;4526,000;3486,000;1040,000;3183,000;2,000;0,063;0,683;0,057
SP00207;SP;4643,000;3544,000;1099,000;3043,000;3,000;0,099;1,024;0,085
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,341;0,033
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,341;0,046
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,341;0,066
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,341;0,026
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,341;0,034
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,341;0,035
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,341;0,018
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,341;0,024
SP00580;SP;3133,000;2253,000;880,000;2017,000;1,000;0,050;0,341;0,044
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,341;0,036
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,341;0,025
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,341;0,017
SP00781;SP;4179,000;2991,000;1188,000;2524,000;1,000;0,040;0,341;0,033
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,341;0,018
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,341;0,024
SP00894;SP;4335,000;3134,000;1201,000;2776,000;1,000;0,036;0,341;0,032
SP00909;SP;2198,000;1652,000;546,000;1447,000;1,000;0,069;0,341;0,061
SP00915;SP;1861,000;1401,000;460,000;1187,000;1,000;0,084;0,341;0,071
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,341;0,019
SP00986;SP;2746,000;2085,000;661,000;1796,000;1,000;0,056;0,341;0,048
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;0,341;0,023
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,341;0,023
SP01099;SP;4340,000;3039,000;1301,000;2637,000;1,000;0,038;0,341;0,033
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;0,341;0,020
SP01144;SP;3086,000;2381,000;705,000;2043,000;1,000;0,049;0,341;0,042
SP01146;SP;4300,000;3212,000;1088,000;2676,000;1,000;0,037;0,341;0,031
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,341;0,018
SP01171;SP;6620,000;4759,000;1861,000;3966,000;8,000;0,202;2,730;0,168
SP01176;SP;8236,000;5751,000;2485,000;4720,000;3,000;0,064;1,024;0,052
SP01180;SP;4666,000;3372,000;1294,000;2690,000;1,000;0,037;0,341;0,030
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,341;0,021
SP01185;SP;3511,000;2582,000;929,000;2032,000;2,000;0,098;0,683;0,077
SP01187;SP;2356,000;1723,000;633,000;1366,000;1,000;0,073;0,341;0,058
SP01188;SP;1590,000;1156,000;434,000;950,000;1,000;0,105;0,341;0,087
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,341;0,020
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;0,341;0,025
SP01306;SP;10069,000;7542,000;2527,000;6154,000;1,000;0,016;0,341;0,013
SP01308;SP;4137,000;3151,000;986,000;2579,000;1,000;0,039;0,341;0,032
SP01319;SP;6497,000;4542,000;1955,000;3670,000;1,000;0,027;0,341;0,022
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,341;0,025
SP01382;SP;4773,000;3511,000;1262,000;2832,000;1,000;0,035;0,341;0,028
SP01396;SP;6178,000;4398,000;1780,000;3609,000;1,000;0,028;0,341;0,023
SP01399;SP;8543,000;6119,000;2424,000;5176,000;1,000;0,019;0,341;0,016
SP01417;SP;8205,000;6028,000;2177,000;5141,000;1,000;0,019;0,341;0,017
SP01444;SP;5456,000;4304,000;1152,000;3559,000;1,000;0,028;0,341;0,023
SP01519;SP;3483,000;2615,000;868,000;2225,000;2,000;0,090;0,683;0,076
SP01523;SP;6929,000;5448,000;1481,000;4659,000;1,000;0,021;0,341;0,018
SP01525;SP;5422,000;3635,000;1787,000;2997,000;5,000;0,167;1,706;0,138
SP01532;SP;6761,000;4811,000;1950,000;3976,000;4,000;0,101;1,365;0,083
SP01534;SP;4049,000;2999,000;1050,000;2548,000;1,000;0,039;0,341;0,033
SP01535;SP;4410,000;3225,000;1185,000;2671,000;2,000;0,075;0,683;0,062
SP01538;SP;4587,000;3519,000;1068,000;2931,000;1,000;0,034;0,341;0,028
SP01541;SP;3438,000;2552,000;886,000;2057,000;1,000;0,049;0,341;0,039
SP01544;SP;4162,000;3047,000;1115,000;2596,000;2,000;0,077;0,683;0,066
SP01552;SP;3370,000;2381,000;989,000;1888,000;1,000;0,053;0,341;0,042
SP01638;SP;2663,000;1969,000;694,000;1626,000;1,000;0,062;0,341;0,051
SP01666;SP;3664,000;2776,000;888,000;2237,000;1,000;0,045;0,341;0,036
SP01683;SP;4635,000;3492,000;1143,000;2877,000;1,000;0,035;0,341;0,029
SP01701;SP;5870,000;4471,000;1399,000;3616,000;1,000;0,028;0,341;0,022
SP01738;SP;6502,000;4692,000;1810,000;3933,000;1,000;0,025;0,341;0,021
SP01760;SP;3464,000;2593,000;871,000;2106,000;1,000;0,047;0,341;0,039
