CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,417;0,015
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;2,083;0,040
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,833;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,833;0,047
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,417;0,019
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,417;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,417;0,031
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,833;0,056
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,417;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,417;0,025
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,417;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;1,250;0,031
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,417;0,033
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,417;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,417;0,022
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,417;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,833;0,029
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,417;0,018
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,417;0,027
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,417;0,022
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,417;0,026
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,417;0,030
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,833;0,065
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,417;0,045
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,417;0,044
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,417;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;3,000;0,080;1,250;0,073
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,417;0,018
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,417;0,036
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,417;0,104
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,417;0,030
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,417;0,033
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,417;0,051
