CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,279;0,045
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,093;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,186;0,035
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,093;0,026
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,186;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,093;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,093;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,093;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,093;0,028
SP00025;SP;3193,000;2227,000;966,000;2052,000;2,000;0,097;0,186;0,090
SP00026;SP;1515,000;1057,000;458,000;941,000;3,000;0,319;0,279;0,284
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,093;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;21,000;0,178;1,953;0,167
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,093;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,093;0,023
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,093;0,023
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,279;0,049
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,093;0,023
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,093;0,069
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,186;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,093;0,019
