CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,625;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,208;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,417;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,417;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,625;0,052
SP00008;SP;4250,000;2710,000;1540,000;2422,000;4,000;0,165;0,833;0,148
SP00010;SP;9269,000;6039,000;3230,000;5553,000;4,000;0,072;0,833;0,066
SP00011;SP;7822,000;5249,000;2573,000;4769,000;3,000;0,063;0,625;0,057
SP00012;SP;9441,000;6116,000;3325,000;5498,000;10,000;0,182;2,083;0,164
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,208;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,417;0,045
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,208;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,417;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,208;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;5,000;0,153;1,042;0,141
SP00022;SP;5474,000;3858,000;1616,000;3218,000;7,000;0,218;1,458;0,181
SP00023;SP;2029,000;1448,000;581,000;1264,000;2,000;0,158;0,417;0,138
SP00025;SP;3193,000;2227,000;966,000;2052,000;3,000;0,146;0,625;0,135
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,208;0,019
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,208;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,208;0,021
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,208;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,208;0,017
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,417;0,064
