CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,524;0,020
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,524;0,025
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;1,047;0,025
SP00265;SP;5313,000;3854,000;1459,000;3315,000;3,000;0,090;1,571;0,078
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,524;0,023
SP00273;SP;5615,000;4390,000;1225,000;3670,000;2,000;0,054;1,047;0,046
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,524;0,035
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,524;0,030
SP00286;SP;6009,000;4463,000;1546,000;3798,000;4,000;0,105;2,094;0,090
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,524;0,067
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,524;0,020
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,524;0,027
SP00407;SP;4191,000;3035,000;1156,000;2536,000;2,000;0,079;1,047;0,066
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;1,047;0,039
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,524;0,075
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,524;0,013
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,524;0,033
SP00810;SP;4312,000;3025,000;1287,000;2622,000;2,000;0,076;1,047;0,066
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,524;0,026
SP00852;SP;1783,000;1336,000;447,000;1128,000;3,000;0,266;1,571;0,225
SP00854;SP;6049,000;4219,000;1830,000;3570,000;1,000;0,028;0,524;0,024
SP00872;SP;4150,000;2963,000;1187,000;2373,000;2,000;0,084;1,047;0,067
SP00927;SP;4583,000;3288,000;1295,000;2862,000;2,000;0,070;1,047;0,061
SP01016;SP;7681,000;5440,000;2241,000;4570,000;4,000;0,088;2,094;0,074
SP01017;SP;3849,000;2621,000;1228,000;2231,000;5,000;0,224;2,618;0,191
SP01030;SP;3473,000;2728,000;745,000;2337,000;2,000;0,086;1,047;0,073
SP01033;SP;4681,000;3640,000;1041,000;3143,000;1,000;0,032;0,524;0,027
SP01040;SP;3542,000;2624,000;918,000;2319,000;1,000;0,043;0,524;0,038
SP01045;SP;4702,000;3558,000;1144,000;2953,000;2,000;0,068;1,047;0,056
SP01048;SP;1647,000;1281,000;366,000;1090,000;2,000;0,183;1,047;0,156
SP01087;SP;3331,000;2631,000;700,000;2223,000;1,000;0,045;0,524;0,038
SP01192;SP;5481,000;3973,000;1508,000;3323,000;1,000;0,030;0,524;0,025
SP01227;SP;4013,000;2907,000;1106,000;2421,000;1,000;0,041;0,524;0,034
SP01239;SP;6020,000;4603,000;1417,000;3712,000;1,000;0,027;0,524;0,022
