CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,156;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,156;0,028
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,312;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,156;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,156;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,312;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,156;0,031
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,156;0,036
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,156;0,052
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;0,468;0,069
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,156;0,023
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,156;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,156;0,028
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,156;0,019
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,156;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,156;0,037
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,156;0,015
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,156;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,156;0,013
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,312;0,029
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,156;0,039
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,156;0,025
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,156;0,018
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,156;0,033
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,156;0,026
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,156;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,156;0,014
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,156;0,027
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,156;0,021
