CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,467;0,045
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,311;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,156;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,156;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;3,000;0,124;0,467;0,111
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,311;0,052
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,311;0,038
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,156;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,311;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,156;0,019
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,156;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,156;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,156;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,156;0,030
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,156;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;2,000;0,080;0,311;0,069
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,156;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,156;0,029
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,156;0,043
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,311;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,311;0,039
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,311;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,156;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,156;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,311;0,036
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,156;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,156;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,156;0,023
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,156;0,027
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,156;0,015
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,156;0,020
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,156;0,035
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,311;0,056
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,467;0,040
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,156;0,020
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,156;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,156;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,156;0,028
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,156;0,030
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,156;0,034
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,156;0,020
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,156;0,047
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,156;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,156;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,156;0,028
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,156;0,019
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,156;0,019
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,311;0,036
SP00166;SP;3724,000;2789,000;935,000;2307,000;3,000;0,130;0,467;0,108
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,156;0,028
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,156;0,031
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,156;0,016
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,156;0,134
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,156;0,175
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,156;0,040
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,156;0,014
SP00204;SP;4526,000;3486,000;1040,000;3183,000;2,000;0,063;0,311;0,057
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,156;0,029
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,156;0,027
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,311;0,042
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,156;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;2,000;0,051;0,311;0,043
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,156;0,022
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,156;0,041
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,156;0,046
SP00249;SP;3623,000;2627,000;996,000;2284,000;2,000;0,088;0,311;0,076
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,156;0,020
SP00262;SP;6791,000;4838,000;1953,000;4128,000;2,000;0,048;0,311;0,041
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,156;0,012
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,156;0,023
SP00271;SP;6516,000;4689,000;1827,000;3929,000;2,000;0,051;0,311;0,043
SP00275;SP;4248,000;3284,000;964,000;2804,000;2,000;0,071;0,311;0,061
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,156;0,031
SP00281;SP;5656,000;4194,000;1462,000;3612,000;2,000;0,055;0,311;0,048
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,156;0,020
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,156;0,030
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,311;0,055
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,156;0,026
SP00304;SP;3481,000;2524,000;957,000;2284,000;2,000;0,088;0,311;0,079
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,156;0,042
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,311;0,047
SP00312;SP;3428,000;2474,000;954,000;2235,000;2,000;0,089;0,311;0,081
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;0,311;0,031
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,156;0,032
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,156;0,037
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,156;0,035
