CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,699;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,699;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,699;0,028
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;1,399;0,068
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,699;0,045
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,699;0,018
SP00053;SP;6007,000;3594,000;2413,000;3140,000;4,000;0,127;2,797;0,111
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,699;0,019
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,699;0,058
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,699;0,031
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,699;0,028
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,699;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,699;0,030
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,699;0,042
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,699;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;4,000;0,150;2,797;0,122
SP00257;SP;5556,000;4081,000;1475,000;3166,000;5,000;0,158;3,497;0,123
SP00258;SP;2237,000;1521,000;716,000;1192,000;3,000;0,252;2,098;0,197
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,699;0,027
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,699;0,020
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,699;0,036
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,699;0,025
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,699;0,019
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,699;0,033
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,699;0,023
SP00468;SP;5330,000;3854,000;1476,000;3503,000;2,000;0,057;1,399;0,052
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,699;0,031
SP00475;SP;5821,000;4091,000;1730,000;3609,000;2,000;0,055;1,399;0,049
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,699;0,014
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,699;0,030
SP00537;SP;4344,000;3031,000;1313,000;2660,000;2,000;0,075;1,399;0,066
SP00549;SP;5928,000;4010,000;1918,000;3526,000;2,000;0,057;1,399;0,050
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,699;0,042
SP00566;SP;3965,000;2993,000;972,000;2499,000;2,000;0,080;1,399;0,067
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,699;0,060
SP00580;SP;3133,000;2253,000;880,000;2017,000;1,000;0,050;0,699;0,044
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,699;0,014
