CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,100;0,028
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,100;0,026
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,100;0,026
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,100;0,052
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,199;0,063
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,100;0,017
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,100;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,100;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,100;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,100;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,199;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,100;0,028
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,100;0,034
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,100;0,030
SP00226;SP;6504,000;4681,000;1823,000;3905,000;4,000;0,102;0,398;0,085
SP00228;SP;3772,000;2679,000;1093,000;2265,000;21,000;0,927;2,092;0,784
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,100;0,120
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,100;0,022
SP00240;SP;3251,000;2449,000;802,000;2056,000;2,000;0,097;0,199;0,082
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,100;0,046
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,100;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,100;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,100;0,025
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,100;0,066
SP00260;SP;6967,000;4886,000;2081,000;4112,000;3,000;0,073;0,299;0,061
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,100;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,100;0,021
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,100;0,012
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,100;0,030
SP00273;SP;5615,000;4390,000;1225,000;3670,000;5,000;0,136;0,498;0,114
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,100;0,035
SP00282;SP;6521,000;4899,000;1622,000;4004,000;2,000;0,050;0,199;0,041
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,100;0,030
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,100;0,055
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,100;0,044
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,100;0,036
SP00398;SP;2787,000;1796,000;991,000;1541,000;2,000;0,130;0,199;0,111
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,100;0,027
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,100;0,036
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,100;0,058
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,100;0,025
SP00414;SP;2489,000;1977,000;512,000;1655,000;1,000;0,060;0,100;0,051
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,100;0,029
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,100;0,051
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,100;0,024
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,100;0,017
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,199;0,055
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,100;0,026
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,100;0,025
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;0,199;0,041
SP00489;SP;1525,000;1226,000;299,000;1101,000;1,000;0,091;0,100;0,082
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;0,100;0,033
SP00527;SP;3105,000;2475,000;630,000;2136,000;1,000;0,047;0,100;0,040
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,100;0,041
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,100;0,060
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,100;0,032
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,100;0,039
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,100;0,026
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,100;0,022
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,100;0,015
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,100;0,033
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,100;0,031
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,100;0,020
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,100;0,015
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,100;0,016
SP00702;SP;3281,000;2263,000;1018,000;2012,000;1,000;0,050;0,100;0,044
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,100;0,040
SP00728;SP;4919,000;3629,000;1290,000;3093,000;1,000;0,032;0,100;0,028
SP00735;SP;5909,000;4419,000;1490,000;3878,000;2,000;0,052;0,199;0,045
SP00752;SP;3263,000;2381,000;882,000;1917,000;2,000;0,104;0,199;0,084
SP00757;SP;3284,000;2523,000;761,000;2167,000;1,000;0,046;0,100;0,040
SP00772;SP;5664,000;4117,000;1547,000;3538,000;1,000;0,028;0,100;0,024
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,100;0,020
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,100;0,020
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,100;0,027
SP00832;SP;4365,000;3114,000;1251,000;2744,000;1,000;0,036;0,100;0,032
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;0,100;0,022
SP00869;SP;2469,000;1895,000;574,000;1521,000;1,000;0,066;0,100;0,053
SP00886;SP;3614,000;2519,000;1095,000;2153,000;1,000;0,046;0,100;0,040
SP00897;SP;4232,000;3120,000;1112,000;2666,000;1,000;0,038;0,100;0,032
SP00918;SP;1646,000;1272,000;374,000;1081,000;1,000;0,093;0,100;0,079
SP00929;SP;2588,000;2013,000;575,000;1723,000;1,000;0,058;0,100;0,050
SP00933;SP;6037,000;4261,000;1776,000;3621,000;1,000;0,028;0,100;0,023
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,100;0,020
SP00968;SP;5544,000;3913,000;1631,000;3471,000;1,000;0,029;0,100;0,026
SP01015;SP;5212,000;3695,000;1517,000;3226,000;1,000;0,031;0,100;0,027
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,100;0,018
SP01019;SP;3579,000;2715,000;864,000;2251,000;2,000;0,089;0,199;0,074
SP01025;SP;3899,000;2743,000;1156,000;2367,000;1,000;0,042;0,100;0,036
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,100;0,031
SP01027;SP;3926,000;2963,000;963,000;2463,000;1,000;0,041;0,100;0,034
SP01040;SP;3542,000;2624,000;918,000;2319,000;1,000;0,043;0,100;0,038
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,100;0,016
SP01088;SP;889,000;723,000;166,000;623,000;2,000;0,321;0,199;0,277
SP01096;SP;4179,000;2929,000;1250,000;2561,000;1,000;0,039;0,100;0,034
SP01105;SP;5682,000;4024,000;1658,000;3544,000;1,000;0,028;0,100;0,025
SP01106;SP;8626,000;6096,000;2530,000;4992,000;1,000;0,020;0,100;0,016
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;0,100;0,020
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,100;0,026
SP01147;SP;2332,000;1719,000;613,000;1447,000;2,000;0,138;0,199;0,116
SP01149;SP;3540,000;2733,000;807,000;2341,000;1,000;0,043;0,100;0,037
SP01158;SP;6016,000;4357,000;1659,000;3658,000;1,000;0,027;0,100;0,023
SP01160;SP;1821,000;1402,000;419,000;1139,000;1,000;0,088;0,100;0,071
SP01178;SP;7018,000;4887,000;2131,000;4032,000;1,000;0,025;0,100;0,020
SP01227;SP;4013,000;2907,000;1106,000;2421,000;1,000;0,041;0,100;0,034
SP01228;SP;4077,000;2878,000;1199,000;2288,000;1,000;0,044;0,100;0,035
SP01230;SP;2563,000;1804,000;759,000;1469,000;2,000;0,136;0,199;0,111
SP01231;SP;4357,000;2845,000;1512,000;2387,000;3,000;0,126;0,299;0,105
SP01233;SP;3348,000;2374,000;974,000;1949,000;3,000;0,154;0,299;0,126
SP01236;SP;4335,000;3024,000;1311,000;2493,000;1,000;0,040;0,100;0,033
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,100;0,020
SP01242;SP;3576,000;2712,000;864,000;2164,000;1,000;0,046;0,100;0,037
SP01243;SP;4912,000;3806,000;1106,000;3153,000;1,000;0,032;0,100;0,026
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;0,100;0,016
SP01249;SP;7808,000;5587,000;2221,000;4469,000;1,000;0,022;0,100;0,018
SP01256;SP;6264,000;4532,000;1732,000;3688,000;1,000;0,027;0,100;0,022
SP01257;SP;3540,000;2731,000;809,000;2179,000;1,000;0,046;0,100;0,037
SP01258;SP;3588,000;2646,000;942,000;2112,000;1,000;0,047;0,100;0,038
SP01265;SP;2308,000;1638,000;670,000;1298,000;1,000;0,077;0,100;0,061
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,100;0,024
SP01336;SP;6381,000;4725,000;1656,000;3753,000;2,000;0,053;0,199;0,042
SP01407;SP;5751,000;3974,000;1777,000;3419,000;1,000;0,029;0,100;0,025
SP01416;SP;3507,000;2633,000;874,000;2204,000;2,000;0,091;0,199;0,076
SP01438;SP;7108,000;5103,000;2005,000;4345,000;2,000;0,046;0,199;0,039
SP01442;SP;5335,000;4064,000;1271,000;3369,000;1,000;0,030;0,100;0,025
SP01449;SP;4414,000;3387,000;1027,000;2785,000;1,000;0,036;0,100;0,030
SP01451;SP;4196,000;3104,000;1092,000;2494,000;2,000;0,080;0,199;0,064
SP01452;SP;5785,000;4402,000;1383,000;3633,000;1,000;0,028;0,100;0,023
SP01458;SP;4088,000;3057,000;1031,000;2579,000;1,000;0,039;0,100;0,033
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;0,100;0,019
SP01462;SP;7003,000;5161,000;1842,000;4135,000;1,000;0,024;0,100;0,019
SP01478;SP;7765,000;5221,000;2544,000;4345,000;1,000;0,023;0,100;0,019
SP01612;SP;5316,000;3928,000;1388,000;3419,000;6,000;0,175;0,598;0,153
