CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;1,282;0,021
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;2,564;0,073
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;1,282;0,019
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;2,564;0,063
SP00082;SP;2042,000;1343,000;699,000;1191,000;2,000;0,168;2,564;0,149
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;2,564;0,022
SP00085;SP;7942,000;5522,000;2420,000;4861,000;7,000;0,144;8,974;0,127
SP00088;SP;8110,000;5666,000;2444,000;5056,000;5,000;0,099;6,410;0,088
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;2,564;0,043
SP00101;SP;8957,000;6780,000;2177,000;6001,000;4,000;0,067;5,128;0,059
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;1,282;0,058
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;1,282;0,012
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;1,282;0,020
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;1,282;0,028
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;1,282;0,026
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;1,282;0,030
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;1,282;0,020
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;1,282;0,027
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;1,282;0,021
SP00577;SP;8415,000;5842,000;2573,000;5257,000;2,000;0,038;2,564;0,034
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;1,282;0,029
SP00627;SP;7090,000;4763,000;2327,000;4286,000;3,000;0,070;3,846;0,063
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;1,282;0,014
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;1,282;0,022
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;1,282;0,024
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;1,282;0,025
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;1,282;0,023
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;1,282;0,024
SP00728;SP;4919,000;3629,000;1290,000;3093,000;2,000;0,065;2,564;0,055
SP00871;SP;4180,000;3171,000;1009,000;2619,000;1,000;0,038;1,282;0,032
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;1,282;0,026
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;1,282;0,020
SP00951;SP;6758,000;5122,000;1636,000;4246,000;1,000;0,024;1,282;0,020
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;1,282;0,011
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;1,282;0,016
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;1,282;0,023
SP01067;SP;3428,000;2676,000;752,000;2228,000;1,000;0,045;1,282;0,037
SP01085;SP;3957,000;3131,000;826,000;2527,000;2,000;0,079;2,564;0,064
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;1,282;0,025
SP01155;SP;4827,000;3705,000;1122,000;3096,000;1,000;0,032;1,282;0,027
SP01184;SP;4359,000;3297,000;1062,000;2764,000;1,000;0,036;1,282;0,030
SP01200;SP;4925,000;3653,000;1272,000;2996,000;1,000;0,033;1,282;0,027
SP01293;SP;8374,000;6450,000;1924,000;5532,000;1,000;0,018;1,282;0,016
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;1,282;0,017
SP01372;SP;2774,000;2111,000;663,000;1744,000;1,000;0,057;1,282;0,047
SP01382;SP;4773,000;3511,000;1262,000;2832,000;1,000;0,035;1,282;0,028
SP01438;SP;7108,000;5103,000;2005,000;4345,000;1,000;0,023;1,282;0,020
SP01508;SP;2503,000;1903,000;600,000;1596,000;1,000;0,063;1,282;0,053
SP01654;SP;4908,000;3591,000;1317,000;3061,000;1,000;0,033;1,282;0,028
SP01768;SP;5069,000;3536,000;1533,000;2973,000;1,000;0,034;1,282;0,028
SP01772;SP;6424,000;4687,000;1737,000;3846,000;1,000;0,026;1,282;0,021
SP01788;SP;4509,000;3253,000;1256,000;2662,000;1,000;0,038;1,282;0,031
SP01928;SP;4314,000;2942,000;1372,000;2411,000;1,000;0,041;1,282;0,034
SP01994;SP;8040,000;6246,000;1794,000;5147,000;1,000;0,019;1,282;0,016
SP01998;SP;6178,000;4568,000;1610,000;3831,000;1,000;0,026;1,282;0,022
