CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,429;0,026
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,858;0,048
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,858;0,016
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,858;0,024
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,429;0,021
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,429;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,429;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,429;0,017
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,429;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,429;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,858;0,064
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,429;0,027
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,429;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;1,717;0,041
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,858;0,039
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,429;0,074
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,429;0,017
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,858;0,048
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,429;0,023
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,429;0,034
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,429;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,858;0,023
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,429;0,057
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,429;0,020
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,429;0,018
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,429;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,429;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,858;0,035
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,429;0,025
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,429;0,037
SP00196;SP;3423,000;2500,000;923,000;2236,000;2,000;0,089;0,858;0,080
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,429;0,027
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,429;0,039
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,429;0,021
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,429;0,021
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,429;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,429;0,023
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,429;0,022
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,429;0,022
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,429;0,044
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,429;0,026
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,858;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,429;0,015
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,429;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,429;0,018
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,429;0,032
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,429;0,024
SP00373;SP;5182,000;3550,000;1632,000;3328,000;2,000;0,060;0,858;0,056
SP00382;SP;1970,000;1370,000;600,000;1292,000;1,000;0,077;0,429;0,073
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,429;0,044
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,429;0,075
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,429;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,429;0,021
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,429;0,027
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,429;0,036
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,429;0,029
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,429;0,033
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,429;0,017
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,429;0,030
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,429;0,021
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,429;0,022
SP00528;SP;2366,000;1777,000;589,000;1569,000;1,000;0,064;0,429;0,056
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,429;0,024
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,429;0,021
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,429;0,025
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,429;0,024
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,429;0,034
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,429;0,033
SP00568;SP;4355,000;3188,000;1167,000;2856,000;1,000;0,035;0,429;0,031
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,429;0,060
SP00588;SP;5167,000;3521,000;1646,000;3105,000;2,000;0,064;0,858;0,057
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,429;0,026
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,429;0,029
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,429;0,025
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,429;0,024
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,429;0,021
SP00649;SP;2648,000;1982,000;666,000;1760,000;1,000;0,057;0,429;0,050
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,429;0,025
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,429;0,035
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,429;0,031
SP00663;SP;4883,000;3374,000;1509,000;3029,000;2,000;0,066;0,858;0,059
