CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;8,000;0,131;0,409;0,121
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,102;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;8,000;0,251;0,409;0,225
SP00004;SP;6071,000;4117,000;1954,000;3653,000;13,000;0,356;0,665;0,316
SP00005;SP;7574,000;4851,000;2723,000;4286,000;10,000;0,233;0,512;0,206
SP00006;SP;6187,000;4196,000;1991,000;3800,000;4,000;0,105;0,205;0,095
SP00007;SP;9748,000;5727,000;4021,000;5077,000;7,000;0,138;0,358;0,122
SP00008;SP;4250,000;2710,000;1540,000;2422,000;8,000;0,330;0,409;0,295
SP00009;SP;5809,000;3876,000;1933,000;3552,000;5,000;0,141;0,256;0,129
SP00010;SP;9269,000;6039,000;3230,000;5553,000;5,000;0,090;0,256;0,083
SP00011;SP;7822,000;5249,000;2573,000;4769,000;20,000;0,419;1,024;0,381
SP00012;SP;9441,000;6116,000;3325,000;5498,000;20,000;0,364;1,024;0,327
SP00013;SP;4269,000;2958,000;1311,000;2742,000;7,000;0,255;0,358;0,237
SP00014;SP;7153,000;4433,000;2720,000;3934,000;7,000;0,178;0,358;0,158
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,154;0,094
SP00016;SP;4976,000;3125,000;1851,000;2763,000;6,000;0,217;0,307;0,192
SP00017;SP;6847,000;4140,000;2707,000;3704,000;15,000;0,405;0,768;0,362
SP00018;SP;5238,000;3256,000;1982,000;2906,000;12,000;0,413;0,614;0,369
SP00019;SP;4798,000;3546,000;1252,000;3272,000;8,000;0,244;0,409;0,226
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,102;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;7,000;0,293;0,358;0,255
SP00022;SP;5474,000;3858,000;1616,000;3218,000;19,000;0,590;0,972;0,492
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,051;0,069
SP00024;SP;629,000;454,000;175,000;420,000;2,000;0,476;0,102;0,441
SP00025;SP;3193,000;2227,000;966,000;2052,000;9,000;0,439;0,461;0,404
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,102;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,051;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,154;0,024
SP00031;SP;6412,000;4268,000;2144,000;3816,000;5,000;0,131;0,256;0,117
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;0,154;0,035
SP00033;SP;7735,000;5271,000;2464,000;4792,000;5,000;0,104;0,256;0,095
SP00034;SP;5401,000;3246,000;2155,000;2941,000;4,000;0,136;0,205;0,123
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,154;0,078
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,102;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,102;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,051;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,102;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;3,000;0,102;0,154;0,094
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,051;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,102;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,051;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,154;0,049
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,102;0,060
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,051;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,051;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;28,000;1,020;1,433;0,894
SP00053;SP;6007,000;3594,000;2413,000;3140,000;56,000;1,783;2,866;1,558
SP00054;SP;5696,000;3753,000;1943,000;3197,000;105,000;3,284;5,374;2,798
SP00055;SP;8226,000;5391,000;2835,000;4660,000;80,000;1,717;4,094;1,484
SP00056;SP;5794,000;3640,000;2154,000;3156,000;44,000;1,394;2,252;1,209
SP00057;SP;4525,000;2909,000;1616,000;2485,000;13,000;0,523;0,665;0,447
SP00058;SP;5387,000;3548,000;1839,000;3095,000;24,000;0,775;1,228;0,676
SP00059;SP;6072,000;4040,000;2032,000;3525,000;16,000;0,454;0,819;0,396
SP00060;SP;6204,000;4150,000;2054,000;3582,000;7,000;0,195;0,358;0,169
SP00061;SP;5110,000;3413,000;1697,000;2995,000;5,000;0,167;0,256;0,146
SP00062;SP;4386,000;2971,000;1415,000;2589,000;7,000;0,270;0,358;0,236
SP00063;SP;2961,000;1817,000;1144,000;1572,000;4,000;0,254;0,205;0,220
SP00064;SP;6208,000;4037,000;2171,000;3511,000;21,000;0,598;1,075;0,520
SP00065;SP;3705,000;2327,000;1378,000;1980,000;16,000;0,808;0,819;0,688
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,102;0,104
SP00067;SP;1499,000;922,000;577,000;799,000;5,000;0,626;0,256;0,542
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,051;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,051;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;20,000;0,553;1,024;0,490
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,051;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;5,000;0,056;0,256;0,051
SP00074;SP;4599,000;3060,000;1539,000;2770,000;4,000;0,144;0,205;0,131
SP00075;SP;2374,000;1530,000;844,000;1347,000;25,000;1,856;1,279;1,634
SP00076;SP;7781,000;5170,000;2611,000;4521,000;8,000;0,177;0,409;0,155
SP00077;SP;5316,000;3714,000;1602,000;3239,000;4,000;0,123;0,205;0,108
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,154;0,067
SP00079;SP;6753,000;5126,000;1627,000;4484,000;13,000;0,290;0,665;0,254
SP00081;SP;4985,000;3194,000;1791,000;2755,000;3,000;0,109;0,154;0,094
SP00082;SP;2042,000;1343,000;699,000;1191,000;2,000;0,168;0,102;0,149
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,051;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,051;0,017
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,051;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,051;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,051;0,023
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,051;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,051;0,019
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,051;0,015
SP00102;SP;4710,000;2822,000;1888,000;2446,000;5,000;0,204;0,256;0,177
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,051;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,051;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;3,000;0,045;0,154;0,041
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;0,256;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,154;0,040
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,051;0,018
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,051;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;3,000;0,051;0,154;0,046
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,102;0,038
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;0,102;0,052
SP00135;SP;10099,000;6853,000;3246,000;5983,000;8,000;0,134;0,409;0,117
SP00136;SP;9241,000;6497,000;2744,000;5815,000;3,000;0,052;0,154;0,046
SP00139;SP;7945,000;5514,000;2431,000;4905,000;5,000;0,102;0,256;0,091
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,051;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,051;0,018
SP00146;SP;7336,000;5404,000;1932,000;4752,000;4,000;0,084;0,205;0,074
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;0,102;0,036
SP00149;SP;3452,000;2590,000;862,000;2234,000;4,000;0,179;0,205;0,154
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,051;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;7,000;0,191;0,358;0,163
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,051;0,025
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,102;0,038
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,102;0,036
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,051;0,020
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,051;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,051;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,051;0,033
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,051;0,021
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,051;0,031
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,051;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;8,000;0,154;0,409;0,126
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,051;0,050
SP00186;SP;1134,000;804,000;330,000;667,000;2,000;0,300;0,102;0,249
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,102;0,032
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,102;0,066
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,051;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,051;0,030
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,051;0,078
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,051;0,033
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,051;0,029
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,051;0,023
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,051;0,034
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,051;0,021
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,051;0,027
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,051;0,037
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,051;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;2,000;0,051;0,102;0,043
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,051;0,022
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,051;0,033
SP00243;SP;3895,000;2713,000;1182,000;2275,000;8,000;0,352;0,409;0,295
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,051;0,069
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,051;0,035
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,051;0,020
SP00254;SP;4716,000;3494,000;1222,000;2936,000;3,000;0,102;0,154;0,086
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,051;0,020
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,051;0,066
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,102;0,025
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,051;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;2,000;0,060;0,102;0,052
SP00266;SP;6960,000;5099,000;1861,000;4318,000;3,000;0,069;0,154;0,059
SP00268;SP;6330,000;4415,000;1915,000;3742,000;4,000;0,107;0,205;0,091
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,051;0,030
SP00270;SP;6129,000;4512,000;1617,000;3803,000;6,000;0,158;0,307;0,133
SP00271;SP;6516,000;4689,000;1827,000;3929,000;2,000;0,051;0,102;0,043
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,051;0,023
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,051;0,030
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,051;0,031
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,051;0,031
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,051;0,035
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,051;0,021
SP00283;SP;4282,000;3227,000;1055,000;2653,000;6,000;0,226;0,307;0,186
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,102;0,059
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,051;0,022
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,102;0,055
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;0,051;0,042
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,051;0,023
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,051;0,040
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,051;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,051;0,023
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,051;0,015
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,051;0,055
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,051;0,033
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,102;0,073
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,051;0,044
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,051;0,074
SP00343;SP;5204,000;3721,000;1483,000;3344,000;2,000;0,060;0,102;0,054
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,051;0,018
SP00348;SP;4643,000;3365,000;1278,000;3024,000;2,000;0,066;0,102;0,059
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,051;0,055
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,051;0,044
SP00354;SP;1134,000;865,000;269,000;715,000;1,000;0,140;0,051;0,116
SP00363;SP;6587,000;4335,000;2252,000;4017,000;4,000;0,100;0,205;0,092
SP00366;SP;5574,000;3886,000;1688,000;3655,000;5,000;0,137;0,256;0,129
SP00367;SP;3181,000;2043,000;1138,000;1835,000;2,000;0,109;0,102;0,098
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,051;0,018
SP00372;SP;5891,000;3989,000;1902,000;3708,000;3,000;0,081;0,154;0,075
SP00373;SP;5182,000;3550,000;1632,000;3328,000;2,000;0,060;0,102;0,056
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,051;0,037
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,051;0,030
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,051;0,037
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,051;0,033
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,051;0,044
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;0,051;0,059
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,051;0,040
SP00388;SP;1990,000;1488,000;502,000;1379,000;1,000;0,073;0,051;0,067
SP00389;SP;2663,000;1942,000;721,000;1788,000;1,000;0,056;0,051;0,051
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,051;0,028
SP00395;SP;7319,000;5036,000;2283,000;4255,000;8,000;0,188;0,409;0,159
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,051;0,050
SP00397;SP;4072,000;2894,000;1178,000;2418,000;2,000;0,083;0,102;0,069
SP00398;SP;2787,000;1796,000;991,000;1541,000;5,000;0,324;0,256;0,278
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,051;0,020
SP00405;SP;4680,000;3515,000;1165,000;3097,000;2,000;0,065;0,102;0,057
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,051;0,019
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,051;0,033
SP00416;SP;1565,000;1172,000;393,000;969,000;1,000;0,103;0,051;0,085
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,051;0,029
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,051;0,046
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,051;0,032
SP00435;SP;7037,000;5280,000;1757,000;4647,000;2,000;0,043;0,102;0,038
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,051;0,043
SP00441;SP;4817,000;3411,000;1406,000;2965,000;2,000;0,067;0,102;0,059
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,051;0,026
SP00445;SP;2263,000;1802,000;461,000;1578,000;2,000;0,127;0,102;0,111
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,051;0,018
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,051;0,033
SP00448;SP;2058,000;1544,000;514,000;1354,000;1,000;0,074;0,051;0,065
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,051;0,024
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,051;0,052
SP00459;SP;4392,000;3188,000;1204,000;2896,000;3,000;0,104;0,154;0,094
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,051;0,018
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,051;0,026
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,051;0,031
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;0,051;0,024
SP00478;SP;3496,000;2495,000;1001,000;2209,000;2,000;0,091;0,102;0,080
SP00487;SP;2063,000;1542,000;521,000;1295,000;1,000;0,077;0,051;0,065
SP00490;SP;1981,000;1328,000;653,000;1121,000;1,000;0,089;0,051;0,075
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,051;0,046
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,051;0,020
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,051;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;0,102;0,027
SP00509;SP;4399,000;3005,000;1394,000;2554,000;2,000;0,078;0,102;0,067
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,051;0,021
SP00512;SP;7389,000;5163,000;2226,000;4319,000;2,000;0,046;0,102;0,039
SP00517;SP;3694,000;2650,000;1044,000;2223,000;2,000;0,090;0,102;0,075
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,051;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,051;0,024
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,051;0,048
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,102;0,044
SP00526;SP;3210,000;2393,000;817,000;2007,000;3,000;0,149;0,154;0,125
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,102;0,038
SP00534;SP;4351,000;3409,000;942,000;3003,000;2,000;0,067;0,102;0,059
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,051;0,030
SP00536;SP;6329,000;4580,000;1749,000;3965,000;8,000;0,202;0,409;0,175
SP00537;SP;4344,000;3031,000;1313,000;2660,000;4,000;0,150;0,205;0,132
SP00538;SP;5278,000;3612,000;1666,000;3064,000;6,000;0,196;0,307;0,166
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,051;0,024
SP00542;SP;4842,000;3391,000;1451,000;2867,000;2,000;0,070;0,102;0,059
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,051;0,018
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,051;0,027
SP00545;SP;7097,000;4864,000;2233,000;4172,000;2,000;0,048;0,102;0,041
SP00547;SP;3238,000;2322,000;916,000;2051,000;1,000;0,049;0,051;0,043
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,051;0,025
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,051;0,024
SP00557;SP;5966,000;4380,000;1586,000;3694,000;1,000;0,027;0,051;0,023
SP00559;SP;6869,000;5121,000;1748,000;4262,000;2,000;0,047;0,102;0,039
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,051;0,041
SP00565;SP;3148,000;2356,000;792,000;2001,000;4,000;0,200;0,205;0,170
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,051;0,030
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,051;0,027
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,051;0,023
SP00596;SP;3534,000;2596,000;938,000;2206,000;2,000;0,091;0,102;0,077
SP00608;SP;3524,000;2701,000;823,000;2326,000;2,000;0,086;0,102;0,074
SP00610;SP;4996,000;3877,000;1119,000;3393,000;2,000;0,059;0,102;0,052
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,051;0,017
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,051;0,025
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,051;0,021
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,051;0,041
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,051;0,026
SP00632;SP;9851,000;7134,000;2717,000;6537,000;2,000;0,031;0,102;0,028
SP00639;SP;9027,000;6272,000;2755,000;5745,000;2,000;0,035;0,102;0,032
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,051;0,041
SP00644;SP;5516,000;3931,000;1585,000;3555,000;1,000;0,028;0,051;0,025
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,051;0,039
SP00647;SP;7403,000;5083,000;2320,000;4634,000;2,000;0,043;0,102;0,039
SP00651;SP;4603,000;3022,000;1581,000;2669,000;3,000;0,112;0,154;0,099
