CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;1,124;0,028
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;1,124;0,025
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;1,124;0,037
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;1,124;0,038
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;1,124;0,035
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;1,124;0,020
SP00379;SP;4356,000;2992,000;1364,000;2717,000;3,000;0,110;3,371;0,100
SP00380;SP;4357,000;2944,000;1413,000;2747,000;1,000;0,036;1,124;0,034
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;1,124;0,054
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;1,124;0,035
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;1,124;0,036
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;1,124;0,033
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;1,124;0,031
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;1,124;0,019
SP00665;SP;4690,000;3236,000;1454,000;2925,000;2,000;0,068;2,247;0,062
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;1,124;0,037
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;1,124;0,023
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;1,124;0,025
SP00846;SP;7352,000;5299,000;2053,000;4323,000;1,000;0,023;1,124;0,019
SP00849;SP;3277,000;2481,000;796,000;2090,000;1,000;0,048;1,124;0,040
SP00855;SP;3058,000;2169,000;889,000;1851,000;1,000;0,054;1,124;0,046
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;1,124;0,035
SP00862;SP;4149,000;3028,000;1121,000;2481,000;1,000;0,040;1,124;0,033
SP00895;SP;4545,000;3059,000;1486,000;2625,000;1,000;0,038;1,124;0,033
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;1,124;0,016
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;1,124;0,023
SP01064;SP;6076,000;4508,000;1568,000;3796,000;1,000;0,026;1,124;0,022
SP01190;SP;5137,000;3599,000;1538,000;3067,000;4,000;0,130;4,494;0,111
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;1,124;0,029
SP01199;SP;4561,000;3429,000;1132,000;2819,000;2,000;0,071;2,247;0,058
SP01203;SP;5224,000;4036,000;1188,000;3388,000;2,000;0,059;2,247;0,050
SP01212;SP;7434,000;5663,000;1771,000;4627,000;1,000;0,022;1,124;0,018
SP01214;SP;5318,000;3918,000;1400,000;3148,000;1,000;0,032;1,124;0,026
SP01215;SP;6563,000;4951,000;1612,000;3868,000;2,000;0,052;2,247;0,040
SP01220;SP;2623,000;2080,000;543,000;1725,000;1,000;0,058;1,124;0,048
SP01228;SP;4077,000;2878,000;1199,000;2288,000;1,000;0,044;1,124;0,035
SP01246;SP;6332,000;4869,000;1463,000;4069,000;1,000;0,025;1,124;0,021
SP01285;SP;4343,000;3311,000;1032,000;2805,000;1,000;0,036;1,124;0,030
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;1,124;0,024
SP01356;SP;1180,000;887,000;293,000;731,000;1,000;0,137;1,124;0,113
SP01388;SP;4349,000;3282,000;1067,000;2705,000;1,000;0,037;1,124;0,030
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;1,124;0,025
SP01475;SP;3961,000;2752,000;1209,000;2310,000;1,000;0,043;1,124;0,036
SP01485;SP;4366,000;3308,000;1058,000;2767,000;1,000;0,036;1,124;0,030
SP01526;SP;5784,000;4463,000;1321,000;3807,000;1,000;0,026;1,124;0,022
SP01530;SP;4997,000;3947,000;1050,000;3258,000;3,000;0,092;3,371;0,076
SP01548;SP;5863,000;4587,000;1276,000;3782,000;2,000;0,053;2,247;0,044
SP01646;SP;4342,000;3429,000;913,000;2817,000;1,000;0,035;1,124;0,029
SP01654;SP;4908,000;3591,000;1317,000;3061,000;1,000;0,033;1,124;0,028
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;1,124;0,030
SP01669;SP;1414,000;1112,000;302,000;919,000;2,000;0,218;2,247;0,180
SP01672;SP;4183,000;3049,000;1134,000;2483,000;1,000;0,040;1,124;0,033
SP01673;SP;1979,000;1600,000;379,000;1367,000;3,000;0,219;3,371;0,188
SP01676;SP;7202,000;5553,000;1649,000;4501,000;1,000;0,022;1,124;0,018
SP01685;SP;7787,000;5783,000;2004,000;4857,000;1,000;0,021;1,124;0,017
SP01706;SP;6272,000;4442,000;1830,000;3788,000;1,000;0,026;1,124;0,023
SP01707;SP;5330,000;3733,000;1597,000;3140,000;2,000;0,064;2,247;0,054
SP01708;SP;4897,000;3752,000;1145,000;3009,000;1,000;0,033;1,124;0,027
SP01710;SP;4727,000;3480,000;1247,000;2859,000;1,000;0,035;1,124;0,029
SP01711;SP;2862,000;2103,000;759,000;1740,000;3,000;0,172;3,371;0,143
SP01799;SP;7489,000;5627,000;1862,000;4802,000;1,000;0,021;1,124;0,018
SP01802;SP;4568,000;3396,000;1172,000;2879,000;1,000;0,035;1,124;0,029
SP01815;SP;3249,000;2352,000;897,000;1909,000;2,000;0,105;2,247;0,085
SP01853;SP;3021,000;2306,000;715,000;2050,000;1,000;0,049;1,124;0,043
SP01889;SP;7228,000;5214,000;2014,000;4452,000;1,000;0,022;1,124;0,019
SP01924;SP;5115,000;3688,000;1427,000;3218,000;1,000;0,031;1,124;0,027
SP01947;SP;1722,000;1325,000;397,000;1151,000;1,000;0,087;1,124;0,075
SP01950;SP;3678,000;2686,000;992,000;2085,000;1,000;0,048;1,124;0,037
SP01962;SP;7108,000;5093,000;2015,000;4362,000;1,000;0,023;1,124;0,020
SP02028;SP;7224,000;4975,000;2249,000;4154,000;1,000;0,024;1,124;0,020
